"","A_north","A_south","A_placement","B_north","B_south","B_placement"
"1",6,24,"left",9,11,"left"
"2",9,8,"left",2,22,"right"
"3",12,23,"right",13,7,"right"
"4",4,1,"right",8,23,"left"
"5",11,7,"left",14,18,"left"
"6",15,20,"left",1,9,"right"
"7",17,25,"right",16,13,"left"
"8",19,4,"right",6,14,"right"
"9",16,22,"left",19,25,"left"
"10",5,17,"left",15,6,"left"
"11",14,12,"left",18,2,"right"
"12",8,9,"left",17,16,"right"
"13",10,16,"right",11,20,"left"
"14",18,19,"left",10,1,"right"
"15",3,21,"right",5,12,"right"
"16",13,13,"left",12,4,"left"
"17",2,3,"left",4,10,"right"
"18",1,11,"right",7,19,"left"
"19",7,2,"right",3,8,"left"
