 ,Area,Mean,Min,Max,Angle,Length,,,
1,17,113.988,89.885,142.469,-50.194,15.62,,Pollen grains,519
2,13,87.994,72.083,102.306,-30.964,11.662,,px/mm,618.007
3,23,109.036,95.174,120.333,-111.801,21.541,,,
4,11,86.909,52.333,152,0,10,,,
5,16,119.16,109.053,131.836,-66.801,15.232,,,
6,16,106.746,81.046,143.667,105.945,14.56,,,
7,13,109.654,93.667,125.667,55.008,12.207,,,
8,11,92.204,80.427,105.667,36.87,10,,,
9,19,116.466,95.296,143.407,-153.435,17.889,,,
10,14,153.381,94.178,205,-63.435,13.416,,,
11,11,101.075,73.587,154.667,126.87,10,,,
12,10,90.678,75.65,111.667,63.435,8.944,,,
13,25,112.467,66.611,140.333,80.538,24.331,,,
14,13,92.949,73.694,115.667,-149.036,11.662,,,
15,17,86.441,62.125,107.333,7.125,16.125,,,
16,11,88.362,76.04,96.48,-126.87,10,,,
17,14,123.89,69,172.667,-38.66,12.806,,,
18,54,122.978,95.751,175,-70.201,53.141,,,
19,80,152.044,70.8,187.166,-57.529,78.692,,,
20,26,112.81,91.2,127,-9.09,25.318,,,
21,14,80.865,54.282,118.667,128.66,12.806,,,
22,26,124.146,101.642,147.313,-163.74,25,,,
23,34,94.486,57.667,142.333,127.569,32.802,,,
24,16,109.155,96.667,133.476,105.945,14.56,,,
25,39,129.313,93.63,169.393,27.897,38.471,,,
26,60,146.33,105.449,189.333,-23.07,58.694,,,
27,81,162.547,112.245,182.466,167.005,80.05,,,
28,42,123.881,78,145.992,81.674,41.437,,,
29,56,133.851,103.799,178,146.889,54.918,,,
30,19,111.752,86.889,133.667,-96.34,18.111,,,
31,17,89.74,63.333,113.688,39.806,15.62,,,
32,22,109.296,74.637,139.764,-16.699,20.881,,,
33,15,89.854,64.871,118,-45,14.142,,,
34,22,105.553,76.859,134.211,106.699,20.881,,,
35,15,81.878,60.415,103.136,146.31,14.422,,,
36,21,95.79,72.773,129.667,23.962,19.698,,,
37,19,96.608,66.667,128.333,-40.601,18.439,,,
38,18,102.559,64.626,146.067,-45,16.971,,,
39,16,113.439,90,138.667,23.199,15.232,,,
40,29,127.374,105.667,147.485,129.289,28.425,,,
41,27,104.629,70.667,128.026,-171.254,26.306,,,
42,37,120.921,85.753,152.135,-173.649,36.152,,,
43,6,84.608,62.065,99.333,26.622,4.847,,,
44,16,107.189,68.814,162.522,-8.584,14.682,,,
45,18,96.717,76.231,134,35.538,17.205,,,
46,17,81.755,71.177,98.708,-50.194,15.62,,,
47,23,94.675,62.68,152.333,111.801,21.541,,,
48,14,90.259,65.761,139,-177.709,12.51,,,
49,15,100.868,84.509,121.619,-104.534,13.946,,,
50,16,98.124,69,121.8,-60.945,15.443,,,
51,13,100.339,74.333,123.5,-94.764,12.042,,,
52,15,70.675,37.417,113.333,-98.13,14.142,,,
53,16,95.493,68.852,119.197,129.56,14.916,,,
54,16,99.498,69.189,149.167,0,14.5,,,
55,25,106.446,67.333,133.794,-76.827,24.135,,,
56,14,84.439,64.731,100.639,-46.548,13.086,,,
57,14,82.667,55.882,99.327,163.74,12.5,,,
58,15,107.71,89.333,125.762,47.862,14.16,,,
59,15,95.063,77.068,113.333,129.289,14.213,,,
60,15,98.011,83.542,116.667,-70.907,13.757,,,
61,12,98.112,65.592,131.171,-127.405,10.7,,,
62,15,97.608,63.143,141.5,-169.875,14.221,,,
63,13,97.82,92.037,103.394,139.899,12.42,,,
