 ,Area,Mean,Min,Max,Length,,,
1,33,126.712,108.869,140.264,32.937,,,
2,27,115.608,85.363,145.687,26.42,,Pollen grains,131
3,52,136.564,74.559,158.857,52.017,,px/mm,618.007
4,21,112.435,87.418,131.257,20.396,,,
5,19,106.431,81.631,134.772,18.693,,,
6,14,88.508,53.395,116,13.038,,,
7,16,94.729,55.851,120.252,15.264,,,
8,15,116.074,100.066,128.704,14.318,,,
9,47,102.723,71.311,161.778,46.181,,,
10,17,96.328,73.796,112.456,16.031,,,
11,21,139.403,118.333,148.93,20.1,,,
12,37,144.08,108.081,162.418,36.166,,,
13,39,119.678,83.894,135.081,38.275,,,
14,21,84.391,57.908,110.708,20.889,,,
15,45,115.322,73.973,135.92,44.847,,,
16,32,118.208,94.113,143.082,31.249,,,
17,16,74.071,50.333,103.088,15.232,,,
