 ,Area,Mean,Min,Max,Length,,,
1,251,47.379,12.038,165.886,250.563,,,
2,162,51.53,15.705,124.031,161.728,,Pollen Grains,129
3,143,38.026,16.358,117.78,142.364,,px/mm,651.007
4,311,56.021,15.802,116.205,311.121,,,
5,153,61.245,12.281,124.589,152.793,,,
6,313,46.392,18.263,119.752,312.485,,,
7,398,60.321,16.287,184.139,399.054,,,
8,64,159.468,135.867,170.986,63.713,,,
9,95,99.537,25.433,173.175,95.557,,,
10,246,128.158,38.667,169.463,245.673,,,
11,85,125.243,80.137,179.595,84.838,,,
12,78,101.537,40.273,167.124,79.763,,,
13,88,146.955,39.006,180.954,88.017,,,
14,142,162.351,123.374,186.814,141.559,,,
15,331,167.291,109.611,195.412,330.958,,,
16,185,148.993,125.896,170.014,184.706,,,
17,159,156.922,108.621,191.161,158.163,,,
18,132,187.949,139.333,209.336,132.085,,,
19,210,168.071,104.198,198.159,209.781,,,
20,209,183.189,138.678,228.693,209.64,,,
21,150,173.548,107.788,200.586,149.628,,,
22,355,176.753,109.267,212.031,354.618,,,
23,78,172.544,137.644,204.693,77.329,,,
24,268,175.57,126.154,197.906,267.614,,,
25,106,101.203,27.395,191.675,105.706,,,
26,394,61.277,14.998,163.68,395.817,,,
27,330,48.667,13.538,142.823,329.958,,,
28,453,53.894,13.039,126.804,452.88,,,
29,200,77.281,19.795,173.239,199.956,,,
30,266,149.403,40.277,213.058,265.877,,,
31,125,165.772,87.712,207.524,124.221,,,
32,149,121.952,34.311,200.359,148.747,,,
33,94,52.876,10.442,119.429,93.311,,,
