 ,Area,Mean,Min,Max,Length,,,
1,268,149.788,133.316,164.091,267.934,,Pollen Grains,30
2,285,148.92,103.077,170.675,284.155,,px/mm,630
3,143,141.259,113.445,161.176,143.642,,,
4,299,152.382,110.667,167.771,300.038,,,
5,580,157.048,121.12,178.024,580.109,,,
6,320,164.458,111.743,176.598,319.855,,,
7,259,165.075,106.228,180.048,258.49,,,
8,158,151.655,134.327,172.453,157.823,,,
9,152,132.449,72.675,157.261,151.361,,,
10,231,152.717,78.774,172.837,231.423,,,
11,859,165.212,133.336,183.57,858.546,,,
12,434,171.926,87.576,187.864,433.371,,,
13,385,149.002,102.117,182.042,384.218,,,
14,103,127.919,102.067,147.805,103.206,,,
15,76,134.606,91.925,174.881,75.77,,,
16,45,108.206,84.764,154.845,44.413,,,
17,46,114.97,82.9,174.922,45.337,,,
18,243,168.764,21.345,192.307,242.709,,,
19,303,178.811,156.259,194.012,302.696,,,
20,38,116.165,87.333,131.978,37.643,,,
21,27,116.177,101.022,129.54,26.306,,,
