Plate,Window,tube,Area,Mean,Min,Max,Length,Length (micrometers),,
PrairieIsland25RT,12,1,17,106.64,80.431,135.454,16.279,25.4359375,,
PrairieIsland25RT,12,2,11,103.176,76.097,125.473,10.198,15.934375,factor: 640 pix = 1mm,
PrairieIsland25RT,12,3,64,150.481,95.239,189.997,64.249,100.3890625,,
PrairieIsland25RT,12,4,91,151.051,82.336,168.937,90.254,141.021875,,
PrairieIsland25RT,12,5,46,123.978,79.875,148.316,45.497,71.0890625,,
PrairieIsland25RT,12,6,37,138.19,119.333,155.862,36.77,57.453125,,
PrairieIsland25RT,12,7,36,148.281,125.28,176.575,35.468,55.41875,59 grains,
PrairieIsland25RT,12,8,320,174.643,128.098,193.489,320.04,500.0625,,
PrairieIsland25RT,12,9,175,181.517,149.848,204.21,174.726,273.009375,,
PrairieIsland25RT,12,10,115,166.761,118.264,211.624,115.172,179.95625,,
PrairieIsland25RT,12,11,20,141.788,114.708,174.47,19.698,30.778125,,
PrairieIsland25RT,12,12,104,173.894,119.559,194.715,103.536,161.775,,
PrairieIsland25RT,12,13,240,193.799,158.716,213.999,239.95,374.921875,,
PrairieIsland25RT,12,14,79,189.108,136.949,205.658,78.431,122.5484375,,
PrairieIsland25RT,12,15,143,197.796,150.698,213.929,144.13,225.203125,,
PrairieIsland25RT,12,16,124,161.551,95.559,187.202,124.166,194.009375,,
PrairieIsland25RT,12,17,334,189.912,130.667,209.89,333.316,520.80625,,
PrairieIsland25RT,12,18,363,185.035,122.271,203.166,363.085,567.3203125,,
PrairieIsland25RT,12,19,71,168.899,136.923,191.212,70.178,109.653125,,
PrairieIsland25RT,12,20,96,159.159,124.333,182.924,95.18,148.71875,,
PrairieIsland25RT,12,21,128,145.319,128.816,156.771,127.749,199.6078125,,
PrairieIsland25RT,12,22,41,130.934,96,156.084,40.887,63.8859375,,
PrairieIsland25RT,12,23,282,160.187,106,178.088,281.847,440.3859375,,
PrairieIsland25RT,12,24,138,135.663,107.653,159.948,137.95,215.546875,,
PrairieIsland25RT,12,25,87,137.575,102.148,155.368,86.285,134.8203125,,
PrairieIsland25RT,12,26,88,148.945,68.371,175.9,87.738,137.090625,,
PrairieIsland25RT,12,27,0,0,0,0,0,0,,
PrairieIsland25RT,12,28,0,0,0,0,0,0,,
PrairieIsland25RT,12,29,0,0,0,0,0,0,,
PrairieIsland25RT,12,30,0,0,0,0,0,0,,
PrairieIsland25RT,12,31,0,0,0,0,0,0,,
PrairieIsland25RT,12,32,0,0,0,0,0,0,,
PrairieIsland25RT,12,33,0,0,0,0,0,0,,
PrairieIsland25RT,12,34,0,0,0,0,0,0,,
PrairieIsland25RT,12,35,0,0,0,0,0,0,,
PrairieIsland25RT,12,36,0,0,0,0,0,0,,
PrairieIsland25RT,12,37,0,0,0,0,0,0,,
PrairieIsland25RT,12,38,0,0,0,0,0,0,,
PrairieIsland25RT,12,39,0,0,0,0,0,0,,
PrairieIsland25RT,12,40,0,0,0,0,0,0,,
PrairieIsland25RT,12,41,0,0,0,0,0,0,,
PrairieIsland25RT,12,42,0,0,0,0,0,0,,
PrairieIsland25RT,12,43,0,0,0,0,0,0,,
PrairieIsland25RT,12,44,0,0,0,0,0,0,,
PrairieIsland25RT,12,45,0,0,0,0,0,0,,
PrairieIsland25RT,12,46,0,0,0,0,0,0,,
PrairieIsland25RT,12,47,0,0,0,0,0,0,,
PrairieIsland25RT,12,48,0,0,0,0,0,0,,
PrairieIsland25RT,12,49,0,0,0,0,0,0,,
PrairieIsland25RT,12,50,0,0,0,0,0,0,,
PrairieIsland25RT,12,51,0,0,0,0,0,0,,
PrairieIsland25RT,12,52,0,0,0,0,0,0,,
PrairieIsland25RT,12,53,0,0,0,0,0,0,,
PrairieIsland25RT,12,54,0,0,0,0,0,0,,
PrairieIsland25RT,12,55,0,0,0,0,0,0,,
PrairieIsland25RT,12,56,0,0,0,0,0,0,,
PrairieIsland25RT,12,57,0,0,0,0,0,0,,
PrairieIsland25RT,12,58,0,0,0,0,0,0,,
