ramet,Block,Pair,location,ID,Placement,DatePlanted,trt,Date
A,1,1,North,PI28,right,12/15/2020,HCMS,2/26/2021
A,1,2,North,PI9,right,12/15/2020,HCMS,2/26/2021
A,1,3,North,PI10,left,12/15/2020,HCMS,2/26/2021
A,1,4,North,PI4,right,12/15/2020,HCMS,2/26/2021
A,1,5,North,PI1,right,12/15/2020,HCMS,2/26/2021
A,2,6,North,PI15,right,12/22/2020,HCMS,3/5/2021
A,2,7,North,FR2,left,12/22/2020,HCMS,4/9/2021
A,2,8,North,PI21,left,12/22/2020,HCMS,3/5/2021
A,2,9,North,FR12,right,12/22/2020,HCMS,3/5/2021
A,2,10,North,FR1,left,12/22/2020,HCMS,3/5/2021
A,3,11,North,PI12,left,1/15/2021,HCMS,3/27/2021
A,3,12,North,PI14,left,1/15/2021,HCMS,3/27/2021
A,3,13,North,PI27,right,1/15/2021,HCMS,3/27/2021
A,3,14,North,PI30,right,1/15/2021,HCMS,3/27/2021
A,3,15,North,PI25,left,1/15/2021,HCMS,3/27/2021
A,4,16,North,PI5,left,1/22/2021,HCMS,4/3/2021
A,4,17,North,PI19,right,1/22/2021,HCMS,4/3/2021
A,4,18,North,PI11,right,1/22/2021,HCMS,4/3/2021
A,4,19,North,PI13,left,1/22/2021,HCMS,4/3/2021
A,4,20,North,PI3,left,1/22/2021,HCMS,4/3/2021
A,4,21,North,PI18,left,1/22/2021,HCMS,4/3/2021
A,5,22,North,FR8,left,3/5/2021,HCMS,4/30/2021
A,5,23,North,FR11,right,3/5/2021,HCMS,4/30/2021
A,5,24,North,FR6,right,3/5/2021,HCMS,4/30/2021
A,5,25,North,PI2,left,3/5/2021,HCMS,4/30/2021
A,5,26,North,FR10,left,3/5/2021,HCMS,4/30/2021
B,6,27,North,PI12,left,2/9/2021,HCMS,4/9/2021
B,6,28,North,PI2,right,2/9/2021,HCMS,4/9/2021
B,6,29,North,PI18,right,2/9/2021,HCMS,
B,6,30,North,PI11,left,2/9/2021,HCMS,
B,6,31,North,PI19,left,2/9/2021,HCMS,4/9/2021
B,7,32,North,PI1,right,2/19/2021,HCMS,4/15/2021
B,7,33,North,PI21,left,2/19/2021,HCMS,4/15/2021
B,7,34,North,PI9,right,2/19/2021,HCMS,4/15/2021
B,7,35,North,PI30,left,2/19/2021,HCMS,4/15/2021
B,7,36,North,PI25,left,2/19/2021,HCMS,4/15/2021
B,8,37,North,PI28,right,2/26/2021,HCMS,4/23/2021
B,8,38,North,PI27,right,2/26/2021,HCMS,4/23/2021
B,8,39,North,PI14,left,2/26/2021,HCMS,4/23/2021
B,8,40,North,PI13,right,2/26/2021,HCMS,4/23/2021
B,8,41,North,PI5,right,2/26/2021,HCMS,4/23/2021
B,9,42,North,FR8,left,3/12/2021,HCMS,6/24/2021
B,9,43,North,PI3,right,3/12/2021,HCMS,6/24/2021
B,9,44,North,PI4,left,3/12/2021,HCMS,6/24/2021
B,9,45,North,PI15,left,3/12/2021,HCMS,6/24/2021
B,9,46,North,FR12,left,3/12/2021,HCMS,
B,10,47,North,FR6,left,3/19/2021,HCMS,5/7/2021
B,10,48,North,FR2,right,3/19/2021,HCMS,5/7/2021
B,10,49,North,FR1,right,3/19/2021,HCMS,5/7/2021
B,10,50,North,FR10,right,3/19/2021,HCMS,5/7/2021
B,10,51,North,PI10,right,3/19/2021,HCMS,5/7/2021
B,10,52,North,FR11,left,3/19/2021,HCMS,6/24/2021
C,11,53,North,PI4,right,3/27/2021,HCMS,5/21/2021
C,11,54,North,PI3,right,3/27/2021,HCMS,5/21/2021
C,11,55,North,PI25,right,3/27/2021,HCMS,5/21/2021
C,11,56,North,PI15,right,3/27/2021,HCMS,5/21/2021
C,11,57,North,PI13,left,3/27/2021,HCMS,5/21/2021
C,12,58,North,PI12,left,4/2/2021,HCMS,5/28/2021
C,12,59,North,PI14,left,4/2/2021,HCMS,5/28/2021
C,12,60,North,PI11,left,4/2/2021,HCMS,5/28/2021
C,12,61,North,PI1,right,4/2/2021,HCMS,5/28/2021
C,12,62,North,PI10,left,4/2/2021,HCMS,5/28/2021
C,13,63,North,FR10,left,4/8/2021,HCMS,6/4/2021
C,13,64,North,FR12,right,4/8/2021,HCMS,6/4/2021
C,13,65,North,PI30,left,4/8/2021,HCMS,6/4/2021
C,13,66,North,PI21,left,4/8/2021,HCMS,6/4/2021
C,13,67,North,PI27,right,4/8/2021,HCMS,6/4/2021
C,14,68,North,FR11,left,4/15/2021,HCMS,6/11/2021
C,14,69,North,PI28,left,4/15/2021,HCMS,6/11/2021
C,14,70,North,FR2,right,4/15/2021,HCMS,6/11/2021
C,14,71,North,PI18,left,4/15/2021,HCMS,6/11/2021
C,14,72,North,FR8,right,4/15/2021,HCMS,
C,15,73,North,PI19,right,4/23/2021,HCMS,6/25/2021
C,15,74,North,PI9,right,4/23/2021,HCMS,6/25/2021
