population,location,number,ID,ramet,block,pair,exp_trt,exp_max,cntr_trt,cntr_max
Cemetary,South,1,CE1,A,1,5,87.5,169.3,4.26,164.6
Cemetary,South,10,CE10,A,4,21,95,213,6.22,180
Cemetary,South,11,CE11,A,4,18,92.7,202,9.13,236
Cemetary,South,2,CE2,A,1,4,90.9,184.5,7.38,184.8
Cemetary,South,3,CE3,A,2,9,153.4,285,8.21,234
Cemetary,South,4,CE4,A,4,16,81.7,202,10.88,213
Cemetary,South,5,CE5,A,5,22,79.2,164.2,12.23,167.8
Cemetary,South,6,CE6,A,5,23,114.4,214,10.9,196.2
Cemetary,South,7a,CE7a,A,3,13,100.3,206,7.91,218
Cemetary,South,7b,CE7b,A,2,8,111.4,219,9.39,200
Cemetary,South,8,CE8,A,2,10,115.3,201,9.82,208
Cemetary,South,9,CE9,A,2,6,157.8,294,8.21,272
Frontenac,North,1,FR1,A,2,10,103.8,198,10.57,185
Frontenac,North,10,FR10,A,5,26,112.7,228,7.28,203
Frontenac,North,11,FR11,A,5,23,96.5,171.2,11.2,167.3
Frontenac,North,12,FR12,A,2,9,122.8,232,11.38,233
Frontenac,North,2,FR2,A,2,7,117.4,243,15.07,286
Frontenac,North,6,FR6,A,5,24,87.7,179.7,9.64,160.7
Frontenac,North,8,FR8,A,5,22,90.1,162.6,11.88,169.1
Oil Patch,South,1,OP1,A,1,2,70.3,194.2,7.88,196.7
Oil Patch,South,2,OP2,A,5,24,85.6,167.7,17.23,198.7
Oil Patch,South,3,OP3,A,2,7,68.2,160.1,15.47,173.1
Oil Patch,South,4,OP4,A,1,3,130.1,296,10.69,281
Oil Patch,South,5,OP5,A,1,1,83.9,203,10.2,208
Oil Patch,South,6,OP6,A,5,25,92,188.5,14.23,201
Oil Patch,South,7,OP7,A,4,19,149.9,295,9.8,279
Oil Patch,South,8,OP8,A,3,14,73.3,149.3,10.24,162
Oil Patch,South,9,OP9,A,4,20,133.7,269,8.44,253
Prairie Island,North,1,PI1,A,1,5,72.5,160.7,6.46,172.9
Prairie Island,North,10,PI10,A,1,3,128.6,309,8.17,282
Prairie Island,North,11,PI11,A,4,18,133.1,270,12.5,289
Prairie Island,North,12,PI12,A,3,11,150.8,295,9.65,297
Prairie Island,North,13,PI13,A,4,19,113.9,254,12.23,242
Prairie Island,North,14,PI14,A,3,12,110.7,229,9.6,250
Prairie Island,North,15,PI15,A,2,6,107.5,221,9.81,223
Prairie Island,North,18,PI18,A,4,21,128.7,260,7.29,244
Prairie Island,North,9,PI19,A,4,17,72.7,180.8,11.23,180.1
Prairie Island,North,2,PI2,A,5,25,98.1,197,7.61,198
Prairie Island,North,21,PI21,A,2,8,167,319,13.95,327
Prairie Island,North,25,PI25,A,3,15,95.4,167.3,7.86,154.3
Prairie Island,North,27,PI27,A,3,13,124.8,241,9.75,265
Prairie Island,North,28,PI28,A,1,1,93.6,229,11.28,250
Prairie Island,North,3,PI3,A,4,20,70.2,140.9,8.87,131.1
Prairie Island,North,30,PI30,A,3,14,123,213,8.93,209
Prairie Island,North,4,PI4,A,1,4,77.5,175.5,6.45,159
Prairie Island,North,5,PI5,A,4,16,67.4,166.5,9.37,167.5
Prairie Island,North,9,PI9,A,1,2,113.7,288,9.85,298
Reserve,South,3,RE3,A,3,15,77.9,148.8,9.15,154.3
Reserve,South,5,RE5,A,5,26,91.7,184.8,15.18,202
Reserve,South,6,RE6,A,4,17,84.7,202,7.47,220
Reserve,South,7,RE7,A,3,12,64,144.3,7.86,159.2
Reserve,South,8,RE8,A,3,11,77.3,170.4,12.03,195.1
Cemetary,South,1,CE1,B,8,40,102.9,228,10.29,193.4
Cemetary,South,10,CE10,B,6,27,109,234,12.42,257
Cemetary,South,11,CE11,B,8,41,103.1,191.2,7.55,196.5
Cemetary,South,2,CE2,B,8,37,100.2,189.6,9.31,204
Cemetary,South,3,CE3,B,10,52,62.8,140.9,12.41,130.5
Cemetary,South,4,CE4,B,9,43,114.9,237,11.79,271
Cemetary,South,5,CE5,B,9,42,106.6,213,11.06,213
Cemetary,South,6,CE6,B,7,36,101.6,207,9,184.8
Cemetary,South,7b,CE7b,B,9,45,97.5,173.2,9.34,145.7
Cemetary,South,8,CE8,B,7,34,66.5,155.1,8.45,159.8
Cemetary,South,9,CE9,B,9,44,86.4,153.2,11.48,155.2
Frontenac,North,1,FR1,B,10,49,62,118,13.71,103.9
Frontenac,North,10,FR10,B,10,50,56.7,101.1,12.2,83.8
Frontenac,North,11,FR11,B,10,52,65.3,124.8,15.31,124.1
Frontenac,North,2,FR2,B,10,48,95.3,185,10.99,147.6
Frontenac,North,6,FR6,B,10,47,50.3,108,14.85,106.8
Frontenac,North,8,FR8,B,9,42,98.1,175.5,10.75,178.8
Oil Patch,South,1,OP1,B,7,33,106.9,209,9.25,186.7
Oil Patch,South,2,OP2,B,7,32,108.6,200,8.51,204
Oil Patch,South,3,OP3,B,10,51,47.5,83.5,9.46,79.3
Oil Patch,South,4,OP4,B,8,38,93.6,182.5,9.73,195.7
Oil Patch,South,5,OP5,B,10,48,46.3,99.3,10.56,91.7
Oil Patch,South,6,OP6,B,6,31,93.5,172.4,11.02,164.7
Oil Patch,South,7,OP7,B,10,47,47.1,103.4,17.24,107.2
Oil Patch,South,8,OP8,B,8,39,94.8,174.6,11.4,173.7
Oil Patch,South,9,OP9,B,10,49,62.9,117.9,14.64,96.7
Prairie Island,North,1,PI1,B,7,32,110.6,207,6.73,200
Prairie Island,North,10,PI10,B,10,51,63.4,108.8,9.42,100.1
Prairie Island,North,12,PI12,B,6,27,126.1,245,13.96,241
Prairie Island,North,13,PI13,B,8,40,103.8,179.2,8.47,174.6
Prairie Island,North,14,PI14,B,8,39,95.3,169.8,11.81,194.8
Prairie Island,North,15,PI15,B,9,45,100.5,182.3,12.54,189.9
Prairie Island,North,19,PI19,B,6,31,101.2,199.5,9.38,196.5
Prairie Island,North,2,PI2,B,6,28,134.8,261,16.5,250
Prairie Island,North,21,PI21,B,7,33,106.9,211,8.28,209
Prairie Island,North,25,PI25,B,7,36,119.9,214,11.92,208
Prairie Island,North,27,PI27,B,8,38,94.9,170.5,8.09,179.6
Prairie Island,North,28,PI28,B,8,37,85.5,173.1,11.48,185.4
Prairie Island,North,3,PI3,B,9,43,105.6,193,13.82,207
Prairie Island,North,30,PI30,B,7,35,108.7,206,9.15,156.4
Prairie Island,North,4,PI4,B,9,44,123.4,235,21.5,238
Prairie Island,North,5,PI5,B,8,41,107.7,194.7,10.84,190.4
Prairie Island,North,9,PI9,B,7,34,113.5,207,14.45,214
Reserve,South,3,RE3,B,7,35,133,244,10.64,230
Reserve,South,5,RE5,B,10,50,65.1,121.5,16.24,112.6
Reserve,South,6,RE6,B,6,28,117.7,230,9.32,216
Cemetary,South,1,CE1,C,15,74,75.1,139.7,7.31,147.5
Cemetary,South,10,CE10,C,11,56,37.7,107.8,5.54,108
Cemetary,South,11,CE11,C,14,71,73.3,141.6,5.1,141.8
Cemetary,South,2,CE2,C,12,59,56.8,118.4,6.22,124.2
Cemetary,South,3,CE3,C,13,67,90.4,157.1,13.88,173.4
Cemetary,South,4,CE4,C,15,75,87.6,168.7,6.39,157.2
Cemetary,South,6,CE6,C,11,54,60.5,120,6.89,99.8
Cemetary,South,7a,CE7a,C,11,57,61.6,119.6,9.31,125.5
Cemetary,South,7b,CE7b,C,13,65,84.1,177.2,9.48,159.2
Cemetary,South,8,CE8,C,11,53,58,107.5,6.88,96.8
Cemetary,South,9,CE9,C,12,58,55.8,112.3,6.28,106
Frontenac,North,1,FR1,C,15,75,82.7,139.4,4.25,118.3
Frontenac,North,10,FR10,C,13,63,116.2,198.1,19.3,189.2
Frontenac,North,11,FR11,C,14,68,74.5,131.3,7.08,133.8
Frontenac,North,12,FR12,C,13,64,117.1,200,13.79,199.9
Frontenac,North,2,FR2,C,14,70,94.3,174.3,3.88,177.1
