population,location,number,ID,block,pair,exp_trt,exp_max,cntr_trt,cntr_max
Oil Patch,South,5,OP5,1,1,45.1,145.8,12.48,127.3
Prairie Island,North,28,PI28,1,1,24,127,18.2,118.5
Oil Patch,South,1,OP1,1,2,36.6,156.5,15.45,157.6
Prairie Island,North,9,PI9,1,2,32.2,154.1,18.76,151.8
Oil Patch,South,4,OP4,1,3,39.2,115.8,15.18,107.8
Prairie Island,North,10,PI10,1,3,29.1,125.7,16.13,109.7
Cemetary,South,2,CE2,1,4,60.6,150.3,13.64,140.4
Prairie Island,North,4,PI4,1,4,32.1,170.8,17.19,148.4
Cemetary,South,1,CE1,1,5,38.8,125.8,11.91,115.7
Prairie Island,North,1,PI1 ,1,5,26.6,166.8,21.3,187.3
Cemetary,South,9,CE9,2,6,66.9,155.6,11.62,146.3
Prairie Island,North,15,PI15,2,6,39.3,146.2,15.56,139.4
Prairie Island,North,21,PI21,2,8,27.6,132,12.64,128.2
Cemetary,South,7b,CE7b,2,8,51.2,132.8,13.22,139.8
Cemetary,South,3,CE3,2,9,61.4,146,17.64,162.7
Frontenac,North,12,FR12,2,9,62,152.6,16.35,141.2
Frontenac,North,1,FR1 ,2,10,28.3,144.9,16.61,149.1
Cemetary,South,8,CE8,2,10,70.8,158.9,19.72,177.2
Prairie Island,North,12,PI12,3,11,21.1,129.5,12.74,128.8
Parking Lot,South,5,PL5,3,11,53.6,143,16.06,156
Prairie Island,North,14,PI14,3,12,22.9,180.4,18.26,176.9
Parking Lot,South,4,PL4,3,12,45.6,226,24.5,239
Cemetary,South,7a,CE7a,3,13,25.9,146.8,16.16,163.5
Prairie Island,North,27,PI27,3,13,17.87,108.9,15.26,126.6
Oil Patch,South,8,OP8,3,14,15.65,96.9,13.01,114.9
Prairie Island,North,30,PI30,3,14,20.4,147.3,19.08,154.5
Prairie Island,North,25,PI25,3,15,21.5,140.6,13.91,119
Reserve,South,3,RE3,3,15,32.7,199.9,24.2,189.6
Prairie Island,North,5,PI5,4,16,64.6,219,16.69,200
Cemetary,South,4,CE4,4,16,97.4,190.2,24.1,211
Parking Lot,South,2,PL2,4,17,92,202,24.4,188.1
Prairie Island,North,19,PI19,4,17,79,211,29.8,222
Cemetary,South,11,CE11,4,18,64.6,183.7,19.8,190.6
Prairie Island,North,11,PI11,4,18,146.8,221,35.7,221
Prairie Island,North,13,PI13,4,19,97.3,202,18.75,223
Oil Patch,South,7,OP7,4,19,157.6,205,25.9,207
Prairie Island,North,3,PI3 ,4,20,150.7,212,23.2,203
Oil Patch,South,9,OP9,4,20,122.7,196,19.25,199.3
Cemetary,South,10,CE10,4,21,152.3,219,28.2,215
Prairie Island,North,18,PI18,4,21,74,140.9,15.59,132
