STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/1/2018,,-3,-15,-14,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/2/2018,,0,-14,-10,,TMAX,,,TMIN,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/3/2018,,13,-11,3,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/4/2018,,7,-10,-10,,Mean,55.10603933,12.83668851,Mean,36.68114926,2.60063848
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/5/2018,,7,-13,-12,,Standard Error,0.612197127,-17.43766826,Standard Error,0.580610946,-17.45521614
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/6/2018,,7,-14,-14,,Median,55.5,13.05555556,Median,36,2.222222222
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/7/2018,,15,-14,15,,Mode,82,27.77777778,Mode,51,10.55555556
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/8/2018,,30,15,22,,Standard Deviation,23.10182459,-4.943430783,Standard Deviation,21.93295795,-5.592801139
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/9/2018,,39,21,27,,Sample Variance,533.6942994,278.7190552,Sample Variance,481.0546444,249.4748024
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/10/2018,,43,27,33,,Kurtosis,-1.00469311,-18.33594062,Kurtosis,-0.658082352,-18.14337908
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/11/2018,,40,33,33,,Skewness,-0.262569542,-17.92364975,Skewness,-0.359989904,-17.97777217
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/12/2018,,33,-1,-1,,Range,108,42.22222222,Range,107,41.66666667
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/13/2018,,8,-9,-9,,Minimum,-15,-26.11111111,Minimum,-30,-34.44444444
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/14/2018,,5,-11,-6,,Maximum,93,33.88888889,Maximum,77,25
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/15/2018,,18,-6,10,,Sum,78471,43577.22222,Sum,52344,29062.22222
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/16/2018,,10,2,6,,Count,1424,773.3333333,Count,1427,775
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/17/2018,,13,-6,3,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/18/2018,,23,3,18,,-3,,-15,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/19/2018,,34,18,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/20/2018,,41,24,24,,Mean,55.1468728,Mean,36.7173913,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/21/2018,,45,23,24,,Standard Error,0.611263224,Standard Error,0.579885228,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/22/2018,,38,24,35,,Median,56,Median,36,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/23/2018,,35,24,24,,Mode,82,Mode,51,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/24/2018,,24,12,12,,Standard Deviation,23.05848224,Standard Deviation,21.89786673,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/25/2018,,25,11,25,,Sample Variance,531.6936031,Sample Variance,479.5165675,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/26/2018,,38,24,38,,Kurtosis,-1.014842364,Kurtosis,-0.660838959,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/27/2018,,49,27,27,,Skewness,-0.258290056,Skewness,-0.357711481,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/28/2018,,41,18,18,,Range,108,Range,107,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/29/2018,,24,13,13,,Minimum,-15,Minimum,-30,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/30/2018,,19,2,3,,Maximum,93,Maximum,77,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,1/31/2018,,31,3,30,,Sum,78474,Sum,52359,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/1/2018,,38,0,0,,Count,1423,Count,1426,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/2/2018,,6,-4,-4,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/3/2018,,21,-4,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/4/2018,,27,6,6,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/5/2018,,6,-8,-5,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/6/2018,,10,-10,-10,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/7/2018,,10,-10,7,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/8/2018,,14,1,5,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/9/2018,,16,5,8,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/10/2018,,16,0,2,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/11/2018,,13,0,5,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/12/2018,,19,-1,0,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/13/2018,,17,-1,14,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/14/2018,,31,14,22,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/15/2018,,45,22,35,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/16/2018,,41,8,8,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/17/2018,,21,7,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/18/2018,,29,7,19,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/19/2018,,39,19,34,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/20/2018,,36,29,31,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/21/2018,,32,7,7,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/22/2018,,24,7,20,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/23/2018,,33,19,32,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/24/2018,,32,18,20,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/25/2018,,33,18,19,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/26/2018,,29,15,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/27/2018,,46,21,30,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,2/28/2018,,55,28,28,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/1/2018,,48,28,35,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/2/2018,,44,21,22,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/3/2018,,44,22,33,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/4/2018,,46,33,34,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/5/2018,,48,34,35,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/6/2018,,35,26,27,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/7/2018,,32,13,13,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/8/2018,,27,7,10,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/9/2018,,30,9,11,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/10/2018,,36,11,22,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/11/2018,,37,22,28,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/12/2018,,39,26,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/13/2018,,39,23,23,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/14/2018,,33,20,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/15/2018,,46,21,25,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/16/2018,,42,23,23,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/17/2018,,38,23,27,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/18/2018,,51,25,25,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/19/2018,,52,25,33,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/20/2018,,48,26,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/21/2018,,34,20,20,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/22/2018,,40,20,25,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/23/2018,,46,25,28,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/24/2018,,45,28,29,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/25/2018,,41,24,25,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/26/2018,,48,25,30,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/27/2018,,43,30,34,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/28/2018,,41,24,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/29/2018,,53,25,29,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/30/2018,,44,24,24,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,3/31/2018,,43,24,40,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/1/2018,,42,12,13,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/2/2018,,33,13,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/3/2018,,37,21,29,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/4/2018,,30,14,14,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/5/2018,,27,10,11,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/6/2018,,37,11,22,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/7/2018,,26,9,11,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/8/2018,,31,11,23,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/9/2018,,33,23,24,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/10/2018,,39,22,23,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/11/2018,,36,23,33,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/12/2018,,50,33,38,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/13/2018,,56,38,39,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/14/2018,,41,30,31,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/15/2018,,32,22,22,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/16/2018,,25,22,23,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/17/2018,,31,23,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/18/2018,,39,26,30,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/19/2018,,32,20,21,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/20/2018,,47,21,26,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/21/2018,,52,25,40,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/22/2018,,56,34,47,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/23/2018,,61,34,37,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/24/2018,,68,34,39,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/25/2018,,71,35,39,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/26/2018,,59,37,39,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/27/2018,,67,35,39,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/28/2018,,65,31,35,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/29/2018,,55,27,37,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,4/30/2018,,65,37,51,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/1/2018,,81,51,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/2/2018,,75,55,57,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/3/2018,,65,49,51,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/4/2018,,71,51,54,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/5/2018,,75,54,61,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/6/2018,,80,50,59,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/7/2018,,73,46,52,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/8/2018,,81,52,58,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/9/2018,,79,55,56,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/10/2018,,65,49,52,,,,,,,
