STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,Month,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/1/2018,,28,13,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/2/2018,,25,17,,,Column1,,,Column1,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/3/2018,,47,17,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/4/2018,,48,19,,,Mean,75.89869952,24.3881664,Mean,54.60301164,12.55722869
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/5/2018,,60,23,,,Standard Error,0.429225337,-17.53931926,Standard Error,0.435250751,-17.53597181
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/6/2018,,61,29,,,Median,77,25,Median,56,13.33333333
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/7/2018,,57,49,,,Mode,93,33.88888889,Mode,73,22.77777778
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/8/2018,,59,37,,,Standard Deviation,16.4062928,-8.663170665,Standard Deviation,16.63660238,-8.535220898
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/9/2018,,46,31,,,Sample Variance,269.1664435,131.7591353,Sample Variance,276.7765389,135.986966
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Jan,1/10/2018,,55,45,,,Kurtosis,-0.31014919,-17.95008288,Kurtosis,-0.991473731,-18.32859652
