STATION,NAME,DATE,TAVG,TMAX,TMIN,TAVG.C,TMAX.C,TMIN.C
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/26/2021,5,7,-7,-15,-13.88888889,-21.66666667
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/27/2021,-4,11,-9,-20,-11.66666667,-22.77777778
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/28/2021,13,20,9,-10.55555556,-6.666666667,-12.77777778
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/29/2021,21,25,19,-6.111111111,-3.888888889,-7.222222222
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/30/2021,25,26,23,-3.888888889,-3.333333333,-5
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/31/2021,24,27,20,-4.444444444,-2.777777778,-6.666666667
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/1/2021,23,23,21,-5,-5,-6.111111111
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/2/2021,22,25,19,-5.555555556,-3.888888889,-7.222222222
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/3/2021,23,28,21,-5,-2.222222222,-6.111111111
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/4/2021,16,24,5,-8.888888889,-4.444444444,-15
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/5/2021,4,8,-4,-15.55555556,-13.33333333,-20
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/6/2021,-7,-3,-16,-21.66666667,-19.44444444,-26.66666667
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/7/2021,-14,-8,-21,-25.55555556,-22.22222222,-29.44444444
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/8/2021,-12,-1,-20,-24.44444444,-18.33333333,-28.88888889
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/9/2021,-6,0,-13,-21.11111111,-17.77777778,-25
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2/10/2021,-8,-2,-15,-22.22222222,-18.88888889,-26.11111111
