ID,Region,Population,Block,FirstFlower,SecondFlower,Herm,Stam,OV_1,OV_2,OV_3,Pollen
CE1,South,CE,B,,,,,,,,
CE10,South,CE,A,,,,,,,,
CE10,South,CE,B,,,,,,,,
CE11,South,CE,A,,,,,,,,
CE11,South,CE,A,,,,,,,,
CE11,South,CE,B,,,,,,,,
CE2,South,CE,A,,,,,,,,
CE2,South,CE,B,,,,,,,,
CE3,South,CE,A,,,,,,,,
CE3,South,CE,B,,,,,,,,
CE4,South,CE,A,,,,,,,,
CE4,South,CE,B,,,,,,,,
CE5,South,CE,A,,,,,,,,
CE5,South,CE,B,,,,,,,,
CE6,South,CE,A,,,,,,,,
CE6,South,CE,B,,,,,,,,
CE7a,South,CE,A,,,,,,,,
CE7a,South,CE,B,,,,,,,,
CE7b,South,CE,A,,,,,,,,
CE7b,South,CE,B,,,,,,,,
CE8,South,CE,A,,,,,,,,
CE8,South,CE,B,,,,,,,,
CE9,South,CE,A,,,,,,,,
CE9,South,CE,B,,,,,,,,
FR1,North,FR,A,2/13/2022,2/24/2022,,,3/5/2022,,,3/5/2022
FR1,North,FR,B,2/22/2022,,,,,,,
FR10,North,FR,A,2/13/2022,2/25/2022,1,0,3/5/2022,,,
FR10,North,FR,B,,,,,,,,
FR11,North,FR,A,2/11/2022,2/22/2022,1,0,,,,
FR11,North,FR,B,2/22/2022,,,,,,,
FR12,North,FR,A,2/11/2022,2/26/2022,0,1,,,,3/5/2022
FR12,North,FR,B,,,,,,,,
FR2,North,FR,A,2/21/2022,,,,,,,
FR2,North,FR,B,,,,,,,,
FR6,North,FR,A,2/11/2022,,,,,,,
FR6,North,FR,B,,,,,,,,
FR8,North,FR,A,2/17/2022,3/4/2022,0,1,,,,
FR8,North,FR,B,2/14/2022,,,,,,,
OP1,South,OP,A,2/15/2022,3/5/2022,,,,,,
OP1,South,OP,B,2/21/2022,,,,,,,
OP11,South,OP,B,,,,,,,,
OP2,South,OP,A,2/10/2022,2/24/2022,,,3/5/2022,3/5/2022,3/5/2022,3/5/2022
OP2,South,OP,B,2/17/2022,2/28/2022,0,1,,,,3/5/2022
OP3,South,OP,A,2/19/2022,,,,,,,
OP3,South,OP,B,2/21/2022,,,,,,,
OP4,South,OP,A,2/12/2022,2/22/2022,1,1,,,,3/5/2022
OP4,South,OP,B,2/22/2022,,,,,,,
OP5,South,OP,A,2/16/2022,,,,,,,
OP5,South,OP,B,2/21/2022,,,,,,,
OP6,South,OP,A,2/14/2022,3/3/2022,0,1,,,,
OP6,South,OP,B,2/22/2022,,,,,,,
OP7,South,OP,A,2/14/2022,3/1/2022,1,0,,,,
OP7,South,OP,B,2/18/2022,,,,,,,
OP8,South,OP,A,2/19/2022,,,,,,,
OP8,South,OP,B,2/25/2022,,,,,,,
OP9,South,OP,A,2/18/2022,,,,,,,
OP9,South,OP,B,,,,,,,,
PI1,North,PI,A,2/13/2022,3/1/2022,0,1,,,,3/5/2022
PI1,North,PI,B,2/24/2022,,,,,,,
PI10,North,PI,A,,,,,,,,
PI10,North,PI,B,2/21/2022,,,,,,,
PI11,North,PI,A,2/17/2022,,,,,,,
PI11,North,PI,B,2/16/2022,3/3/2022,0,1,,,,3/5/2022
PI12,North,PI,A,2/17/2022,2/28/2022,1,0,,,,3/5/2022
