OPEN 5.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep 28 2021 14:05:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputeList=,/User/Configs/Comps/Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCTable=,/Sys/Lib/StdBLCTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02B RedBlue #SI-1466,1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogFormat=,/User/Configs/LogFormats/horsenettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogCodes=,-35,-21,-36,30,23,36,21,25,-33,-34,-32,-9,-10,-8,-1,-2,-4,-5,-14,-15,-7,-12,-13,-11,-65,-66,-72,-23,-107,-108,-109
PromptList=,/User/Configs/Prompts/horsenettle prompts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stability= (CO2S 15s SLP<1)(H2OS 15s SLP<1)(Flow 15s SLP<1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:05:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$STARTOFDATA$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Ramet,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,
FR10    ,13,c                                     ,1,14:08:05,190,24,0.168,158,4.8,2.84,2.3,1,4.46,25.41,24.59,25.23,419.15,407.19,0.537,2.74,1.61,8.19,499.7,399,0,97.37,-5.96,0.0747,1,111115,
OP9     ,13,c                                     ,2,14:10:23,328,13.4,0.0499,-28.3,1.6,3.11,2.3,1,4.46,25.7,25.33,25.52,420.61,414.15,0.64,1.377,1.88,4.05,499.8,399,0,97.38,-5.96,0.0747,1,111115,
PI21    ,13,c                                     ,3,14:12:18,443,14.6,0.0344,-273,1.13,3.16,2.3,1,4.46,25.87,25.49,25.7,419.38,412.46,0.709,1.226,2.06,3.57,499.7,399,0,97.36,-5.96,0.0747,0.7,111115,
OP6     ,13,c                                     ,4,14:14:49,594.5,25.6,0.0651,-233,2.07,3.09,2.3,1,4.46,26.06,25.42,25.91,421.32,409.14,0.785,1.738,2.26,4.99,499.7,401,0,97.35,-5.96,0.0747,0.7,111115,
PI19    ,15,c                                     ,5,14:18:02,787,13.8,0.0439,-103,1.45,3.19,2.3,1,4.46,26.22,25.84,26.1,418.62,412,0.853,1.52,2.43,4.33,499.7,401,0,97.35,-5.96,0.0747,1,111115,
OP2     ,14,c                                     ,6,14:22:16,1041,24,0.0586,-259,1.91,3.16,2.3,1,4.46,26.42,25.79,26.3,420.34,408.92,0.941,1.818,2.65,5.12,499.7,401,0,97.35,-5.96,0.0747,1,111115,
PI28    ,14,c                                     ,7,14:23:48,1133.5,6.8,0.0231,-65.2,0.789,3.28,2.3,1,4.46,26.52,26.18,26.4,420.32,417.04,0.977,1.34,2.73,3.75,499.7,401,0,97.34,-5.96,0.0747,1,111115,
FR11    ,14,c                                     ,8,14:25:12,1217.5,16.2,0.106,149,3.26,2.99,2.3,1,4.46,26.61,25.31,26.5,419.37,411.29,1.01,2.505,2.81,6.97,499.7,401,0,97.35,-5.96,0.0747,0.7,111115,
