OPEN 5.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct  1 2021 13:28:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputeList=,/User/Configs/Comps/Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCTable=,/Sys/Lib/StdBLCTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02B RedBlue #SI-1466,1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogFormat=,/User/Configs/LogFormats/horsenettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogCodes=,-35,-21,-36,30,23,36,21,25,-33,-34,-32,-9,-10,-8,-1,-2,-4,-5,-14,-15,-7,-12,-13,-11,-65,-66,-72,-23,-107,-108,-109,,
PromptList=,/User/Configs/Prompts/horsenettle prompts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stability= (CO2S 15s SLP<1)(H2OS 15s SLP<1)(Flow 15s SLP<1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:28:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$STARTOFDATA$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Ramet,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,ID,Block,Ramet
PI13    ,11,c                                     ,1,13:31:20,167,7.89,0.0239,-122,0.681,2.78,2.3,1,4.46,23.37,23.17,23.2,419.38,415.62,0.434,0.747,1.48,2.55,499.7,399,0,98.36,-6.88,0.141,0.7,111115,PI13    ,11,c                                     
CE7a    ,11,c                                     ,2,13:32:46,253.5,11.3,0.0606,100,1.67,2.71,2.3,1,4.46,23.54,23.1,23.38,417.64,412.14,0.495,1.265,1.67,4.27,499.7,401,0,98.38,-6.88,0.141,0.7,111115,CE7a    ,11,c                                     
PI25    ,11,c                                     ,3,13:34:05,331,8.17,0.0578,174,1.59,2.7,2.3,1,4.46,23.68,23.05,23.53,420.06,415.99,0.552,1.283,1.85,4.29,499.7,399,0,98.36,-6.88,0.141,0.7,111115,PI25    ,11,c                                     
PI15    ,11,c                                     ,4,13:35:13,399.5,10.1,0.0323,-93.5,0.918,2.77,2.3,1,4.46,23.8,23.31,23.65,420,415.19,0.597,1.019,1.98,3.39,499.7,400,0,98.36,-6.88,0.141,0.7,111115,PI15    ,11,c                                     
PI3     ,11,c                                     ,5,13:37:10,517,13.4,0.0612,48.9,1.72,2.76,2.3,1,4.46,23.98,23.51,23.84,420.04,413.55,0.668,1.461,2.2,4.8,499.7,400,0,98.36,-6.88,0.141,0.7,111115,PI3     ,11,c                                     
CE10    ,11,c                                     ,6,13:38:23,590,15.5,0.168,246,4.26,2.54,2.3,1,4.46,24.07,22.92,23.94,420.02,412.08,0.71,2.668,2.32,8.73,499.7,401,0,98.35,-6.88,0.141,0.7,111115,CE10    ,11,c                                     
PI4     ,11,c                                     ,7,13:40:00,687,21.2,0.105,70.3,2.84,2.67,2.3,1,4.46,24.15,23.32,24.03,419.98,409.66,0.757,2.063,2.46,6.71,499.7,399,0,98.36,-6.88,0.141,0.7,111115,PI4     ,11,c                                     
