OPEN 5.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Oct  7 2021 11:01:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputeList=,/User/Configs/Comps/Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCTable=,/Sys/Lib/StdBLCTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02B RedBlue #SI-1466,1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogFormat=,/User/Configs/LogFormats/horsenettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogCodes=,-35,-21,-36,30,23,36,21,25,-33,-34,-32,-9,-10,-8,-1,-2,-4,-5,-14,-15,-7,-12,-13,-11,-65,-66,-72,-23,-107,-108,-109
PromptList=,/User/Configs/Prompts/horsenettle prompts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stability= (CO2S 15s SLP<1)(H2OS 15s SLP<1)(Flow 15s SLP<1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$STARTOFDATA$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Ramet,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,
PI30    ,7,b                                     ,1,11:20:41,1196,5.86,0.049,210,1.38,2.76,2.3,1,4.46,23.88,23.4,23.79,420.63,417.67,0.695,1.33,2.3,4.39,499.8,401,1,98.21,-7.01,0.116,1,111115,
CE8     ,7,b                                     ,2,11:22:15,1290.5,19.7,0.167,202,4.23,2.54,2.3,1,4.46,23.94,22.87,23.85,418.95,409.11,0.733,2.673,2.41,8.8,499.7,399,1,98.21,-7.01,0.116,0.7,111115,
OP4     ,8,b                                     ,3,11:24:12,1407.5,7.12,0.133,312,3.49,2.61,2.3,1,4.46,23.94,23.12,23.87,419.64,415.7,0.775,2.376,2.55,7.82,499.7,400,1,98.21,-7.01,0.116,1,111115,
PI28    ,8,b                                     ,4,11:25:53,1508.5,15.5,0.0768,73.8,2.11,2.7,2.3,1,4.46,23.96,23.31,23.89,419.45,411.92,0.81,1.778,2.66,5.85,499.7,400,1,98.21,-7.01,0.116,0.7,111115,
CE2     ,8,b                                     ,5,11:27:18,1594,23.3,0.254,241,5.95,2.39,2.3,1,4.46,23.99,22.55,23.93,419.32,407.47,0.837,3.567,2.75,11.7,499.7,401,1,98.21,-7.01,0.116,0.7,111115,
PI13    ,8,b                                     ,6,11:28:53,1689,7.33,0.0488,160,1.36,2.72,2.3,1,4.46,24.06,23.28,23.98,419.34,415.7,0.866,1.491,2.83,4.87,499.7,400,0,98.21,-7.01,0.116,1,111115,
OP8     ,8,b                                     ,7,11:30:46,1801.5,10.5,0.0721,167,1.97,2.69,2.3,1,4.46,24.13,23.25,24.05,420.1,414.9,0.9,1.807,2.93,5.88,499.7,399,1,98.21,-7.01,0.116,0.7,111115,
PI5     ,8,b                                     ,8,11:33:02,1938,11.5,0.0481,17.9,1.36,2.76,2.3,1,4.46,24.12,23.54,24.06,420.11,414.55,0.94,1.564,3.06,5.09,499.7,401,0,98.2,-7.01,0.116,1,111115,
