Measurement,Date,ID,Ramet,Block,Photo
Initial,16-Sep,PI4,d,17,32.1
Initial,16-Sep,OP8,d,17,22.4
Initial,16-Sep,OP9,d,17,22.6
Initial,16-Sep,PI15,d,17,25.9
Initial,16-Sep,OP4,d,18,25.2
Initial,16-Sep,OP5,d,18,16.4
Initial,16-Sep,PI19,b,6,26.5
Initial,16-Sep,PI12,d,18,27.5
Initial,16-Sep,CE10,b,6,29.6
Initial,16-Sep,PI3,d,18,18.9
Initial,16-Sep,PI28,d,16,24.8
Initial,16-Sep,OP3,d,16,17.3
Final,22-Sep,OP7     ,b                                     ,10,7.85
Final,22-Sep,FR6     ,b                                     ,10,12.4
Final,22-Sep,RE5     ,b                                     ,10,-3.1
Final,22-Sep,FR1     ,b                                     ,10,-6.95
Final,22-Sep,CE7b    ,b                                     ,9,17.5
Final,22-Sep,PI3     ,b                                     ,9,0.728
Final,22-Sep,CE4     ,b                                     ,9,7.67
Final,22-Sep,CE5     ,b                                     ,9,19
Final,22-Sep,CE9     ,b                                     ,9,14.9
Final,22-Sep,FR8     ,b                                     ,9,5.38
Final,22-Sep,PI15    ,b                                     ,9,-4.33
Final,22-Sep,PI4     ,b                                     ,9,18.3
Initial,22-Sep,PI1     ,b                                     ,7,2.92
Initial,22-Sep,PI12    ,b                                     ,6,0.784
Initial,22-Sep,OP6     ,b                                     ,6,12.6
Initial,22-Sep,PI2     ,b                                     ,6,3.66
Initial,22-Sep,PL2     ,b                                     ,6,10.2
Initial,22-Sep,CE6     ,b                                     ,7,4.02
Initial,22-Sep,OP1     ,b                                     ,7,8.53
Initial,22-Sep,PI21    ,b                                     ,7,-4.67
Initial,22-Sep,PI25    ,b                                     ,7,-2.32
Initial,22-Sep,PI9     ,b                                     ,7,-1.28
Initial,22-Sep,RE3     ,b                                     ,7,-1.02
Initial,22-Sep,OP2     ,b                                     ,7,-8.34
Final,19-Sep,PI4     ,d                                     ,17,4.42
Final,19-Sep,OP8     ,d                                     ,17,6.34
Final,19-Sep,PI15    ,d                                     ,17,13.2
Final,19-Sep,OP9     ,d                                     ,17,8.05
Final,19-Sep,OP5     ,d                                     ,18,8.72
Final,19-Sep,OP4     ,d                                     ,18,6.68
Final,19-Sep,PI12    ,d                                     ,18,9.93
Final,19-Sep,PI19    ,b                                     ,6,1.76
Final,19-Sep,PI3     ,d                                     ,18,4.78
Final,19-Sep,CE10    ,b                                     ,6,9.28
Final,19-Sep,OP3     ,d                                     ,16,-1.83
Final,19-Sep,PI28    ,d                                     ,16,8.22
Initial,19-Sep,RE5     ,b                                     ,10,4.8
Initial,19-Sep,FR1     ,b                                     ,10,4.99
Initial,19-Sep,OP7     ,b                                     ,10,15.9
Initial,19-Sep,FR6     ,b                                     ,10,17.5
Initial,19-Sep,CE7b    ,b                                     ,9,18.6
Initial,19-Sep,PI3     ,b                                     ,9,17.9
Initial,19-Sep,CE4     ,b                                     ,9,22.7
Initial,19-Sep,CE5     ,b                                     ,9,19.9
Initial,19-Sep,FR8     ,b                                     ,9,15.8
Initial,19-Sep,CE9     ,b                                     ,9,21.3
Initial,19-Sep,PI4     ,b                                     ,9,17.6
Initial,19-Sep,PI5     ,b                                     ,9,18
Final,25-Sep,PI1     ,b                                     ,7,12.8
Final,25-Sep,PI12    ,b                                     ,6,11.1
Final,25-Sep,OP1     ,b                                     ,7,11.8
Final,25-Sep,CE6     ,b                                     ,7,17.2
Final,25-Sep,PI9     ,b                                     ,7,15.1
Final,25-Sep,PI25    ,b                                     ,7,7.98
Final,25-Sep,PL2     ,b                                     ,6,10.4
Final,25-Sep,OP6     ,b                                     ,6,20.8
Final,25-Sep,RE3     ,b                                     ,7,14.5
Final,25-Sep,OP2     ,b                                     ,7,17
Final,25-Sep,PI21    ,b                                     ,7,21
Final,25-Sep,PI2     ,b                                     ,6,17.3
Initial,25-Sep,FR10    ,c                                     ,13,30.6
Initial,25-Sep,OP9     ,c                                     ,13,22
Initial,25-Sep,OP6     ,c                                     ,13,28.6
Initial,25-Sep,PI21    ,c                                     ,13,28.4
Initial,25-Sep,OP2     ,c                                     ,14,16.4
Initial,25-Sep,PI28    ,c                                     ,14,29.4
Initial,25-Sep,FR11    ,c                                     ,14,22.4
Initial,25-Sep,PI19    ,c                                     ,15,11.8
Initial,25-Sep,OP7     ,c                                     ,14,11.6
Initial,25-Sep,OP3     ,c                 ,15,13.5
Initial,25-Sep,PI10    ,a                 ,1,25.9
Initial,25-Sep,CE2     ,a                 ,1,29.3
Final,28-Sep,FR10    ,c                                     ,13,24
Final,28-Sep,OP9     ,c                                     ,13,13.4
Final,28-Sep,PI21    ,c                                     ,13,14.6
Final,28-Sep,OP6     ,c                                     ,13,25.6
Final,28-Sep,PI19    ,c                                     ,15,13.8
Final,28-Sep,OP2     ,c                                     ,14,24
Final,28-Sep,PI28    ,c                                     ,14,6.8
Final,28-Sep,FR11    ,c                                     ,14,16.2
Final,28-Sep,OP3     ,c                                     ,15,19.2
Final,28-Sep,OP7     ,c                                     ,14,21.8
Final,28-Sep,CE2     ,a                                     ,1,33.6
Final,28-Sep,PI10    ,a                                     ,1,25.4
Initial,28-Sep,CE7a    ,c                                     ,11,37.3
Initial,28-Sep,PI13    ,c                                     ,11,30.4
Initial,28-Sep,PI25    ,c                                     ,11,34.4
Initial,28-Sep,PI15    ,c                                     ,11,31.9
Initial,28-Sep,PI3     ,c                                     ,11,34
Initial,28-Sep,CE10    ,c                                     ,11,37.7
Initial,28-Sep,PI4     ,c                                     ,11,23.8
Initial,28-Sep,OP4     ,c                                     ,11,26.3
Initial,28-Sep,CE6     ,c                                     ,11,25.1
Initial,28-Sep,CE8     ,c                                     ,11,30.6
Final,1-Oct,PI13    ,c                                     ,11,7.89
Final,1-Oct,CE7a    ,c                                     ,11,11.3
Final,1-Oct,PI25    ,c                                     ,11,8.17
Final,1-Oct,PI15    ,c                                     ,11,10.1
Final,1-Oct,PI3     ,c                                     ,11,13.4
Final,1-Oct,CE10    ,c                                     ,11,15.5
Final,1-Oct,PI4     ,c                                     ,11,21.2
Final,1-Oct,OP4     ,c                                     ,11,12.2
Final,1-Oct,CE8     ,c                                     ,11,9.72
Final,1-Oct,CE6     ,c                                     ,11,17.4
Initial,1-Oct,CE7b    ,a                                     ,2,27.9
Initial,1-Oct,FR12    ,a                                     ,2,41.9
Initial,1-Oct,FR2     ,a                                     ,2,23.5
Initial,1-Oct,OP3     ,a                                     ,2,32.3
Initial,1-Oct,CE1     ,a                                     ,1,29.6
Initial,1-Oct,PI9     ,a                                     ,1,26.9
Initial,1-Oct,PI28    ,a                                     ,1,39.5
Initial,1-Oct,PI1     ,a                                     ,1,30.2
Initial,1-Oct,PI4     ,a                                     ,1,36.2
Initial,1-Oct,OP4     ,a                                     ,1,33.1
Initial,1-Oct,OP5     ,a                                     ,1,23.9
Initial,1-Oct,OP1     ,a                                     ,1,34
Final,4-Oct,OP3     ,a                                     ,2,19.5
Final,4-Oct,FR2     ,a                                     ,2,16.1
Final,4-Oct,FR12    ,a                                     ,2,37.4
Final,4-Oct,CE7b    ,a                                     ,2,31.3
Final,4-Oct,CE1     ,a                                     ,1,17.3
Final,4-Oct,PI1     ,a                                     ,1,28.9
Final,4-Oct,PI1-real,a                                     ,1,23.8
Final,4-Oct,PI28    ,a                                     ,1,34.9
Final,4-Oct,OP4     ,a                                     ,1,17.4
Final,4-Oct,PI4     ,a                                     ,1,25.3
Final,4-Oct,OP1     ,a                                     ,1,22.8
Final,4-Oct,OP5     ,a                                     ,1,14.4
Initial,4-Oct,CE8     ,b                                     ,7,28.1
Initial,4-Oct,PI30    ,b                                     ,7,22.4
Initial,4-Oct,PI28    ,b                                     ,8,22.6
Initial,4-Oct,OP4     ,b                                     ,8,19.2
Initial,4-Oct,CE2     ,b                                     ,8,33.3
Initial,4-Oct,PI13    ,b                                     ,8,31.5
Initial,4-Oct,OP8     ,b                                     ,8,23.4
Initial,4-Oct,PI5     ,b                                     ,8,28.9
Initial,4-Oct,FR11    ,b                                     ,10,34
Initial,4-Oct,CE3     ,b                                     ,10,27.5
Initial,4-Oct,PI10    ,b                                     ,10,26.9
Initial,4-Oct,OP3     ,b                                     ,10,23.4
Final,7-Oct,PI30    ,b                                     ,7,5.86
Final,7-Oct,CE8     ,b                                     ,7,19.7
Final,7-Oct,OP4     ,b                                     ,8,7.12
Final,7-Oct,PI28    ,b                                     ,8,15.5
Final,7-Oct,CE2     ,b                                     ,8,23.3
Final,7-Oct,PI13    ,b                                     ,8,7.33
Final,7-Oct,OP8     ,b                                     ,8,10.5
Final,7-Oct,PI5     ,b                                     ,8,11.5
Final,7-Oct,FR11    ,b                                     ,10,17.8
Final,7-Oct,CE3     ,b                                     ,10,12.8
Final,7-Oct,OP3     ,b                                     ,10,14.7
Final,7-Oct,PI10    ,b                                     ,10,10.3
Initial,7-Oct,PI14    ,b                                     ,8,18.4
Initial,7-Oct,PI27    ,b                                     ,8,11.7
Initial,7-Oct,OP5     ,b                                     ,10,14.3
Initial,7-Oct,FR2     ,b                                     ,10,16.7
Initial,7-Oct,OP9     ,b                                     ,10,25.3
Initial,7-Oct,FR10    ,b                                     ,10,8.76
Initial,7-Oct,FR2     ,d                                     ,16,15.4
Initial,7-Oct,CE8     ,d                                     ,16,22.1
Initial,7-Oct,CE6     ,d                                     ,16,24.5
Initial,7-Oct,PI25    ,d                                     ,16,23.3
Final,10-Oct,PI27    ,b                                     ,8,16.8
Final,10-Oct,PI14    ,b                                     ,8,17.8
Final,10-Oct,FR2     ,b                                     ,10,12.9
Final,10-Oct,OP5     ,b                                     ,10,13.1
Final,10-Oct,FR10    ,b                                     ,10,5.53
Final,10-Oct,OP9     ,b                                     ,10,15.4
Final,10-Oct,CE8     ,d                                     ,16,17.5
Final,10-Oct,FR2     ,d                                     ,16,3.74
Final,10-Oct,CE6     ,d                                     ,16,23.1
Final,10-Oct,PI25    ,d                                     ,16,15.6
Initial,10-Oct,CE2     ,d                                     ,16,27.8
Initial,10-Oct,PI30    ,d                                     ,16,35.3
Initial,10-Oct,PI21    ,d                                     ,17,27.6
Initial,10-Oct,CE11    ,d                                     ,17,20.3
Initial,10-Oct,PI19    ,d                                     ,17,16.7
Initial,10-Oct,PI11    ,d                                     ,17,13.1
Initial,10-Oct,CE7b    ,d                                     ,18,22
Initial,10-Oct,FR8     ,d                                     ,18,22.8
Initial,10-Oct,CE10    ,d                                     ,18,21.7
Initial,10-Oct,PI9     ,d                                     ,18,6.37
Final,13-Oct,CE2     ,d                                     ,16,18.7
Final,13-Oct,PI30    ,d                                     ,16,13.4
Final,13-Oct,PI21    ,d                                     ,17,7.81
Final,13-Oct,CE11    ,d                                     ,17,13.7
Final,13-Oct,PI19    ,d                                     ,17,4.62
Final,13-Oct,PI11    ,d                                     ,17,14.1
Final,13-Oct,CE7b    ,d                                     ,18,12
Final,13-Oct,FR8     ,d                                     ,18,17.8
Final,13-Oct,CE10    ,d                                     ,18,6.16
Final,13-Oct,PI9     ,d                                     ,18,10.4
Initial,13-Oct,PI21    ,a                                     ,2,32.4
Initial,13-Oct,CE8     ,a                                     ,2,28.2
Initial,13-Oct,PI15    ,a                                     ,2,36.8
Initial,13-Oct,CE9     ,a                                     ,2,28.4
Initial,13-Oct,FR1     ,a                                     ,2,28.6
Initial,13-Oct,CE3     ,a                                     ,2,30.1
Initial,13-Oct,PI12    ,a                                     ,3,33.1
Initial,13-Oct,RE3     ,a                                     ,3,23.9
Initial,13-Oct,PI14    ,a                                     ,3,32.4
Initial,13-Oct,OP8     ,a                                     ,3,23.3
Initial,13-Oct,PI27    ,a                                     ,3,18.7
Final,16-Oct,CE8     ,a                                     ,2,1.94
Final,16-Oct,PI21    ,a                                     ,2,7.69
Final,16-Oct,CE9     ,a                                     ,2,6.99
Final,16-Oct,PI15    ,a                                     ,2,19
Final,16-Oct,CE3     ,a                                     ,2,25.4
Final,16-Oct,FR1     ,a                                     ,2,15.6
Final,16-Oct,PI12    ,a                                     ,3,13
Final,16-Oct,RE3     ,a                                     ,3,21.3
Final,16-Oct,PI14    ,a                                     ,3,26.8
Final,16-Oct,OP8     ,a                                     ,3,24.7
Final,16-Oct,PI27    ,a                                     ,3,18.8
Initial,16-Oct,CE4     ,a                                     ,4,33.7
Initial,16-Oct,PI13    ,a                                     ,4,24.8
Initial,16-Oct,PI19    ,a                                     ,4,18.6
Initial,16-Oct,PI18    ,a                                     ,4,24.4
Initial,16-Oct,OP9     ,a                                     ,4,18.2
Initial,16-Oct,PI11    ,a                                     ,4,27.7
Initial,16-Oct,OP7     ,a                                     ,4,36.4
Initial,16-Oct,CE7a    ,a                                     ,3,16.1
Initial,16-Oct,PI25    ,a                                     ,3,27.7
Initial,16-Oct,PI30    ,a                                     ,3,19.7
Final,19-Oct,PI13    ,a                                     ,4,9.33
Final,19-Oct,CE4     ,a                                     ,4,19.8
Final,19-Oct,PI19    ,a                                     ,4,6.38
Final,19-Oct,PI18    ,a                                     ,4,6.43
Final,19-Oct,OP9     ,a                                     ,4,10.7
Final,19-Oct,PI11    ,a                                     ,4,12.9
Final,19-Oct,OP7     ,a                                     ,4,9.81
Final,19-Oct,CE7a    ,a                                     ,3,29.7
Final,19-Oct,PI25    ,a                                     ,3,15.5
Final,19-Oct,PI30    ,a                                     ,3,11.4
Initial,19-Oct,FR10    ,a                                     ,5,15
Initial,19-Oct,CE5     ,a                                     ,5,9.23
Initial,19-Oct,FR11    ,a                                     ,5,14
Initial,19-Oct,OP2     ,a                                     ,5,16.2
Initial,19-Oct,FR6     ,a                                     ,5,22.5
Initial,19-Oct,PI3     ,a                                     ,4,15.3
Initial,19-Oct,CE10    ,a                                     ,4,35.7
Initial,19-Oct,CE11    ,a                                     ,4,16.6
Initial,19-Oct,PI5     ,a                                     ,4,27.8
Initial,19-Oct,FR8     ,a                                     ,5,15
Initial,19-Oct,OP6     ,a                                     ,5,21.5
Initial,19-Oct,RE5     ,a                                     ,5,17.3
Initial,19-Oct,PI2     ,a                                     ,5,17.2
Final,22-Oct,CE6     ,a                                     ,5,31.3
Final,22-Oct,FR11    ,a                                     ,5,9.77
Final,22-Oct,OP2     ,a                                     ,5,10.4
Final,22-Oct,FR6     ,a                                     ,5,14.9
Final,22-Oct,PI3     ,a                                     ,4,23.1
Final,22-Oct,PI3     ,a                                     ,4,5.4
Final,22-Oct,CE11    ,a                                     ,4,9.33
Final,22-Oct,PI5     ,a                                     ,4,6.57
Final,22-Oct,OP6     ,a                                     ,5,8.8
