Measurement,Date,ID,Block,Ramet,Photo
Initial,16-Sep,PI10,1,a,25.8
Initial,16-Sep,CE2,1,a,18.5
Initial,16-Sep,OP3,15,c,11
Initial,16-Sep,OP2,14,c,36.9
Initial,16-Sep,PI19,15,c,20.4
Initial,16-Sep,PI28,14,c,12.2
Initial,16-Sep,OP7,14,c,13.3
Initial,16-Sep,FR11,14,c,17.4
Initial,16-Sep,OP6,13,c,17.8
Initial,16-Sep,FR10,13,c,22.1
Initial,16-Sep,PI21,13,c,18.9
Initial,16-Sep,OP9,13,c,12.9
Final,22-Sep,PI13    ,11,c                                     ,5.68
Final,22-Sep,CE7a    ,11,c                                     ,9.06
Final,22-Sep,PI25    ,11,c                                     ,2.17
Final,22-Sep,PI15    ,11,c                                     ,13.9
Final,22-Sep,PI10    ,12,c                                     ,15.1
Final,22-Sep,PI3     ,11,c                                     ,9.26
Final,22-Sep,CE10    ,11,c                                     ,29
Final,22-Sep,PI4     ,11,c                                     ,4.6
Final,22-Sep,OP4     ,11,c                                     ,0.295
Final,22-Sep,CE8     ,11,c                                     ,11
Final,22-Sep,CE6     ,11,c                                     ,12.1
Initial,22-Sep,OP3     ,2,a                                     ,-5.58
Initial,22-Sep,OP1     ,1,a                                     ,2.5
Initial,22-Sep,CE7b    ,2,a                                     ,7.32
Initial,22-Sep,PI9     ,1,a                                     ,6.34
Initial,22-Sep,FR2     ,2,a                                     ,0.211
Initial,22-Sep,FR12    ,2,a                                     ,-8.44
Initial,22-Sep,PI28    ,1,a                                     ,16.3
Initial,22-Sep,PI4     ,1,a                                     ,11.7
Initial,22-Sep,OP5     ,1,a                                     ,11.7
Initial,22-Sep,PI1     ,1,a                                     ,7.54
Initial,22-Sep,OP4     ,1,a                                     ,3.79
Initial,22-Sep,CE1     ,1,a                                     ,10.7
Final,19-Sep,CE2     ,1,a                                     ,15.9
Final,19-Sep,PI10    ,1,a                                     ,12.6
Final,19-Sep,OP3     ,15,c                                     ,3.02
Final,19-Sep,OP2     ,14,c                                     ,19
Final,19-Sep,PI19    ,15,c                                     ,13.9
Final,19-Sep,PI28    ,14,c                                     ,19.3
Final,19-Sep,FR11    ,14,c                                     ,8.39
Final,19-Sep,OP7     ,14,c                                     ,2.12
Final,19-Sep,OP6     ,13,c                                     ,13.7
Final,19-Sep,FR10    ,13,c                                     ,21.2
Final,19-Sep,PI21    ,13,c                                     ,18.5
Final,19-Sep,OP9     ,13,c                                     ,15.7
Final,19-Sep,OP9     ,13,c                                     ,13.1
Initial,19-Sep,CE7a    ,11,c                                     ,24.6
Initial,19-Sep,PI13    ,11,c                                     ,17.8
Initial,19-Sep,PI25    ,11,c                                     ,10.7
Initial,19-Sep,PI15    ,11,c                                     ,18.6
Initial,19-Sep,PI10    ,12,c                                     ,18.8
Initial,19-Sep,RE5     ,12,c                                     ,6.62
Initial,19-Sep,PI3     ,11,c                                     ,21.2
Initial,19-Sep,CE10    ,11,c                                     ,18.7
Initial,19-Sep,OP4     ,11,c                                     ,13.2
Initial,19-Sep,PI4     ,11,c                                     ,22.4
Initial,19-Sep,CE6     ,11,c                                     ,16.7
Initial,19-Sep,CE8     ,11,c                                     ,15.3
Final,25-Sep,CE1     ,1,a                                     ,13.3
Final,25-Sep,PI9     ,1,a                                     ,24.4
Final,25-Sep,PI1     ,1,a                                     ,9.07
Final,25-Sep,FR12    ,2,a                                     ,20.6
Final,25-Sep,OP5     ,1,a                                     ,5.6
Final,25-Sep,OP1     ,1,a                                     ,13.3
Final,25-Sep,OP3     ,2,a                                     ,9.45
Final,25-Sep,PI28    ,1,a                                     ,9.55
Final,25-Sep,OP4     ,1,a                                     ,20.7
Final,25-Sep,FR2     ,2,a                                     ,9.77
Final,25-Sep,PI4     ,1,a                                     ,22.9
Final,25-Sep,CE7b    ,2,a                                     ,30.6
Initial,25-Sep,OP3     ,16,d                                     ,22
Initial,25-Sep,PI28    ,16,d                                     ,13.2
Initial,25-Sep,CE10    ,6,b                                     ,33.8
Initial,25-Sep,PI19    ,6,b                                     ,15.8
Initial,25-Sep,OP4     ,18,d                                     ,18.8
Initial,25-Sep,PI3     ,18,d                                     ,25
Initial,25-Sep,PI12    ,18,d                                     ,19.6
Initial,25-Sep,OP5     ,18,d                                     ,27.2
Initial,25-Sep,PI15    ,17,d                                     ,16.4
Initial,25-Sep,OP9     ,17,d                                     ,17.4
Initial,25-Sep,OP8     ,17,d                                     ,17.3
Initial,25-Sep,PI4     ,17,d                                     ,28.7
Final,28-Sep,PI19    ,6,b                                     ,12.8
Final,28-Sep,CE10    ,6,b                                     ,21.8
Final,28-Sep,OP3     ,16,b                                     ,27.5
Final,28-Sep,PI28    ,16,d                                     ,9.52
Final,28-Sep,PI3     ,18,d                                     ,20.5
Final,28-Sep,PI3     ,18,d                                     ,16.5
Final,28-Sep,PI12    ,18,d                                     ,15.9
Final,28-Sep,OP5     ,18,d                                     ,9.62
Final,28-Sep,PI15    ,17,d                                     ,16.4
Final,28-Sep,OP9     ,17,d                                     ,18.7
Final,28-Sep,PI4     ,17,d                                     ,16.4
Final,28-Sep,OP8     ,17,d                                     ,12.1
Initial,28-Sep,RE5     ,10,b                                     ,45.8
Initial,28-Sep,FR6     ,10,b                                     ,25.9
Initial,28-Sep,PI3     ,9,b                                     ,23.6
Initial,28-Sep,CE5     ,9,b                                     ,21.4
Initial,28-Sep,PI15    ,9,b                                     ,31.4
Initial,28-Sep,PI4     ,9,b                                     ,20.2
Initial,28-Sep,CE4     ,9,b                                     ,37.3
Initial,28-Sep,CE9     ,9,b                                     ,26.5
Initial,28-Sep,CE7b    ,9,b                                     ,33.8
Initial,28-Sep,FR8     ,9,b                                     ,27.3
Initial,28-Sep,FR1     ,10,b                                     ,29.7
Final,1-Oct,FR6     ,10,b                                     ,10.5
Final,1-Oct,PI3     ,9,b                                     ,6.97
Final,1-Oct,CE5     ,9,b                                     ,19.5
Final,1-Oct,PI5     ,9,b                                     ,8.33
Final,1-Oct,PI4     ,9,b                                     ,18.5
Final,1-Oct,CE9     ,9,b                                     ,21.6
Final,1-Oct,CE4     ,9,b                                     ,29.1
Final,1-Oct,FR8     ,9,b                                     ,22.7
Final,1-Oct,CE7b    ,9,b                                     ,28.5
Final,1-Oct,FR1     ,10,b                                     ,19.9
Final,1-Oct,OP7     ,10,b                                     ,30.2
Initial,1-Oct,RE3     ,7,b                                     ,23
Initial,1-Oct,PI21    ,7,b                                     ,32.7
