Measurement,Date,ID,Block,Ramet,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,,,
Initial,16-Sep,PI4,17,d,14,12:10:05,1946,32.1,0.129,-33.4,3.38,2.57,2.3,1,4.46,25.27,24.45,25.22,398.46,383.07,3.7,5.25,11.09,15.73,499.7,399,0,96.84,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,OP8,17,d,15,12:11:51,2052,22.4,0.07,-135,1.96,2.7,2.3,1,4.46,25.39,24.83,25.33,400.08,389.42,3.77,4.666,11.22,13.89,499.7,401,0,96.83,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,OP9,17,d,16,12:14:31,2211.5,22.6,0.0782,-87,2.16,2.67,2.3,1,4.46,25.51,24.8,25.46,400.03,389.24,3.86,4.85,11.4,14.33,499.7,401,1,96.83,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,PI15,17,d,17,12:16:55,2356,25.9,0.112,2.18,3.02,2.62,2.3,1,4.46,25.65,24.74,25.6,399.95,387.47,3.949,5.332,11.57,15.62,499.6,401,0,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,OP4,18,d,18,12:18:57,2478,25.2,0.121,36.7,3.27,2.64,2.3,1,4.46,25.75,24.97,25.7,399.98,387.81,4.015,5.51,11.7,16.05,499.7,401,0,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,OP5,18,d,19,12:20:39,2580,16.4,0.0925,91.6,2.57,2.69,2.3,1,4.46,25.82,25.08,25.78,399.87,391.84,4.059,5.234,11.77,15.18,499.7,399,0,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,PI19,6,b,20,12:22:44,2704.5,26.5,0.124,29.7,3.37,2.64,2.3,1,4.46,25.88,25.03,25.85,399.91,387.13,4.11,5.65,11.88,16.33,499.7,399,0,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,PI12,18,d,21,12:25:04,2845,27.5,0.134,41.2,3.62,2.64,2.3,1,4.46,25.94,25.1,25.92,399.85,386.56,4.154,5.81,11.97,16.73,499.7,399,0,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,CE10,6,b,22,12:27:49,3010,29.6,0.141,32.1,3.71,2.58,2.3,1,4.46,26.04,24.84,26.03,399.76,385.5,4.209,5.908,12.05,16.91,499.7,399,1,96.82,-4.06,0.14,0.7,111115,,,
Initial,16-Sep,PI3,18,d,23,12:29:55,3136,18.9,0.0707,-50.3,2.03,2.77,2.3,1,4.46,26.11,25.47,26.09,399.73,390.67,4.253,5.182,12.13,14.78,499.7,401,1,96.82,-4.06,0.14,0.7,111115,,,
