Measurement,Date,ID,Block,Ramet,Photo,,Obs,HHMMSS,FTime,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,,,
Initial,22-Sep,CE1     ,1,a                                     ,10.7,,35,13:57:13,4270.5,0.0438,-10.2,1.33,2.98,2.3,1,4.46,24.74,23.95,24.68,399.7,394.53,-0.54,0.071,-1.7,0.22,500.7,401,0,98.72,0.741,-0.0415,1,111115,,,
Final,25-Sep,CE1     ,1,a                                     ,13.3,,13,13:22:22,1938,0.205,289,6.05,2.97,2.3,1,4.46,27.73,25.56,27.69,421.48,414.2,0.52,3.296,1.36,8.62,499.7,400,0,97.74,-5.23,0.107,1,111115,,,
Initial,28-Oct,CE1     ,15,c                                     ,12.2,,25,12:29:54,4536.5,0.104,206,3.09,2.91,2.3,1,4.46,25.51,24.63,25.47,419.26,413.03,0.601,2.019,1.79,6.02,499.7,425,0,97.76,-9.26,0.11,0.7,111115,CE1     ,,
Final,31-Oct,CE1     ,15,c                                     ,3.1,,11,12:03:07,1241,0.0252,207,0.695,2.7,2.3,1,4.46,23.07,22.69,22.97,420.48,418.92,0.316,0.636,1.1,2.22,499.8,399,1,98.82,-8.96,0.0883,1,111115,CE1     ,,
Initial,10-Oct,CE10    ,4,a                                     ,22.6,,38,11:32:01,4634,0.189,195,5.8,3.01,2.3,1,4.46,28.27,26.55,28.28,420.05,408.55,2.279,4.935,5.68,12.31,499.7,401,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,CE10    ,4,a                                     ,24.5,,18,12:13:11,2425.5,0.128,79,4.19,3.2,2.3,1,4.46,27.66,26.5,27.64,418.65,406.58,0.937,2.862,2.43,7.43,499.7,400,1,96.6,-8.64,0.13,0.7,111115,CE10    ,CE10    ,4
Initial,25-Sep,CE10    ,6,b                                     ,33.8,,41,14:25:24,5720.5,0.1,-151,2.87,2.81,2.3,1,4.46,24.8,23.26,24.77,420.1,404.03,-0.814,0.506,-2.53,1.57,499.7,400,0,97.68,-3.24,0.122,0.7,111115,,,
Final,28-Sep,CE10    ,6,b                                     ,21.8,,14,14:34:26,1771,0.0928,15,3,3.16,2.3,1,4.46,27.1,26.17,26.99,418.86,408.28,1.226,2.604,3.32,7.04,499.7,399,0,97.36,-5.96,0.0747,0.7,111115,,,
Initial,19-Sep,CE10    ,11,c                                     ,18.7,,46,13:32:57,6596,0.0542,-172,1.88,3.33,2.3,1,4.46,28.21,27.59,28.13,400.37,391.43,2.972,3.835,7.5,9.67,499.6,401,0,96.94,-3.38,0.241,0.7,111115,,,
Final,22-Sep,CE10    ,11,c                                     ,29,,7,12:59:50,827.5,0.134,19.4,3.9,2.91,2.3,1,4.46,25.49,24.53,25.49,398.51,384.47,0.023,1.814,0.07,5.47,499.6,401,0,98.81,0.741,-0.0415,0.7,111115,,,
Initial,19-Oct,CE10    ,18,d                                     ,10.2,,43,14:50:52,3681,0.138,277,3.96,2.85,2.3,1,4.46,25.34,24.27,25.3,419.78,414.32,0.164,1.982,0.5,5.99,499.7,400,1,98.12,-8.9,0.105,0.7,111115,CE10    ,,
Final,22-Oct,CE10    ,18,d                                     ,9.94,,21,14:07:00,2188.5,0.065,153,1.82,2.76,2.3,1,4.46,24.05,23.1,24.02,418.88,413.96,-0.089,0.749,-0.29,2.46,499.6,400,0,98.61,-9.36,0.0288,0.7,111115,CE10    ,,
Initial,10-Oct,CE11    ,4,a                                     ,16.5,,41,11:38:59,5051.5,0.103,136,3.43,3.21,2.3,1,4.46,28.26,26.99,28.27,419.94,411.7,2.291,3.864,5.72,9.64,499.7,401,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,CE11    ,4,a                                     ,14.4,,19,12:14:15,2489.5,0.0753,88.2,2.56,3.28,2.3,1,4.46,27.68,26.53,27.66,419.56,412.45,0.944,2.122,2.45,5.5,499.6,400,1,96.56,-8.64,0.13,0.7,111115,CE11    ,CE11    ,4
Initial,19-Oct,CE11    ,16,d                                     ,10.8,,37,14:41:43,3132.5,0.0668,139,2.05,3.01,2.3,1,4.46,25.3,24.67,25.26,419.85,414.48,0.148,1.093,0.45,3.31,499.7,400,0,98.11,-8.9,0.105,0.7,111115,CE11    ,,
Final,22-Oct,CE11    ,17,d                                     ,32.8,,17,14:01:33,1862,0.24,162,5.87,2.5,2.3,1,4.46,24.14,22.68,24.12,418.98,402.79,-0.029,2.666,-0.09,8.71,499.7,399,1,98.62,-9.36,0.0288,0.7,111115,CE11    ,,
Initial,16-Sep,CE2,1,a,18.5,,27,12:39:01,3682,0.0689,-52.1,1.96,2.74,2.3,1,4.46,26.26,25.37,26.25,399.64,390.78,4.391,5.287,12.4,14.93,499.7,401,0,96.79,-4.06,0.14,0.7,111115,,,
