DOY,Txmax,Txmin,Mnmax,Mnmin,TXflwr,MNflwr
1,50.1,35.8,19.3,3.5,,
2,47.6,35.3,22.6,5.5,,
3,54.6,32.8,27,6.5,,
4,54.8,35.2,21.3,6.6,,
5,57.6,32.2,21.9,4.3,,
6,56.3,34.3,17.8,5.5,,
7,57.7,35.9,22.7,9.1,,
8,54.9,37.5,24,5.1,,
9,54,40.5,26,7.5,,
10,55,41.6,27.8,11.4,,
11,57.3,37.4,26.2,9.6,,
12,55.9,34.7,19.6,3.4,,
13,51,34.7,18,0.7,,
14,55.7,38.5,24.9,8.1,,
15,57.9,39.6,24.9,7.6,,
16,56.4,40.2,23.2,5.5,,
17,57.7,37.7,21.2,6.1,,
18,59.2,35.3,24.8,7.2,,
19,63.3,37.5,21.7,4.6,,
20,64.9,40.2,19.8,5.5,,
21,58.1,39.9,19,1.7,,
22,59.9,38.6,22.3,11.7,,
23,56.8,36.4,21.4,9.8,,
24,63.4,36.2,26.6,11.8,,
25,61.2,39.5,25.9,14.7,,
26,61,41.2,27.1,13.1,,
27,64.1,38.1,25.1,11.6,,
28,64.3,40.3,23.5,13.8,,
29,62.7,38.9,24.2,6.8,,
30,62.8,40,25.5,6.2,,
31,67.3,46.5,24.3,11.6,,
32,64.9,40.5,22.2,7.5,,
33,56.7,38.3,23.1,7.6,,
34,57.4,41,24.4,9.9,,
35,58.4,41,24.5,3.9,,
36,54.4,37.4,20.4,3.9,,
37,57.1,41.1,25.7,9.1,,
38,62.1,38.8,26.8,8.5,,
39,58.6,38.3,15.9,4.2,,
40,59,39.1,18.1,2.2,,
41,58.9,36.7,20.8,3.3,,
42,56.3,39.7,24,5.5,,
43,56.5,38.5,24.3,6.7,,
44,60.1,37.5,26,5.8,,
45,68.1,43.9,26.4,9.1,,
46,69.7,46.9,25.6,10.5,,
47,65.8,43.4,27.3,11.6,,
48,68.1,46.2,31.2,17.2,,
49,68.2,48,31.6,10.8,,
50,65,49.9,27.9,9.9,,
51,67.5,47.3,30.7,14.1,,
52,64.1,42.5,28.5,13,,
53,61.2,43.1,29.1,14.7,,
54,63.3,45.7,30.1,15.2,,
55,63.1,42.1,29.3,11.1,,
