ID,location,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
CE7B A,South,99.16,24.72,8.73,40.72,NA,0.66,NA,15.99,31.98,14.31,NA
FR10 A,North,105.21,30.16,9.45,50.87,0.43,NA,NA,20.71,41.41,18.52,NA
FR10 C,North,106.02,31.47,8.7,54.24,0.4,NA,NA,22.77,45.53,18.72,NA
FR11 C,North,72.11,25.82,10.01,41.63,1.36,NA,6.16,15.81,31.62,14.14,NA
FR12 A,North,96,28.48,8.44,48.52,0.62,NA,NA,20.04,40.08,17.94,NA
FR2 A,North,97.72,26.21,1.18,51.24,0.24,NA,NA,25.03,50.06,22.39,NA
FR8 A,North,37.46,26.46,6.79,46.13,0.77,NA,2.84,19.67,39.35,17.61,NA
OP1 A,South,69.58,26.15,8.93,43.38,0.55,NA,NA,17.22,34.45,15.41,NA
OP1 B,South,86.54,25.49,9.48,41.5,0.74,NA,NA,16.01,32.02,14.35,NA
OP1 C,South,96.39,30.37,9.47,51.27,0.48,NA,NA,20.9,41.8,18.7,NA
OP2 A,South,95.18,28.92,9.49,48.34,0.7,NA,NA,19.42,38.85,17.37,NA
OP2 B,South,59.42,24.98,9.26,40.7,NA,0.93,NA,15.72,31.44,14.06,NA
OP2 C,South,60.41,26.5,9.43,43.57,0.65,NA,NA,17.07,34.14,15.29,NA
OP3 A,South,85.49,30.6,8.24,52.96,0.35,NA,NA,22.36,44.72,19.4,NA
OP3 B,South,91.67,26.5,8.44,44.56,0.54,NA,NA,18.06,36.12,16.18,NA
OP3 D,South,76.05,26.48,9.77,43.19,0.74,NA,NA,16.71,33.41,14.97,NA
OP4 A,South,96.13,31.56,7.74,55.37,0.39,NA,NA,23.82,47.63,19.1,NA
OP4 B,South,99.14,31.38,8.72,54.04,0.44,NA,NA,22.66,45.32,18.75,NA
OP4 C,South,94.52,28.89,6.94,50.84,0.52,NA,NA,21.95,43.89,19.63,NA
OP4 D,South,88.82,30.81,8.39,53.22,0.41,NA,NA,22.41,44.83,19.22,NA
OP5 A,South,95.03,27.35,9.16,45.53,0.66,NA,NA,18.18,36.37,16.28,NA
OP5 C,South,17.23,25.45,8.39,42.51,0.53,NA,NA,17.06,34.12,15.28,NA
OP5 D,South,89.32,27.82,9.15,46.5,0.69,NA,NA,18.68,37.35,16.71,NA
OP6 A,South,68.88,25.47,9.26,41.69,0.67,NA,NA,16.21,32.43,14.53,NA
OP6 B,South,95.1,27.17,8.75,45.59,0.66,NA,NA,18.42,36.84,16.48,NA
OP6 C,South,90.47,28.64,8.2,49.07,0.58,NA,NA,20.44,40.88,18.29,NA
OP7 A,South,90.7,26.29,9.79,42.78,0.7,NA,NA,16.5,32.99,14.76,NA
OP7 B,South,82.65,26.98,9.23,44.74,0.74,NA,NA,17.75,35.5,15.88,NA
OP7 C,South,90.81,27.87,8.88,46.86,0.62,NA,NA,18.99,37.98,16.99,NA
OP8 A,South,92.01,26.32,9.21,43.43,0.63,NA,NA,17.11,34.22,15.31,NA
OP8 D,South,88.73,26.52,8.98,44.07,0.63,NA,NA,17.54,35.09,15.71,NA
OP9 A,South,79.52,28.58,8.79,48.37,0.64,NA,NA,19.79,39.58,17.71,NA
OP9 C,South,76.25,27.73,9.12,46.35,0.72,NA,NA,18.62,37.24,16.66,NA
OP9 D,South,76.09,26.5,9.83,43.17,0.75,NA,2.76,16.67,33.34,14.94,NA
PI1 A,North,85.47,31.79,8.74,54.85,0.44,NA,NA,23.06,46.11,18.52,NA
PI1 C,North,84.27,35.37,8.85,61.88,0.41,NA,NA,26.51,53.03,16.49,NA
PI10 B,North,87.93,29.48,9.09,49.88,0.66,NA,NA,20.4,40.8,18.26,NA
PI11 C,North,73.83,31.28,9.23,53.32,0.45,NA,NA,22.04,44.09,18.59,NA
PI12 B,North,38.03,28.15,6.19,50.11,0.39,NA,NA,21.96,43.92,19.64,NA
PI12 D,North,76.39,32.02,7.84,56.2,0.35,NA,NA,24.18,48.35,18.79,NA
PI13 A,North,70.29,29.98,9.64,50.31,0.84,NA,3.12,20.33,40.66,18.18,NA
PI14 A,North,72.37,31.52,9.61,53.42,0.45,NA,NA,21.9,43.81,18.29,NA
PI14 B,North,83.1,28.46,9.33,47.59,0.74,NA,NA,19.13,38.26,17.13,NA
PI15 A,North,83.98,29.98,9.35,50.62,0.65,NA,NA,20.63,41.27,18.45,NA
PI15 C,North,67.25,30.01,8.04,51.98,0.46,NA,NA,21.97,43.94,19.65,NA
PI15 D,North,78.34,29.05,9.32,48.77,0.56,NA,NA,19.72,39.45,17.64,NA
PI18 A,North,77.38,29.69,9.23,50.15,0.74,NA,NA,20.46,40.91,18.3,NA
PI2 B,North,99.17,30.42,9.14,51.7,0.43,NA,NA,21.28,42.56,19.05,NA
PI21 C,North,68.79,26.6,9.65,43.55,0.86,NA,3.2,16.95,33.9,15.18,NA
PI28 A,North,83.35,29.45,8.73,50.17,0.66,NA,NA,20.72,41.44,18.55,NA
PI28 C,North,84.49,27.82,9.13,46.5,0.68,NA,NA,18.68,37.37,16.71,NA
PI28 D,North,93.85,28.66,9.8,47.52,0.84,NA,3.11,18.86,37.72,16.88,NA
PI3 C,North,89.76,29,8.94,49.06,0.62,NA,NA,20.06,40.13,17.94,NA
PI3 D,North,88.55,31.06,7.3,54.82,0.32,NA,NA,23.76,47.52,19.57,NA
PI30 B,North,93.12,30.43,9.04,51.81,0.41,NA,NA,21.39,42.78,19.15,NA
PI4 A,North,88.7,33.84,8.98,58.7,0.43,NA,NA,24.85,49.71,17.28,NA
PI4 D,North,79.57,27.64,8.2,47.08,0.57,NA,NA,19.44,38.88,17.4,NA
PI9 B,North,82.06,28.8,8.52,49.08,0.71,NA,NA,20.28,40.56,18.14,NA
PI9 C,North,85.45,30.25,8.91,51.58,0.42,NA,NA,21.34,42.67,19.09,NA
PI21 B,North,69.01,29.64,9.19,50.09,0.66,NA,NA,20.45,40.9,18.3,NA
