population,location,number,ID,ramet,block,pair,treatment_initial,treatment_final,control_initial,control_final
Oil Patch,South,5,OP5,A,1,1,414,72,433,439
Prairie Island,North,28,PI28,A,1,1,471,148,503,446
Oil Patch,South,1,OP1,A,1,2,553,129,509,452
Prairie Island,North,9,PI9,A,1,2,344,129,389,446
Oil Patch,South,4,OP4,A,1,3,433,198,477,490
Prairie Island,North,10,PI10,A,1,3,446,160,458,471
Cemetary,South,2,CE2,A,1,4,452,122,439,395
Prairie Island,North,4,PI4,A,1,4,503,192,439,490
Cemetary,South,1,CE1,A,1,5,471,179,484,458
Prairie Island,North,1,PI1 ,A,1,5,420,154,300,389
Cemetary,South,9,CE9,A,2,6,592,294,572,534
Prairie Island,North,15,PI15,A,2,6,553,129,465,471
Frontenac,North,2,FR2,A,2,7,300,122,325,351
Oil Patch,South,3,OP3,A,2,7,560,224,528,509
Prairie Island,North,21,PI21,A,2,8,553,249,553,547
Cemetary,South,7b,CE7b,A,2,8,560,192,553,528
Cemetary,South,3,CE3,A,2,9,566,281,572,547
Frontenac,North,12,FR12,A,2,9,560,224,534,579
Frontenac,North,1,FR1 ,A,2,10,528,198,534,534
Cemetary,South,8,CE8,A,2,10,515,255,490,477
Prairie Island,North,12,PI12,A,3,11,515,230,522,458
Parking Lot,South,5,PL5,A,3,11,433,160,408,414
Prairie Island,North,14,PI14,A,3,12,477,224,427,408
Parking Lot,South,4,PL4,A,3,12,509,230,534,528
Cemetary,South,7a,CE7a,A,3,13,528,192,547,528
Prairie Island,North,27,PI27,A,3,13,490,363,560,515
Oil Patch,South,8,OP8,A,3,14,471,255,509,389
Prairie Island,North,30,PI30,A,3,14,528,294,547,522
Prairie Island,North,25,PI25,A,3,15,534,236,515,458
Reserve,South,3,RE3,A,3,15,503,255,490,452
Prairie Island,North,5,PI5,A,4,16,471,255,458,471
Cemetary,South,4,CE4,A,4,16,509,179,490,515
Parking Lot,South,2,PL2,A,4,17,515,179,490,490
Prairie Island,North,19,PI19,A,4,17,427,255,496,471
Cemetary,South,11,CE11,A,4,18,522,211,560,585
Prairie Island,North,11,PI11,A,4,18,515,268,553,522
Prairie Island,North,13,PI13,A,4,19,484,255,553,427
Oil Patch,South,7,OP7,A,4,19,490,249,471,477
Prairie Island,North,3,PI3 ,A,4,20,458,275,547,522
Oil Patch,South,9,OP9,A,4,20,484,224,515,446
Cemetary,South,10,CE10,A,4,21,452,141,433,452
Prairie Island,North,18,PI18,A,4,21,446,217,474,408
Prairie Island,North,12,PI12,B,6,27,598,205,579,528
Cemetary,South,10,CE10,B,6,27,541,217,585,534
Parking Lot,South,2,PL2,B,6,28,509,160,560,566
Prairie Island,North,2,PI2,B,6,28,598,249,572,547
Prairie Island,North,19,PI19,B,6,31,534,211,534,515
Oil Patch,South,6,OP6,B,6,31,541,154,528,503
Oil Patch,South,2,OP2,B,7,32,604,186,661,553
Prairie Island,North,1,PI1,B,7,32,585,211,642,534
Prairie Island,North,21,PI21,B,7,33,617,249,630,471
Oil Patch,South,1,OP1,B,7,33,560,198,611,547
Cemetary,South,8,CE8,B,7,34,522,192,490,465
Prairie Island,North,9,PI9,B,7,34,630,287,636,541
Prairie Island,North,30,PI30,B,7,35,611,217,585,566
Reserve,South,3,RE3,B,7,35,522,211,496,509
Prairie Island,North,25,PI25,B,7,36,572,186,598,465
Cemetary,South,6,CE6,B,7,36,585,167,598,547
