population,location,number,epr_trt,epr_max,cntr_trt,cntr_max
Cemetary,South,1,83.5,246,38.6,263
Cemetary,South,2,90.9,225,25.6,221
Cemetary,South,3,46.3,165.5,28.9,244
Cemetary,South,4,42.6,211,26.1,223
Cemetary,South,5,80.4,293,27,282
Cemetary,South,6,56.7,187.3,19.17,198.3
Cemetary,South,7a,55.8,231,22.4,208
Cemetary,South,7b,59.1,263,30.8,242
Cemetary,South,8,50.8,220,19.06,213
Cemetary,South,9,69,197,24.5,193.1
Cemetary,South,10,43.7,204,18.22,205
Cemetary,South,11,54.1,212,15.28,215
Oil Patch,South,1,66.4,152.7,12.43,122.8
Oil Patch,South,2,80.5,184.2,22.1,165.1
Oil Patch,South,3,64,152.9,12.57,137.8
Oil Patch,South,4,34.6,164.5,11.91,154.7
Oil Patch,South,5,120.5,195.5,18.62,198.2
Oil Patch,South,6,54.7,150.2,16.08,155.4
Oil Patch,South,7,77.8,163,15.34,152.7
Oil Patch,South,8,53.5,162.4,26.3,175.3
Oil Patch,South,9,29.7,148.4,19.64,144.6
Parking Lot,South,2,54.4,189.1,18.54,191.8
Parking Lot,South,4,28.3,157.6,18.69,192.9
Parking Lot,South,5,78.7,289,32.7,301
Prairie Island,North,1,51.3,194.7,23,196.3
Prairie Island,North,2,36.8,159.8,18.22,169.2
Prairie Island,North,3,63.9,168.6,24.1,206
Prairie Island,North,4,70.9,129.6,19.63,142.6
Prairie Island,North,5,127.2,205,29,213
Prairie Island,North,9,70.3,174.4,19.27,196.7
Prairie Island,North,9,86.1,193.7,16.11,175.1
Prairie Island,North,10,77.7,218,19.69,190.1
Prairie Island,North,11,132.8,205,17.55,192
Prairie Island,North,12,104,193.1,18.93,188.5
Prairie Island,North,13,138,246,27.9,245
Prairie Island,North,14,55.2,222,17.86,213
Prairie Island,North,15,23.7,148.8,8.88,126.2
Prairie Island,North,18,44.2,157.1,16.54,169.1
Prairie Island,North,19,78.1,156.1,16.97,158.9
Prairie Island,North,21,136.6,213,24.9,193.3
Prairie Island,North,25,40.6,150.1,15.73,159.6
Prairie Island,North,27,49.4,159.7,17.55,162.3
Prairie Island,North,28,18.52,196.2,18.52,191.5
Prairie Island,North,30,34.2,133.7,12.58,144.9
Reserve,North,3,48.8,239,27.4,250
Reserve,North,5,64.2,181.6,31,187.5
Tremp,North,1,32.8,163.4,15.63,153.5
Tremp,North,2,63.8,140.6,21.4,151.7
Tremp,North,3,71.9,179.9,23.7,185.4
Tremp,North,4,89.9,164.1,24.3,177.3
Tremp,North,5,34.7,142.5,15.43,136.2
Tremp,North,6,51.6,154.4,22.1,158.4
Tremp,North,7,38.4,174,21.7,172.9
Tremp,North,8,48,197.6,17.44,191.3
Tremp,North,9,38.7,186.3,22.2,192.3
Tremp,North,10,39.4,154.4,15.88,175
Tremp,North,11,58.3,187.7,25.7,194.4
Tremp,North,12,48.6,152.6,24.3,149.1
Tremp,North,13,48.6,157,26.1,157.8
Tremp,North,14,38.7,179.7,17.46,181.7
Tremp,North,15,43.1,132.3,15.14,125.8
Tremp,North,18,46.5,134.7,16.72,135
Tremp,North,19,46.5,175.5,15.14,187
Tremp,North,20,88.4,172.5,22.8,171.7
Tremp,North,21,58.5,151.5,17.39,138.9
Tremp,North,22,75.3,164.1,16.56,158
Tremp,North,23,36,168.5,19.93,159.4
Tremp,North,24,40.3,157.3,18.43,164.1
Tremp,North,25,50.4,153.2,32.4,169.7
Tremp,North,26,72.9,195.1,19.79,189.4
Tremp,North,27,83.9,195.2,23.7,234
Tremp,North,28,61.8,209,16.75,170
Tremp,North,29,43.7,166.9,19.2,158.6
Tremp,North,30,78.2,228,26.9,251
