"","population","location","number","epr_trt","epr_max","cntr_trt","cntr_max","trtpro","cntrpro","CMS"
"1","Cemetary","South","1",83.5,246,38.6,263,0.339430894308943,0.146768060836502,77.4196411750214
"2","Cemetary","South","2",90.9,225,25.6,221,0.404,0.115837104072398,67.4083930399181
"3","Cemetary","South","3",46.3,165.5,28.9,244,0.2797583081571,0.11844262295082,81.7010566293202
"4","Cemetary","South","4",42.6,211,26.1,223,0.201895734597156,0.117040358744395,90.3896654062134
"5","Cemetary","South","5",80.4,293,27,282,0.274402730375427,0.0957446808510638,80.2425215820116
"6","Cemetary","South","6",56.7,187.3,19.17,198.3,0.302722904431393,0.0966717095310136,77.189777285354
"7","Cemetary","South","7a",55.8,231,22.4,208,0.241558441558442,0.107692307692308,84.9977608598298
"8","Cemetary","South","7b",59.1,263,30.8,242,0.224714828897338,0.127272727272727,88.8347591888466
"9","Cemetary","South","8",50.8,220,19.06,213,0.230909090909091,0.0894835680751174,84.4675485389108
"10","Cemetary","South","9",69,197,24.5,193.1,0.350253807106599,0.126877265665458,74.4163640852406
"11","Cemetary","South","10",43.7,204,18.22,205,0.21421568627451,0.0888780487804878,86.2435937004634
"12","Cemetary","South","11",54.1,212,15.28,215,0.255188679245283,0.0710697674418605,80.1794682366634
"13","Oil Patch","South","1",66.4,152.7,12.43,122.8,0.434839554682384,0.101221498371336,62.8809483419437
"14","Oil Patch","South","2",80.5,184.2,22.1,165.1,0.437024972855592,0.133858267716535,64.998025861218
"15","Oil Patch","South","3",64,152.9,12.57,137.8,0.418574231523872,0.0912191582002903,63.9786559897872
"16","Oil Patch","South","4",34.6,164.5,11.91,154.7,0.210334346504559,0.0769877181641888,85.5531035757019
"17","Oil Patch","South","5",120.5,195.5,18.62,198.2,0.616368286445013,0.0939455095862765,42.3409096929494
"18","Oil Patch","South","6",54.7,150.2,16.08,155.4,0.364181091877497,0.103474903474903,70.920369166119
"19","Oil Patch","South","7",77.8,163,15.34,152.7,0.477300613496932,0.100458415193189,58.1073065805318
"20","Oil Patch","South","8",53.5,162.4,26.3,175.3,0.329433497536946,0.150028522532801,78.8928240817271
"21","Oil Patch","South","9",29.7,148.4,19.64,144.6,0.200134770889488,0.13582295988935,92.5580282725513
"22","Parking Lot","South","2",54.4,189.1,18.54,191.8,0.287678476996298,0.0966631908237748,78.8544777283331
"23","Parking Lot","South","4",28.3,157.6,18.69,192.9,0.179568527918782,0.0968895800933126,90.8450898137116
"24","Parking Lot","South","5",78.7,289,32.7,301,0.272318339100346,0.108637873754153,81.6370406003712
"25","Prairie Island","North","1",51.3,194.7,23,196.3,0.263482280431433,0.117167600611309,83.4266753325503
"26","Prairie Island","North","2",36.8,159.8,18.22,169.2,0.230287859824781,0.107683215130024,86.2599643115956
"27","Prairie Island","North","3",63.9,168.6,24.1,206,0.379003558718861,0.116990291262136,70.3272495348623
"28","Prairie Island","North","4",70.9,129.6,19.63,142.6,0.547067901234568,0.13765778401122,52.5234750621701
"29","Prairie Island","North","5",127.2,205,29,213,0.620487804878049,0.136150234741784,43.9326617179215
"30","Prairie Island","North","9",70.3,174.4,19.27,196.7,0.403096330275229,0.0979664463650229,66.1731115565927
"31","Prairie Island","North","9",86.1,193.7,16.11,175.1,0.444501806917914,0.0920045688178184,61.1785229314254
