population,location,number,ID,ramet,block,CPS_i,CPS_f,HPS_i,HPS_f,notes
Cemetary,South,1,CE1,a,1,29.6,17.3,29.6,13.3,Used CPS_i for HPS_i- LICOR issue
Cemetary,South,10,CE10,c,11,29.6,9.28,18.7,29,
Cemetary,South,10,CE10,b,6,37.7,15.5,33.8,21.8,
Cemetary,South,2,CE2,a,1,29.3,33.6,18.5,15.9,
Cemetary,South,4,CE4,b,9,22.7,7.67,37.3,29.1,
Cemetary,South,5,CE5,b,9,19.9,19,21.4,19.5,
Cemetary,South,6,CE6,c,11,4.02,17.2,16.7,12.1,
Cemetary,South,6,CE6,b,7,25.1,17.4,39.9,16.7,
Cemetary,South,7a,CE7a,c,11,37.3,11.3,24.6,5.68,
Cemetary,South,7b,CE7b,a,2,18.6,17.5,18.6,30.6,Used CPS_i for HPS_i- LICOR issue
Cemetary,South,7b,CE7b,b,9,27.9,31.3,33.8,28.5,
Cemetary,South,8,CE8,c,11,30.6,9.72,15.3,11,
Cemetary,South,9,CE9,b,9,21.3,14.9,26.5,21.6,
Cemetary,South,8,CE8,a,2,,,33.6,12,
Cemetary,South,9,CE9,a,2,,,31.3,14.2,
Cemetary,South,3,CE3,a,2,,,35.2,20.3,
Cemetary,South,4,CE4,a,4,,,22.9,21,
Cemetary,South,7a,CE7a,a,4,,,21.2,24.8,
Cemetary,South,8,CE8,b,7,28.1,19.7,,,
Cemetary,South,2,CE2,b,8,33.3,23.3,,,
Cemetary,South,3,CE3,b,10,27.5,12.8,,,
Cemetary,South,8,CE8,d,16,22.1,17.5,,,
Cemetary,South,6,CE6,d,16,24.5,23.1,,,
Cemetary,South,1,CE1,b,8,na,na,,,
Cemetary,South,11,CE11,b,8,na,na,,,
Frontenac,North,1,FR1,b,10,4.99,-6.95,29.7,19.9,
Frontenac,North,10,FR10,c,13,30.6,24,22.1,21.2,
Frontenac,North,11,FR11,c,14,22.4,16.2,17.4,8.39,
Frontenac,North,12,FR12,a,2,41.9,37.4,41.9,20.6,Used CPS_i for HPS_i- LICOR issue
Frontenac,North,2,FR2,a,2,23.5,16.1,23.5,9.77,Used CPS_i for HPS_i- LICOR issue
Frontenac,North,6,FR6,b,10,17.5,12.4,25.9,10.5,
Frontenac,North,8,FR8,b,9,15.8,5.38,27.3,22.7,
Frontenac,North,1,FR1,a,2,,,27.7,11.7,
Frontenac,North,11,FR11,b,10,34,17.8,,,
Frontenac,North,2,FR2,b,10,16.7,12.9,,,
Frontenac,North,10,FR10,b,10,8.76,5.53,,,
Frontenac,North,2,FR2,d,16,15.4,3.74,,,
Oil Patch,South,1,OP1,a,1,8.53,11.8,8.53,13.3,Used CPS_i for HPS_i- LICOR issue
Oil Patch,South,1,OP1,b,7,34,22.8,27.6,24.4,
