population,location,ID,ramet,block,Pollen,PS Cold Initial,PS Cold Final,PS Hot Initial,PS Hot Final
Oil Patch,South,OP5,A,1,x,,,,
Prairie Island,North,PI28,A,1,x,,,,
Oil Patch,South,OP1,A,1,x,,,,
Prairie Island,North,PI9,A,1,,,,,
Oil Patch,South,OP4,A,1,x,,,,
Prairie Island,North,PI10,A,1,,,,,
Cemetary,South,CE2,A,1,,,,,
Prairie Island,North,PI4,A,1,x,,,,
Cemetary,South,CE1,A,1,,,,,
Prairie Island,North,PI1,A,1,x,,,,
Cemetary,South,CE9,A,2,,,,,
Prairie Island,North,PI15,A,2,,,,,
Frontenac,North,FR2,A,2,x,,,,
Oil Patch,South,OP3,A,2,x,,,,
Cemetary,South,CE7b,A,2,x,,,,
Prairie Island,North,PI21,A,2,,,,,
Cemetary,South,CE3,A,2,,,,,
Frontenac,North,FR12,A,2,x,,,,
Cemetary,South,CE8,A,2,,,,,
Frontenac,North,FR1,A,2,,,,,
Prairie Island,North,PI12,A,3,,,,,
Parking Lot,South,PL5,A,3,,,,,
Prairie Island,North,PI14,A,3,x,,,,
Parking Lot,South,PL4,A,3,,,,,
Cemetary,South,CE7a,A,3,,,,,
Prairie Island,North,PI27,A,3,,,,,
Oil Patch,South,OP8,A,3,x,,,,
Prairie Island,North,PI30,A,3,,,,,
Prairie Island,North,PI25,A,3,,,,,
Reserve,South,RE3,A,3,,,,,
Cemetary,South,CE4,A,4,,,,,
Prairie Island,North,PI5,A,4,x,,,12-Sep,
Prairie Island,North,PI19,A,4,,,,,
Parking Lot,South,PL2,A,4,,,,,
Cemetary,South,CE11,A,4,,,,,
Prairie Island,North,PI11,A,4,,,,,
Oil Patch,South,OP7,A,4,x,,,12-Sep,
Prairie Island,North,PI13,A,4,,,,,
Oil Patch,South,OP9,A,4,x,,,12-Sep,
Prairie Island,North,PI3,A,4,,,,,
Cemetary,South,CE10,A,4,,,,,
Prairie Island,North,PI18,A,4,x,,,12-Sep,
Cemetary,South,CE5,A,5,,,,,
Frontenac,North,FR8,A,5,x,,,12-Sep,
Cemetary,South,CE6,A,5,,,,,
Frontenac,North,FR11,A,5,,,,,
Frontenac,North,FR6,A,5,,,,,
Oil Patch,South,OP2,A,5,x,,,12-Sep,
Oil Patch,South,OP6,A,5,x,,,12-Sep,
Prairie Island,North,PI2,A,5,,,,,
Frontenac,North,FR10,A,5,x,,,12-Sep,
Reserve,South,RE5,A,5,,,,,
Cemetary,South,CE10,B,6,,,,,
Prairie Island,North,PI12,B,6,x,12-Sep,,,
Prairie Island,North,PI2,B,6,,,,,
Parking Lot,South,PL2,B,6,,,,,
Oil Patch,South,OP6,B,6,x,12-Sep,,,
Prairie Island,North,PI19,B,6,,,,,
Oil Patch,South,OP2,B,7,x,12-Sep,,,
Prairie Island,North,PI1,B,7,,,,,
Oil Patch,South,OP1,B,7,x,12-Sep,,,
Prairie Island,North,PI21,B,7,x,12-Sep,,,
Cemetary,South,CE8,B,7,,,,,
Prairie Island,North,PI9,B,7,x,12-Sep,,,
Prairie Island,North,PI30,B,7,,,,,
Reserve,South,RE3,B,7,,,,,
Cemetary,South,CE6,B,7,,,,,
Prairie Island,North,PI25,B,7,,,,,
Cemetary,South,CE2,B,8,,,,,
Prairie Island,North,PI28,B,8,,,,,
Oil Patch,South,OP4,B,8,x,12-Sep,,,
Prairie Island,North,PI27,B,8,,,,,
Oil Patch,South,OP8,B,8,x,12-Sep,,,
Prairie Island,North,PI14,B,8,x,12-Sep,,,
Cemetary,South,CE1,B,8,,,,,
Prairie Island,North,PI13,B,8,x,12-Sep,,,
Cemetary,South,CE11,B,8,,,,,
Prairie Island,North,PI5,B,8,x,,,,
Cemetary,South,CE5,B,9,,,,,
Frontenac,North,FR8,B,9,,,,,
Prairie Island,North,PI3,B,9,,,,,
Cemetary,South,CE4,B,9,,,,,
Prairie Island,North,PI4,B,9,,,,,
Cemetary,South,CE9,B,9,,,,,
Cemetary,South,CE7b,B,9,,,,,
Prairie Island,North,PI15,B,9,,,,,
Frontenac,North,FR6,B,10,,,,,
Oil Patch,South,OP7,B,10,,,,,
Frontenac,North,FR2,B,10,,,,,
Oil Patch,South,OP5,B,10,,,,,
Frontenac,North,FR1,B,10,,,,,
Oil Patch,South,OP9,B,10,,,,,
Reserve,South,RE5,B,10,,,,,
Frontenac,North,FR10,B,10,,,,,
Oil Patch,South,OP3,B,10,x,12-Sep,,,
Prairie Island,North,PI10,B,10,x,12-Sep,,,
Cemetary,South,CE3,B,10,,,,,
Frontenac,North,FR11,B,10,,,,,
Cemetary,South,CE8,C,11,,,,,
Prairie Island,North,PI4,C,11,,,,,
Cemetary,South,CE6,C,11,,,,,
Prairie Island,North,PI3,C,11,,,,,
Oil Patch,South,OP4,C,11,,,,,
Prairie Island,North,PI25,C,11,,,,,
Cemetary,South,CE10,C,11,,,,,
Prairie Island,North,PI15,C,11,,,,,
Cemetary,South,CE7a,C,11,,,,,
Prairie Island,North,PI13,C,11,,,,,
Prairie Island,North,PI12,C,12,,,,,
Cemetary,South,CE9,C,12,,,,,
Prairie Island,North,PI14,C,12,,,,,
Cemetary,South,CE2,C,12,,,,,
Prairie Island,North,PI11,C,12,x,,,12-Sep,
Oil Patch,South,OP5,C,12,x,,,12-Sep,
Oil Patch,South,OP1,C,12,x,,,12-Sep,
Prairie Island,North,PI1,C,12,x,,,12-Sep,
Prairie Island,North,PI10,C,12,,,,,
Reserve,South,RE5,C,12,,,,,
Frontenac,North,FR10,C,13,x,,,,
Oil Patch,South,OP6,C,13,x,,,,
Oil Patch,South,OP9,C,13,x,,,,
Frontenac,North,FR12,C,13,,,,,
Prairie Island,North,PI30,C,13,,,,,
Cemetary,South,CE7b,C,13,,,,,
Prairie Island,North,PI21,C,13,x,,,,
Parking Lot,South,PL4,C,13,,,,,
Prairie Island,North,PI27,C,13,,,,,
Cemetary,South,CE3,C,13,,,,,
Frontenac,North,FR11,C,14,x,,,,
Oil Patch,South,OP7,C,14,x,,,,
Prairie Island,North,PI28,C,14,x,,,,
Oil Patch,South,OP2,C,14,x,,,,
Oil Patch,South,OP8,C,14,,,,,
Frontenac,North,FR2,C,14,,,,,
Prairie Island,North,PI18,C,14,,,,,
Cemetary,South,CE11,C,14,,,,,
Prairie Island,North,PI9,C,15,x,,,,
Cemetary,South,CE1,C,15,,,,,
Cemetary,South,CE4,C,15,,,,,
Frontenac,North,FR1,C,15,x,,,,
Prairie Island,North,PI5,C,15,,,,,
Parking Lot,South,PL5,C,15,,,,,
Prairie Island,North,PI2,C,15,,,,,
Parking Lot,South,PL2,C,15,,,,,
Frontenac,North,FR6,C,15,,,,,
Oil Patch,South,OP3,C,15,x,,,,
Prairie Island,North,PI28,D,16,x,,,,
Prairie Island,North,PI25,D,16,,,,,
Oil Patch,South,OP3,D,16,x,,,,
Prairie Island,North,PI30,D,16,,,,,
Cemetary,South,CE2,D,16,,,,,
Cemetary,South,CE6,D,16,,,,,
Frontenac,North,FR2,D,16,,,,,
Cemetary,South,CE8,D,16,,,,,
Prairie Island,North,PI15,D,17,x,,,,
Oil Patch,South,OP9,D,17,x,,,,
Prairie Island,North,PI21,D,17,,,,,
Prairie Island,North,PI4,D,17,,,,,
Prairie Island,North,PI11,D,17,,,,,
Oil Patch,South,OP8,D,17,,,,,
Prairie Island,North,PI19,D,17,,,,,
Parking Lot,South,PL5,D,17,,,,,
Cemetary,South,CE11,D,17,,,,,
Reserve,South,RE3,D,17,,,,,
Prairie Island,North,PI9,D,18,,,,,
Oil Patch,South,OP4,D,18,x,,,,
Oil Patch,South,OP5,D,18,x,,,,
Prairie Island,North,PI3,D,18,x,,,,
Reserve,South,RE5,D,18,,,,,
Prairie Island,North,PI1,D,18,,,,,
Cemetary,South,CE10,D,18,,,,,
Prairie Island,North,PI12,D,18,x,,,,
Cemetary,South,CE7b,D,18,,,,,
Frontenac,North,FR8,D,18,,,,,
Cemetary,South,CE5,D,19,,,,,
Prairie Island,North,PI27,D,19,,,,,
Prairie Island,North,PI5,D,19,,,,,
Parking Lot,South,PL4,D,19,,,,,
Frontenac,North,FR11,D,19,,,,,
Cemetary,South,CE7a,D,19,,,,,
Prairie Island,North,PI14,D,19,,,,,
Cemetary,South,CE3,D,19,,,,,
Frontenac,North,FR12,D,19,,,,,
Cemetary,South,CE9,D,19,,,,,
Prairie Island,North,PI18,D,20,,,,,
Oil Patch,South,OP7,D,20,,,,,
Prairie Island,North,PI13,D,20,,,,,
Oil Patch,South,OP1,D,20,,,,,
Prairie Island,North,PI10,D,20,,,,,
Cemetary,South,CE1,D,20,,,,,
Prairie Island,North,PI2,D,20,,,,,
Oil Patch,South,OP6,D,20,,,,,
Frontenac,North,FR10,D,20,,,,,
Oil Patch,South,OP2,D,20,,,,,
Frontenac,North,FR6,D,20,,,,,
Parking Lot,South,PL2,D,20,,,,,
Prairie Island,North,PI18,B,21,,,,,
Cemetary,South,CE7a,B,21,,,,,
Prairie Island,North,PI11,B,21,,,,,
Parking Lot,South,PL4,B,21,,,,,
Frontenac,North,FR12,B,21,,,,,
Parking Lot,South,PL5,B,21,,,,,
Frontenac,North,FR8,C,21,,,,,
Cemetary,South,CE5,C,21,,,,,
Frontenac,North,FR1,D,21,,,,,
Cemetary,South,CE4,D,21,,,,,
Prairie Island,North,PI27,D,21,,,,,
Cemetary,South,CE5,D,21,,,,,
