ID,ramet,location,max_germ,Tmin,Topt,Tmax
CE7b,A,South,96.7105263,2.93299517,28.37258644,41.0615509
FR10,A,North,92.9411765,9.13958386,29.29654225,50.9893066
FR11,C,North,83.887468,9.39521393,29.04803047,40.9090694
FR12,A,North,91.0543131,8.36637676,21.8009626,78.6322877
FR2,A,North,98.6183074,-16.7254,27.31656928,67.7322878
FR8,A,North,50.1872659,5.31205943,24.99997712,51.6558158
OP2,C,South,68.6390533,9.05922879,23.84855027,41.5566734
OP3,D,South,74.3589744,9.863952177,22.73333229,48.97798
OP3,B,South,85.042735,6.14647216,25.81341724,50.9892993
OP4,A,South,77.6666667,7.08670226,29.4759143,47.5865307
OP5,C,South,17.5097276,5.31545991,28.02608847,43.3816751
OP5,A,South,89.7727273,9.29998626,21.34782429,62.7102024
OP9,D,South,74.35897436,9.15543487,25.9768796,46.3404878
OP9,B,South,84.9557522,9.13962403,29.29653898,50.9892993
PI10,B,North,81.6901408,9.42102275,20.63487591,119.316648
PI28,D,North,97.1698113,9.99610914,22.94995684,67.9634644
PI28,A,North,80.8219178,8.64544874,22.01729064,100.489905
PI5,A,North,85.8789625,9.51749832,20.8381811,163.25299
OP6,A,South,67.721519,9.1503817,22.7277005,44.5619041
PI12,B,North,41.3793103,6.22079709,18.190165,121.46863
PI18,A,North,78.9473684,10.0000041,19.99014835,121.907767
