"","population","location","number","treatment_initial","treatment_final","control_initial","control_final","trtpro","cntrpro","chlp_damage","arcsintran"
"1","Cemetary","South","1",446,126,382,382,0.282511210762332,1,0.717488789237668,1.01040485140999
"2","Cemetary","South","2",392,230,465,439,0.586734693877551,0.944086021505376,0.357351327627825,0.640739837194431
"3","Cemetary","South","3",382,129,433,332,0.337696335078534,0.766743648960739,0.429047313882205,0.714205162551304
"4","Cemetary","South","4",547,110,496,515,0.20109689213894,1.0383064516129,0.837209559473964,1.15548700805016
"5","Cemetary","South","5",420,167,427,484,0.397619047619048,1.13348946135831,0.735870413739266,1.03103018995273
"6","Cemetary","South","6",376,122,382,338,0.324468085106383,0.884816753926702,0.560348668820319,0.845894326212081
"7","Cemetary","South","7a",427,160,484,471,0.374707259953162,0.973140495867769,0.598433235914607,0.88447857078342
"8","Cemetary","South","7b",370,148,332,262,0.4,0.789156626506024,0.389156626506024,0.673626203874506
"9","Cemetary","South","8",382,160,408,351,0.418848167539267,0.860294117647059,0.441445950107792,0.726709442689457
"10","Cemetary","South","9",484,129,490,471,0.266528925619835,0.961224489795918,0.694695564176084,0.985383390333184
"11","Cemetary","South","10",515,141,490,477,0.27378640776699,0.973469387755102,0.699682979988112,0.990810741414378
"12","Cemetary","South","11",471,160,465,414,0.339702760084926,0.890322580645161,0.550619820560236,0.836104856247336
"13","Oil Patch","South","1",452,116,439,477,0.256637168141593,1.08656036446469,0.8299231963231,1.14570532062298
"14","Oil Patch","South","2",446,167,433,420,0.374439461883408,0.969976905311778,0.59553744342837,0.881526709869339
"15","Oil Patch","South","3",528,173,528,496,0.327651515151515,0.939393939393939,0.611742424242424,0.898092308591125
"16","Oil Patch","South","3",484,230,471,458,0.475206611570248,0.9723991507431,0.497192539172852,0.782590687818126
"17","Oil Patch","South","4",534,192,515,534,0.359550561797753,1.0368932038835,0.677342642085742,0.966686886483532
"18","Oil Patch","South","5",503,167,509,490,0.332007952286282,0.962671905697446,0.630663953411164,0.917596993380218
"19","Oil Patch","South","7",528,217,560,541,0.410984848484849,0.966071428571429,0.55508658008658,0.840596797929667
"20","Oil Patch","South","8",465,313,471,477,0.673118279569892,1.01273885350318,0.339620573933292,0.62213288099267
"21","Oil Patch","South","8",325,148,319,376,0.455384615384615,1.17868338557994,0.723298770195322,1.01687764187526
"22","Oil Patch","South","9",452,186,446,446,0.411504424778761,1,0.588495575221239,0.874362409275652
"23","Parking Lot","South","2",338,135,344,325,0.399408284023669,0.944767441860465,0.545359157836796,0.830819769011509
"24","Parking Lot","South","3",408,167,420,338,0.409313725490196,0.804761904761905,0.395448179271709,0.680069039435665
"25","Parking Lot","South","4",357,129,344,344,0.361344537815126,1,0.638655462184874,0.925895227606677
"26","Parking Lot","South","5",477,135,354,496,0.283018867924528,1.40112994350282,1.1181110755783,NA
"27","Parking Lot","South","6",389,160,395,439,0.411311053984576,1.11139240506329,0.700081351078715,0.991245351174243
"28","Prairie Island","North","1",541,148,503,541,0.273567467652495,1.07554671968191,0.801979252029413,1.10962740087624
"29","Prairie Island","North","2",503,224,503,490,0.445328031809145,0.974155069582505,0.52882703777336,0.814241195248807
"30","Prairie Island","North","3",534,84,503,477,0.157303370786517,0.94831013916501,0.791006768378493,1.09599947962
"31","Prairie Island","North","4",515,173,509,509,0.335922330097087,1,0.664077669902913,0.952573219526906
"32","Prairie Island","North","5",496,160,522,496,0.32258064516129,0.950191570881226,0.627610925719936,0.914436736655046
"33","Prairie Island","North","9",477,103,465,496,0.215932914046122,1.06666666666667,0.850733752620545,1.17412540846578
"34","Prairie Island","North","10",547,141,604,585,0.257769652650823,0.968543046357616,0.710773393706793,1.00297336205167
"35","Prairie Island","North","11",496,84,484,439,0.169354838709677,0.90702479338843,0.737669954678752,1.03307333283329
