population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Cemetary,South,7b,CE7B,A,10,211,39,250,0.117441482,0.104771005,0.043251844,0.009671406,0.230755118,16
Cemetary,South,7b,CE7B,A,20,5,62,67,0.710798581,0.68537384,0.136662057,0.030558565,0.995792959,16
Cemetary,South,7b,CE7B,A,25,12,107,119,1.436461357,1.400577687,0.180739092,0.04041449,1.859040027,16
Cemetary,South,7b,CE7B,A,30,5,147,152,1.039165584,1.016315595,0.110654189,0.024743029,1.328662007,16
Cemetary,South,7b,CE7B,A,40,238,18,256,0.207789182,0.202830563,0.064007938,0.01431261,0.418633855,16
Frontenac,North,10,FR10,A,10,110,2,112,0.027923579,0.025019506,0.009863237,0.002205487,0.060353534,16
Frontenac,North,10,FR10,A,20,24,261,285,1.076218327,1.040052602,0.18179942,0.040651586,1.629576037,16
Frontenac,North,10,FR10,A,25,4,126,130,1.165047157,1.177266272,0.146989064,0.032867754,1.436439511,16
Frontenac,North,10,FR10,A,30,10,211,221,1.355328632,1.319068255,0.152584363,0.034118901,1.686463268,16
Frontenac,North,10,FR10,A,40,43,242,285,0.200609777,0.195119709,0.028414128,0.006353592,0.247531608,16
Frontenac,North,10,FR10,C,10,149,12,161,0.030074806,0.027614696,0.007264437,0.001624378,0.051687364,16
Frontenac,North,10,FR10,C,20,26,342,368,1.087656313,1.047272822,0.169066853,0.037804498,1.42055379,16
Frontenac,North,10,FR10,C,25,16,283,299,1.18385582,1.199335021,0.091990182,0.02056963,1.387001321,16
Frontenac,North,10,FR10,C,30,8,149,157,1.315098574,1.303152193,0.18643854,0.041688925,1.813985555,16
Frontenac,North,10,FR10,C,40,9,173,182,0.189678213,0.18820729,0.014677038,0.003281886,0.215008631,16
Frontenac,North,11,FR11,C,10,785,73,858,0.057854206,0.046794414,0.033841084,0.007567096,0.184503563,16
Frontenac,North,11,FR11,C,20,389,184,573,0.203507479,0.16756275,0.077269629,0.017278014,0.380189644,16
Frontenac,North,11,FR11,C,25,33,171,204,0.935632068,0.93347838,0.062453477,0.013965022,1.057745959,16
Frontenac,North,11,FR11,C,30,63,328,391,0.794442015,0.793469268,0.07324255,0.016377532,0.967816904,16
Frontenac,North,11,FR11,C,40,479,36,515,0.120277624,0.111743986,0.016206845,0.003623961,0.157552015,16
Frontenac,North,12,FR12,A,10,859,119,978,0.067749939,0.061188095,0.016716765,0.003737982,0.099872286,16
Frontenac,North,12,FR12,A,20,65,413,478,0.465219273,0.441999161,0.17176281,0.038407332,0.910793675,16
Frontenac,North,12,FR12,A,25,33,306,339,0.861093188,0.819834727,0.123812378,0.027685289,1.175022791,16
Frontenac,North,12,FR12,A,30,56,570,626,0.855928627,0.831677989,0.134196833,0.030007324,1.24016401,16
Frontenac,North,12,FR12,A,40,141,275,416,0.184797807,0.172676425,0.052300005,0.011694637,0.363400596,16
Frontenac,North,2,FR2,A,10,70,92,162,0.082891864,0.082269529,0.021152876,0.004729927,0.133682395,16
Frontenac,North,2,FR2,A,20,18,238,256,1.388128712,1.301004222,0.239319206,0.053513401,2.040724283,16
Frontenac,North,2,FR2,A,25,22,320,342,1.090514543,1.095972859,0.124458632,0.027829796,1.274915493,16
Frontenac,North,2,FR2,A,30,18,571,579,1.406680161,1.360378111,0.193831639,0.043342072,1.946705461,16
Frontenac,North,2,FR2,A,40,155,322,477,0.231849107,0.203950761,0.052888611,0.011826253,0.3773402,16
Frontenac,North,8,FR8,A,10,256,32,288,0.034732594,0.029559082,0.012215094,0.002731378,0.075250948,16
Frontenac,North,8,FR8,A,20,285,116,401,0.841045201,0.854796281,0.095146089,0.021275312,0.695173569,16
Frontenac,North,8,FR8,A,25,133,134,267,0.924533118,0.893247996,0.159993782,0.035775697,1.426602358,16
Frontenac,North,8,FR8,A,30,358,127,485,0.831030884,0.800926566,0.184251539,0.041199897,1.299793057,16
Frontenac,North,8,FR8,A,40,432,118,550,0.190602242,0.176974086,0.040648436,0.009089267,0.297682852,16
Oil Patch,South,1,OP1,A,10,135,15,150,0.023884238,0.019994709,0.008605647,0.001924281,0.040230065,16
Oil Patch,South,1,OP1,A,20,47,72,119,0.770761219,0.75882963,0.115555246,0.025838938,0.989900703,16
Oil Patch,South,1,OP1,A,25,168,223,391,1.097537343,1.048394737,0.177366631,0.039660384,1.530497555,16
Oil Patch,South,1,OP1,A,30,59,237,296,1.088698484,1.008421321,0.175315303,0.039201693,1.534472654,16
Oil Patch,South,1,OP1,A,40,724,198,922,0.198680759,0.173166429,0.065174526,0.014573467,0.359863308,16
Oil Patch,South,1,OP1,B,10,282,24,306,0.046835632,0.043429203,0.011391124,0.002547133,0.076603648,16
Oil Patch,South,1,OP1,B,20,42,95,137,0.972326478,0.883656396,0.165413071,0.036987487,1.242725781,16
Oil Patch,South,1,OP1,B,25,64,408,472,1.052661045,1.011495163,0.125172294,0.027989376,1.350822573,16
Oil Patch,South,1,OP1,B,30,42,274,316,1.089186297,1.037403787,0.174748353,0.03907492,1.555265402,16
Oil Patch,South,1,OP1,B,40,172,26,198,0.283204684,0.274694362,0.043217032,0.009663622,0.374214274,16
Oil Patch,South,1,OP1,C,10,184,6,190,0.026185754,0.025289359,0.007660834,0.002309828,0.042106464,16
Oil Patch,South,1,OP1,C,20,38,151,189,1.067573241,1.029552506,0.095008389,0.028646107,1.247543899,16
Oil Patch,South,1,OP1,C,25,34,185,219,1.156761124,1.141242045,0.158307711,0.047731571,1.580165129,16
Oil Patch,South,1,OP1,C,30,16,333,349,1.158823576,1.143821617,0.090156629,0.027183247,1.316226113,16
Oil Patch,South,1,OP1,C,40,51,170,221,0.211622455,0.198033806,0.027503265,0.008292546,0.254609571,16
Oil Patch,South,2,OP2,A,10,496,7,503,0.019889139,0.019775891,0.003513348,0.000785608,0.029841393,16
Oil Patch,South,2,OP2,A,20,72,491,563,1.039258569,0.987613632,0.152193808,0.03403157,1.339085543,16
Oil Patch,South,2,OP2,A,25,34,231,265,1.104788243,1.040304511,0.17166538,0.038385546,1.4579097,16
Oil Patch,South,2,OP2,A,30,47,328,375,1.162663568,1.097088463,0.150697685,0.033697027,1.583391504,16
Oil Patch,South,2,OP2,A,40,107,219,326,0.134263072,0.135902334,0.021262373,0.004754411,0.189468716,16
Oil Patch,South,2,OP2,B,10,631,30,661,0.039605079,0.037418283,0.008701928,0.00194581,0.056581327,16
Oil Patch,South,2,OP2,B,20,314,351,665,0.950455163,0.904815406,0.145627854,0.032563378,1.373084505,16
