"","population","location","number","ID","ramet","block","pair","treatment_initial","treatment_final","control_initial","control_final","CHPL"
"1","Oil Patch","South","5","OP5","A",1,1,496,268,484,414,0.684950679818715
"2","Prairie Island","North","28","PI28","A",1,1,579,433,572,560,0.76882012633308
"3","Oil Patch","South","1","OP1","A",1,2,547,357,604,515,0.800001816046588
"4","Prairie Island","North","9","PI9","A",1,2,604,351,598,414,0.888818135506877
"5","Oil Patch","South","4","OP4","A",1,3,534,186,515,427,0.51918839314934
"6","Prairie Island","North","10","PI10","A",1,3,649,439,668,592,0.790197724735429
"7","Cemetary","South","2","CE2","A",1,4,566,287,553,427,0.73491523907501
"8","Prairie Island","North","4","PI4","A",1,4,572,370,560,503,0.748638861138861
"9","Cemetary","South","1","CE1","A",1,5,560,268,515,389,0.723231622746186
"10","Prairie Island","North","1","PI1","A",1,5,553,401,585,471,0.920007418741596
"11","Cemetary","South","9","CE9","A",2,6,553,319,604,528,0.702681340790151
"12","Prairie Island","North","15","PI15","A",2,6,617,420,636,515,0.870964700365942
"13","Frontenac","North","2","FR2","A",2,7,496,255,534,420,0.727596049293222
"14","Oil Patch","South","3","OP3","A",2,7,598,357,592,522,0.715233209798427
"15","Prairie Island","North","21","PI21","A",2,8,553,370,560,477,0.817292043399638
"16","Cemetary","South","7b","CE7b","A",2,8,541,306,560,439,0.781690652231318
"17","Cemetary","South","3","CE3","A",2,9,560,338,592,484,0.786003861003861
"18","Frontenac","North","12","FR12","A",2,9,566,370,560,534,0.700138818778395
"19","Frontenac","North","1","FR1","A",2,10,458,325,439,433,0.723274412867673
"20","Cemetary","South","8","CE8","A",2,10,547,281,541,465,0.654191743233973
"21","Prairie Island","North","12","PI12","A",3,11,566,313,572,490,0.696360176925548
"22","Reserve","South","8","RE8","A",3,11,503,255,477,452,0.559369151964523
"23","Prairie Island","North","14","PI14","A",3,12,611,376,617,509,0.790425134023189
"24","Reserve","South","7","RE7","A",3,12,496,243,534,515,0.525499879183279
"25","Cemetary","South","7a","CE7a","A",3,13,560,255,560,446,0.658928571428572
"26","Prairie Island","North","27","PI27","A",3,13,604,376,642,503,0.839027459718182
"27","Oil Patch","South","8","OP8","A",3,14,617,382,547,503,0.699563554262383
"28","Prairie Island","North","30","PI30","A",3,14,674,401,642,477,0.851964835408636
"29","Prairie Island","North","25","PI25","A",3,15,585,357,585,452,0.837606837606838
"30","Reserve","South","3","RE3","A",3,15,604,230,598,408,0.698520454495116
"31","Prairie Island","North","5","PI5","A",4,16,649,370,617,509,0.745148376882025
"32","Cemetary","South","4","CE4","A",4,16,547,262,541,496,0.562155531600699
"33","Reserve","South","6","RE6","A",4,17,553,262,547,534,0.497545381515483
"34","Prairie Island","North","9","PI19","A",4,17,503,325,503,427,0.797216699801193
"35","Cemetary","South","11","CE11","A",4,18,566,249,585,528,0.537365226057806
"36","Prairie Island","North","11","PI11","A",4,18,668,401,649,592,0.688126828008082
"37","Prairie Island","North","13","PI13","A",4,19,623,420,585,611,0.629712858926342
"38","Oil Patch","South","7","OP7","A",4,19,553,325,528,509,0.62368828428955
"39","Prairie Island","North","3","PI3","A",4,20,541,382,572,509,0.816239675296977
"40","Oil Patch","South","9","OP9","A",4,20,528,243,541,484,0.565587716350193
"41","Cemetary","South","10","CE10","A",4,21,560,281,572,458,0.701086413586414
"42","Prairie Island","North","18","PI18","A",4,21,617,407,598,509,0.808472867418678
"43","Cemetary","South","5","CE5","A",5,22,528,262,553,503,0.586628034412845
"44","Frontenac","North","8","FR8","A",5,22,566,325,560,572,0.552776375567895
"45","Cemetary","South","6","CE6","A",5,23,553,287,522,528,0.507493088898589
"46","Frontenac","North","11","FR11","A",5,23,541,313,566,547,0.612127130101958
"47","Frontenac","North","6","FR6","A",5,24,414,294,446,446,0.710144927536232
"48","Oil Patch","South","2","OP2","A",5,24,528,243,566,503,0.571534693221972
"49","Oil Patch","South","6","OP6","A",5,25,458,275,490,477,0.626967293467605
"50","Prairie Island","North","2","PI2","A",5,25,604,357,598,553,0.666310438769408
"51","Frontenac","North","10","FR10","A",5,26,465,236,484,465,0.546783080067538
