"","population","location","number","ID","ramet","block","pair","exp_trt","exp_max","cntr_trt","cntr_max","CMS"
"1","Cemetary","South","1","CE1","A",1,5,87.5,169.3,4.26,164.6,0.496002993049103
"2","Cemetary","South","1","CE1","B",8,40,102.9,228,10.29,193.4,0.57951791991584
"3","Cemetary","South","1","CE1","C",15,74,75.1,139.7,7.31,147.5,0.486531648964186
"4","Cemetary","South","1","CE1","D",20,101,91,154,4.63,145.7,0.422517512260193
"5","Cemetary","South","10","CE10","A",4,21,95,213,6.22,180,0.573819253419006
"6","Cemetary","South","10","CE10","B",6,27,109,234,12.42,257,0.561314599666059
"7","Cemetary","South","10","CE10","C",11,56,37.7,107.8,5.54,108,0.685438763016075
"8","Cemetary","South","10","CE10","D",18,91,63,135.5,8.57,124.9,0.574472735185531
"9","Cemetary","South","11","CE11","A",4,18,92.7,202,9.13,236,0.562864326279236
"10","Cemetary","South","11","CE11","B",8,41,10.31,191.2,7.55,196.5,0.983880445890691
"11","Cemetary","South","11","CE11","C",14,71,73.3,141.6,5.1,141.8,0.500339933625118
"12","Cemetary","South","11","CE11","D",17,87,83.6,147.5,9.49,151.5,0.462170842588073
"13","Cemetary","South","2","CE2","A",1,4,90.9,184.5,7.38,184.8,0.528419541889027
"14","Cemetary","South","2","CE2","B",8,37,100.2,189.6,9.31,204,0.494066841736717
"15","Cemetary","South","2","CE2","C",12,59,56.8,118.4,6.22,124.2,0.547699335205692
"16","Cemetary","South","2","CE2","D",16,79,86.4,161.2,7.96,130.2,0.494235803463552
"17","Cemetary","South","3","CE3","A",2,9,153.4,285,8.21,234,0.478544339057485
"18","Cemetary","South","3","CE3","B",10,52,62.8,140.9,12.41,130.5,0.612544196932474
"19","Cemetary","South","3","CE3","C",13,67,90.4,157.1,13.88,173.4,0.461512641042159
"20","Cemetary","South","3","CE3","D",19,97,133.4,229,79.7,215,0.663381068110006
"21","Cemetary","South","4","CE4","A",4,16,81.7,202,10.88,213,0.627602365421581
"22","Cemetary","South","4","CE4","B",9,43,114.9,237,11.79,271,0.538622953189316
"23","Cemetary","South","4","CE4","C",15,75,87.6,168.7,6.39,157.2,0.501104350673524
"24","Cemetary","South","5","CE5","A",5,22,79.2,164.2,12.23,167.8,0.558356887566896
"25","Cemetary","South","5","CE5","B",9,42,106.6,213,11.06,213,0.526889175002476
"26","Cemetary","South","5","CE5","D",19,95,123.4,191.3,70.1,197.3,0.550547478852078
"27","Cemetary","South","5","CE5","E",21,109,105.1,169,13.81,163.9,0.412896640713797
"28","Cemetary","South","6","CE6","A",5,23,114.4,214,10.9,196.2,0.492798240791644
"29","Cemetary","South","6","CE6","B",7,36,101.6,207,9,184.8,0.535245915153913
"30","Cemetary","South","6","CE6","C",11,54,60.5,120,6.89,99.8,0.532603236106627
"31","Cemetary","South","6","CE6","D",16,80,75.7,139.3,11.08,136.1,0.497032319767818
"32","Cemetary","South","7a","CE7a","A",3,13,100.3,206,7.91,218,0.532425539308858
"33","Cemetary","South","7a","CE7a","C",11,57,61.6,119.6,9.31,125.5,0.523807591129856
"34","Cemetary","South","7a","CE7a","D",19,96,134.8,218,72.2,198.2,0.60034367263725
"35","Cemetary","South","7a","CE7a","E",21,105,107.7,188,9.75,192.5,0.449915592164624
"36","Cemetary","South","7b","CE7b","A",2,8,111.4,219,9.39,200,0.51552825236162
"37","Cemetary","South","7b","CE7b","B",9,45,97.5,173.2,9.34,145.7,0.467003946895089
"38","Cemetary","South","7b","CE7b","C",13,65,84.1,177.2,9.48,159.2,0.5586620985207
"39","Cemetary","South","7b","CE7b","D",18,92,73.4,161.4,7.28,140.9,0.574934893696026
"40","Cemetary","South","8","CE8","A",2,10,115.3,201,9.82,208,0.447495090899323
"41","Cemetary","South","8","CE8","B",7,34,66.5,155.1,8.45,159.8,0.603137419787568
"42","Cemetary","South","8","CE8","C",11,53,58,107.5,6.88,96.8,0.495696433005048
"43","Cemetary","South","8","CE8","D",16,83,78.1,151.4,6.98,136.7,0.510199083403294
"44","Cemetary","South","9","CE9","A",2,6,157.8,294,8.21,272,0.477683624342493
"45","Cemetary","South","9","CE9","B",9,44,86.4,153.2,11.48,155.2,0.470860441575183
"46","Cemetary","South","9","CE9","C",12,58,55.8,112.3,6.28,106,0.53480109399819
"47","Cemetary","South","9","CE9","D",19,98,115,188.3,68.7,216,0.570827199738685
"48","Frontenac","North","1","FR1","A",2,10,103.8,198,10.57,185,0.504587235654139
"49","Frontenac","North","1","FR1","B",10,49,62,118,13.71,103.9,0.546717757803206
"50","Frontenac","North","1","FR1","C",15,75,82.7,139.4,4.25,118.3,0.421900208635116
"51","Frontenac","North","10","FR10","A",5,26,112.7,228,7.28,203,0.524511833948247
"52","Frontenac","North","10","FR10","B",10,50,56.7,101.1,12.2,83.8,0.513999635296653
"53","Frontenac","North","10","FR10","C",13,63,116.2,198.1,19.3,189.2,0.460391375512929
"54","Frontenac","North","10","FR10","D",20,103,84.9,148.2,5.28,120.9,0.446630978067899
"55","Frontenac","North","11","FR11","A",5,23,96.5,171.2,11.2,167.3,0.467638091446293
"56","Frontenac","North","11","FR11","B",10,52,65.3,124.8,15.31,124.1,0.543857579057276
"57","Frontenac","North","11","FR11","C",14,68,74.5,131.3,7.08,133.8,0.456766830529207
"58","Frontenac","North","11","FR11","D",19,96,119.4,195.5,91.5,183.1,0.778091669551816
"59","Frontenac","North","12","FR12","A",2,9,122.8,232,11.38,233,0.494859171803864
"60","Frontenac","North","12","FR12","C",13,64,117.1,200,13.79,199.9,0.445212777389716
"61","Frontenac","North","12","FR12","D",19,98,80.6,138,76,169.5,0.754033945594048
"62","Frontenac","North","2","FR2","A",2,7,117.4,243,15.07,286,0.545622538675275
"63","Frontenac","North","2","FR2","B",10,48,95.3,185,10.99,147.6,0.523871268970457
"64","Frontenac","North","2","FR2","C",14,70,94.3,174.3,3.88,177.1,0.469259557569848
"65","Frontenac","North","2","FR2","D",16,83,84.4,156.5,9.19,149.5,0.490877912281409
"66","Frontenac","North","6","FR6","A",5,24,87.7,179.7,9.64,160.7,0.544635751908918
"67","Frontenac","North","6","FR6","B",10,47,50.3,108,14.85,106.8,0.620542565403903
