"","population","location","number","ID","ramet","block","CPS"
"1","Cemetary","South","1","CE1","a",1,0.584459459459459
"2","Cemetary","South","1","CE1","c",15,0.576826196473552
"3","Cemetary","South","10","CE10","a",4,0.151260504201681
"4","Cemetary","South","10","CE10","b",6,0.313513513513513
"5","Cemetary","South","10","CE10","c",11,0.411140583554377
"6","Cemetary","South","10","CE10","d",18,0.283870967741935
"7","Cemetary","South","11","CE11","a",4,0.562048192771084
"8","Cemetary","South","11","CE11","d",17,0.67487684729064
"9","Cemetary","South","2","CE2","b",8,0.6996996996997
"10","Cemetary","South","2","CE2","c",12,0.772378516624041
"11","Cemetary","South","2","CE2","d",16,0.672661870503597
"12","Cemetary","South","3","CE3","a",2,0.843853820598007
"13","Cemetary","South","3","CE3","b",10,0.465454545454545
"14","Cemetary","South","3","CE3","c",13,0.829099307159353
"15","Cemetary","South","3","CE3","d",19,0.238524590163934
"16","Cemetary","South","4","CE4","a",4,0.587537091988131
"17","Cemetary","South","4","CE4","b",9,0.337885462555066
"18","Cemetary","South","4","CE4","c",15,0.928125
"19","Cemetary","South","5","CE5","b",9,0.954773869346734
"20","Cemetary","South","6","CE6","c",11,0.693227091633466
"21","Cemetary","South","6","CE6","d",16,0.942857142857143
"22","Cemetary","South","7a","CE7a","c",11,0.302949061662198
"23","Cemetary","South","7a","CE7a","d",19,0.544303797468354
"24","Cemetary","South","7b","CE7b","b",9,0.940860215053763
"25","Cemetary","South","7b","CE7b","c",13,0.954268292682927
"26","Cemetary","South","7b","CE7b","d",18,0.545454545454545
"27","Cemetary","South","8","CE8","a",2,0.0687943262411348
"28","Cemetary","South","8","CE8","b",7,0.701067615658363
"29","Cemetary","South","8","CE8","c",11,0.317647058823529
"30","Cemetary","South","8","CE8","d",16,0.791855203619909
"31","Cemetary","South","9","CE9","a",2,0.24612676056338
"32","Cemetary","South","9","CE9","b",9,0.699530516431925
"33","Cemetary","South","9","CE9","c",12,0.875912408759124
"34","Frontenac","North","1","FR1","a",2,0.545454545454545
"35","Frontenac","North","1","FR1","c",15,0.132567849686848
"36","Frontenac","North","10","FR10","b",10,0.631278538812785
"37","Frontenac","North","10","FR10","c",13,0.784313725490196
"38","Frontenac","North","11","FR11","a",5,0.697857142857143
"39","Frontenac","North","11","FR11","b",10,0.523529411764706
"40","Frontenac","North","11","FR11","c",14,0.723214285714286
"41","Frontenac","North","11","FR11","d",19,0.413385826771654
"42","Frontenac","North","12","FR12","a",2,0.892601431980907
"43","Frontenac","North","12","FR12","d",19,0.494535519125683
"44","Frontenac","North","2","FR2","a",2,0.685106382978724
"45","Frontenac","North","2","FR2","b",10,0.772455089820359
"46","Frontenac","North","2","FR2","c",14,0.657657657657658
"47","Frontenac","North","2","FR2","d",16,0.242857142857143
"48","Frontenac","North","6","FR6","a",5,0.662222222222222
"49","Frontenac","North","6","FR6","b",10,0.708571428571429
"50","Frontenac","North","6","FR6","c",15,0.658415841584158
"51","Frontenac","North","8","FR8","a",5,0.713333333333333
"52","Frontenac","North","8","FR8","b",9,0.340506329113924
"53","Frontenac","North","8","FR8","d",18,0.780701754385965
"54","Oil Patch","South","1","OP1","a",1,0.670588235294118
"55","Oil Patch","South","1","OP1","c",12,0.506493506493506
"56","Oil Patch","South","1","OP1","d",20,0.566820276497696
"57","Oil Patch","South","2","OP2","a",5,0.641975308641975
"58","Oil Patch","South","2","OP2","d",20,0.509604519774011
"59","Oil Patch","South","3","OP3","a",2,0.603715170278638
"60","Oil Patch","South","3","OP3","b",10,0.628205128205128
"61","Oil Patch","South","4","OP4","a",1,0.525679758308157
"62","Oil Patch","South","4","OP4","b",8,0.370833333333333
"63","Oil Patch","South","4","OP4","c",11,0.463878326996198
"64","Oil Patch","South","4","OP4","d",18,0.265079365079365
"65","Oil Patch","South","5","OP5","a",1,0.602510460251046
"66","Oil Patch","South","5","OP5","b",10,0.916083916083916
"67","Oil Patch","South","5","OP5","c",12,0.162138728323699
"68","Oil Patch","South","5","OP5","d",18,0.531707317073171
"69","Oil Patch","South","6","OP6","a",5,0.409302325581395
"70","Oil Patch","South","6","OP6","c",13,0.895104895104895
"71","Oil Patch","South","6","OP6","d",20,0.514093959731544
"72","Oil Patch","South","7","OP7","a",4,0.269505494505495
"73","Oil Patch","South","7","OP7","b",10,0.493710691823899
"74","Oil Patch","South","7","OP7","d",20,0.633628318584071
"75","Oil Patch","South","8","OP8","b",8,0.448717948717949
"76","Oil Patch","South","8","OP8","c",14,0.387931034482759
"77","Oil Patch","South","8","OP8","d",17,0.283035714285714
"78","Oil Patch","South","9","OP9","a",4,0.587912087912088
"79","Oil Patch","South","9","OP9","b",10,0.608695652173913
"80","Oil Patch","South","9","OP9","c",13,0.609090909090909
"81","Oil Patch","South","9","OP9","d",17,0.356194690265487
"82","Prairie Island","North","1","PI1","a",1,0.956953642384106
"83","Prairie Island","North","1","PI1","c",12,0.291203703703704
"84","Prairie Island","North","1","PI1","d",18,0.377934272300469
"85","Prairie Island","North","10","PI10","a",1,0.980694980694981
"86","Prairie Island","North","10","PI10","b",10,0.382899628252788
"87","Prairie Island","North","10","PI10","c",12,0.846390168970814
"88","Prairie Island","North","10","PI10","d",20,0.297652582159624
"89","Prairie Island","North","11","PI11","a",4,0.465703971119134
"90","Prairie Island","North","11","PI11","e",21,0.837762237762238
"91","Prairie Island","North","12","PI12","a",3,0.392749244712991
"92","Prairie Island","North","12","PI12","c",12,0.891273247496423
"93","Prairie Island","North","12","PI12","d",18,0.361090909090909
"94","Prairie Island","North","13","PI13","a",4,0.376209677419355
"95","Prairie Island","North","13","PI13","b",8,0.232698412698413
"96","Prairie Island","North","13","PI13","c",11,0.259539473684211
"97","Prairie Island","North","13","PI13","d",20,0.346745562130178
"98","Prairie Island","North","14","PI14","a",3,0.827160493827161
"99","Prairie Island","North","14","PI14","b",8,0.967391304347826
"100","Prairie Island","North","14","PI14","c",12,0.715748031496063
"101","Prairie Island","North","14","PI14","d",19,0.350531914893617
"102","Prairie Island","North","15","PI15","a",2,0.516304347826087
"103","Prairie Island","North","15","PI15","c",11,0.316614420062696
"104","Prairie Island","North","15","PI15","d",17,0.50965250965251
"105","Prairie Island","North","18","PI18","a",4,0.263524590163934
"106","Prairie Island","North","18","PI18","c",14,0.554054054054054
"107","Prairie Island","North","18","PI18","d",20,0.65989847715736
"108","Prairie Island","North","18","PI18","e",21,0.795876288659794
"109","Prairie Island","North","19","PI19","a",4,0.343010752688172
"110","Prairie Island","North","19","PI19","b",6,0.0664150943396226
"111","Prairie Island","North","19","PI19","d",17,0.276646706586826
"112","Prairie Island","North","2","PI2","a",5,0.411046511627907
"113","Prairie Island","North","2","PI2","c",15,0.471875
"114","Prairie Island","North","2","PI2","d",20,0.461904761904762
