,population,location,number,ID,ramet,block,pair,treatment_initial,treatment_final,control_initial,control_final,CHPL
9,Cemetary,South,1,CE1,A,1,5,471,179,484,458,0.433761471
75,Cemetary,South,1,CE1,B,8,40,572,179,560,541,0.346865634
140,Cemetary,South,1,CE1,C,15,74,446,135,471,414,0.423709691
191,Cemetary,South,1,CE1,D,20,101,458,135,439,433,0.308427251
41,Cemetary,South,10,CE10,A,4,21,452,141,433,452,0.268066995
53,Cemetary,South,10,CE10,B,6,27,541,217,585,534,0.488288544
105,Cemetary,South,10,CE10,C,11,56,503,173,496,446,0.444742833
171,Cemetary,South,10,CE10,D,18,91,458,141,515,427,0.478734048
35,Cemetary,South,11,CE11,A,4,18,522,211,560,585,0.359571702
77,Cemetary,South,11,CE11,B,8,41,503,116,503,496,0.244532803
136,Cemetary,South,11,CE11,C,14,71,534,141,515,465,0.361132322
164,Cemetary,South,11,CE11,D,17,87,477,363,452,433,0.803041688
7,Cemetary,South,2,CE2,A,1,4,452,122,439,395,0.370139295
69,Cemetary,South,2,CE2,B,8,37,515,122,484,433,0.342265105
112,Cemetary,South,2,CE2,C,12,59,465,186,439,465,0.340774487
150,Cemetary,South,2,CE2,D,16,79,490,313,452,420,0.70957197
17,Cemetary,South,3,CE3,A,2,9,566,281,572,547,0.540172725
97,Cemetary,South,3,CE3,B,10,52,446,91,458,414,0.300105743
128,Cemetary,South,3,CE3,C,13,67,484,167,458,427,0.412726912
180,Cemetary,South,3,CE3,D,19,97,496,116,503,389,0.460511127
31,Cemetary,South,4,CE4,A,4,16,509,179,490,515,0.300649533
82,Cemetary,South,4,CE4,B,9,43,414,148,490,465,0.408508331
141,Cemetary,South,4,CE4,C,15,75,503,167,465,427,0.413728382
43,Cemetary,South,5,CE5,A,5,22,623,275,579,515,0.551947926
79,Cemetary,South,5,CE5,B,9,42,522,173,509,484,0.380533538
183,Cemetary,South,5,CE5,D,19,95,363,160,363,332,0.526170799
201,Cemetary,South,5,CE5,E,21,109,395,103,395,370,0.324050633
45,Cemetary,South,6,CE6,A,5,23,604,408,604,553,0.759933775
67,Cemetary,South,6,CE6,B,7,36,585,167,598,547,0.370754366
101,Cemetary,South,6,CE6,C,11,54,503,173,490,484,0.35618128
151,Cemetary,South,6,CE6,D,16,80,509,141,528,477,0.373604662
25,Cemetary,South,7a,CE7a,A,3,13,528,192,547,528,0.398371281
107,Cemetary,South,7a,CE7a,C,11,57,446,141,420,370,0.435191117
182,Cemetary,South,7a,CE7a,D,19,96,477,148,496,465,0.372772537
198,Cemetary,South,7a,CE7a,E,21,105,414,116,389,332,0.4267228
15,Cemetary,South,7b,CE7b,A,2,8,560,192,553,528,0.388065099
85,Cemetary,South,7b,CE7b,B,9,45,458,173,541,477,0.496028703
124,Cemetary,South,7b,CE7b,C,13,65,471,173,458,490,0.297434614
174,Cemetary,South,7b,CE7b,D,18,92,357,110,370,319,0.445961087
19,Cemetary,South,8,CE8,A,2,10,515,255,490,477,0.521676243
63,Cemetary,South,8,CE8,B,7,34,522,192,490,465,0.4188365
99,Cemetary,South,8,CE8,C,11,53,509,186,452,477,0.310112662
155,Cemetary,South,8,CE8,D,16,83,509,141,534,458,0.41933585
11,Cemetary,South,9,CE9,A,2,6,592,294,572,534,0.563055188
84,Cemetary,South,9,CE9,B,9,44,522,179,490,471,0.381687388
110,Cemetary,South,9,CE9,C,12,58,509,179,515,465,0.44875732
177,Cemetary,South,9,CE9,D,19,98,471,154,458,376,0.506003208
20,Frontenac,North,1,FR1,A,2,10,528,198,534,534,0.375
91,Frontenac,North,1,FR1,B,10,49,458,91,452,414,0.282760753
142,Frontenac,North,1,FR1,C,15,75,414,122,395,376,0.342787256
51,Frontenac,North,10,FR10,A,5,26,668,160,661,630,0.286419597
94,Frontenac,North,10,FR10,B,10,50,509,141,490,534,0.187217834
119,Frontenac,North,10,FR10,C,13,63,408,211,357,401,0.393907563
188,Frontenac,North,10,FR10,D,20,103,503,262,528,496,0.581480812
46,Frontenac,North,11,FR11,A,5,23,560,268,566,509,0.579278142
98,Frontenac,North,11,FR11,B,10,52,471,160,515,420,0.52416878
129,Frontenac,North,11,FR11,C,14,68,598,192,566,579,0.298102036
181,Frontenac,North,11,FR11,D,19,96,522,160,522,458,0.429118774
18,Frontenac,North,12,FR12,A,2,9,560,224,534,579,0.315730337
122,Frontenac,North,12,FR12,C,13,64,446,230,458,452,0.528795504
178,Frontenac,North,12,FR12,D,19,98,471,192,490,427,0.536214741
13,Frontenac,North,2,FR2,A,2,7,300,122,325,351,0.326666667
89,Frontenac,North,2,FR2,B,10,48,566,236,560,534,0.463389702
134,Frontenac,North,2,FR2,C,14,70,395,300,446,414,0.83124255
156,Frontenac,North,2,FR2,D,16,83,528,363,522,548,0.637691571
47,Frontenac,North,6,FR6,A,5,24,566,230,553,522,0.46241829
87,Frontenac,North,6,FR6,B,10,47,515,135,477,433,0.354379109
147,Frontenac,North,6,FR6,C,15,78,452,205,484,452,0.519655525
44,Frontenac,North,8,FR8,A,5,22,611,224,674,585,0.498659589
80,Frontenac,North,8,FR8,B,9,42,490,122,477,439,0.328644162
176,Frontenac,North,8,FR8,D,18,93,471,97,477,427,0.310766601
3,Oil Patch,South,1,OP1,A,1,2,553,129,509,452,0.345257339
61,Oil Patch,South,1,OP1,B,7,33,560,198,611,547,0.458317746
115,Oil Patch,South,1,OP1,C,12,61,579,167,553,503,0.378844238
193,Oil Patch,South,1,OP1,D,20,100,484,167,496,458,0.421654226
48,Oil Patch,South,2,OP2,A,5,24,642,167,579,534,0.337844818
59,Oil Patch,South,2,OP2,B,7,32,604,186,661,553,0.471335825
132,Oil Patch,South,2,OP2,C,14,69,553,198,522,522,0.358047016
187,Oil Patch,South,2,OP2,D,20,103,515,205,528,458,0.53063401
14,Oil Patch,South,3,OP3,A,2,7,560,224,528,509,0.435984848
95,Oil Patch,South,3,OP3,B,10,51,547,192,553,427,0.578853586
148,Oil Patch,South,3,OP3,C,15,78,509,173,490,465,0.39090253
154,Oil Patch,South,3,OP3,D,16,82,515,179,547,433,0.555982322
5,Oil Patch,South,4,OP4,A,1,3,433,198,477,490,0.430021158
71,Oil Patch,South,4,OP4,B,8,38,553,141,604,541,0.359277511
103,Oil Patch,South,4,OP4,C,11,55,566,122,547,458,0.37825337
170,Oil Patch,South,4,OP4,D,18,90,458,91,465,376,0.390087806
1,Oil Patch,South,5,OP5,A,1,1,414,72,433,439,0.160056231
90,Oil Patch,South,5,OP5,B,10,48,598,160,604,496,0.446366475
114,Oil Patch,South,5,OP5,C,12,60,579,186,572,547,0.364949817
175,Oil Patch,South,5,OP5,D,18,93,433,122,427,389,0.370748171
49,Oil Patch,South,6,OP6,A,5,25,572,135,585,547,0.300971251
57,Oil Patch,South,6,OP6,B,6,31,541,154,528,503,0.332006526
120,Oil Patch,South,6,OP6,C,13,63,477,186,490,496,0.377692209
189,Oil Patch,South,6,OP6,D,20,102,534,243,547,547,0.45505618
37,Oil Patch,South,7,OP7,A,4,19,490,249,471,477,0.495424412
88,Oil Patch,South,7,OP7,B,10,47,566,173,592,490,0.477951008
130,Oil Patch,South,7,OP7,C,14,68,592,186,611,541,0.428755474
195,Oil Patch,South,7,OP7,D,20,99,446,192,446,433,0.459641256
27,Oil Patch,South,8,OP8,A,3,14,471,255,509,389,0.777157659
73,Oil Patch,South,8,OP8,B,8,39,572,179,579,572,0.325026873
133,Oil Patch,South,8,OP8,C,14,70,592,198,604,553,0.418896546
157,Oil Patch,South,8,OP8,D,17,84,528,148,553,509,0.359869034
39,Oil Patch,South,9,OP9,A,4,20,484,224,515,446,0.5967905
92,Oil Patch,South,9,OP9,B,10,49,623,192,617,528,0.452432549
121,Oil Patch,South,9,OP9,C,13,64,496,198,528,496,0.459799609
159,Oil Patch,South,9,OP9,D,17,85,484,167,515,477,0.41882773
10,Prairie Island,North,1,PI1,A,1,5,420,154,300,389,0.07
60,Prairie Island,North,1,PI1,B,7,32,585,211,642,534,0.52890806
116,Prairie Island,North,1,PI1,C,12,61,528,192,553,522,0.41969423
169,Prairie Island,North,1,PI1,D,18,90,503,116,509,477,0.293484672
6,Prairie Island,North,10,PI10,A,1,3,446,160,458,471,0.330360115
96,Prairie Island,North,10,PI10,B,10,51,623,217,636,604,0.398629072
117,Prairie Island,North,10,PI10,C,12,62,534,167,585,522,0.42042639
190,Prairie Island,North,10,PI10,D,20,101,553,224,541,503,0.475303587
36,Prairie Island,North,11,PI11,A,4,18,515,268,553,522,0.576446216
113,Prairie Island,North,11,PI11,C,12,60,630,230,636,572,0.465708296
158,Prairie Island,North,11,PI11,D,17,84,547,141,560,496,0.372055367
200,Prairie Island,North,11,PI11,E,21,106,452,122,427,408,0.314407992
21,Prairie Island,North,12,PI12,A,3,11,515,230,522,458,0.569207306
54,Prairie Island,North,12,PI12,B,6,27,598,205,579,528,0.430892266
109,Prairie Island,North,12,PI12,C,12,58,528,179,541,503,0.409255447
173,Prairie Island,North,12,PI12,D,18,92,452,287,465,395,0.785493387
38,Prairie Island,North,13,PI13,A,4,19,484,255,553,427,0.754707605
76,Prairie Island,North,13,PI13,B,8,40,598,217,598,528,0.47993311
108,Prairie Island,North,13,PI13,C,11,57,553,148,560,509,0.358702532
194,Prairie Island,North,13,PI13,D,20,100,515,249,541,509,0.542644868
23,Prairie Island,North,14,PI14,A,3,12,477,224,427,408,0.514098164
74,Prairie Island,North,14,PI14,B,8,39,572,179,566,560,0.32353777
111,Prairie Island,North,14,PI14,C,12,59,604,173,579,534,0.364144048
179,Prairie Island,North,14,PI14,D,19,97,560,141,553,490,0.365709765
12,Prairie Island,North,15,PI15,A,2,6,553,129,465,471,0.22036983
86,Prairie Island,North,15,PI15,B,9,45,433,224,471,433,0.598000422
106,Prairie Island,North,15,PI15,C,11,56,566,129,560,509,0.318986623
162,Prairie Island,North,15,PI15,D,17,86,522,211,503,433,0.543379569
42,Prairie Island,North,18,PI18,A,4,21,446,217,474,408,0.625787592
135,Prairie Island,North,18,PI18,C,14,71,534,205,484,477,0.398357941
196,Prairie Island,North,18,PI18,D,20,99,420,192,427,408,0.501639344
197,Prairie Island,North,18,PI18,E,21,105,522,186,528,452,0.500261233
33,Prairie Island,North,19,PI19,A,4,17,427,255,496,471,0.647592921
58,Prairie Island,North,19,PI19,B,6,31,534,211,534,515,0.43071161
137,Prairie Island,North,19,PI19,C,15,73,446,389,496,439,0.987116664
160,Prairie Island,North,19,PI19,D,17,85,528,135,528,452,0.399621212
50,Prairie Island,North,2,PI2,A,5,25,541,287,579,471,0.717027573
55,Prairie Island,North,2,PI2,B,6,28,598,249,572,547,0.460094254
145,Prairie Island,North,2,PI2,C,15,77,496,262,503,452,0.629617457
192,Prairie Island,North,2,PI2,D,20,102,534,255,560,509,0.568599518
16,Prairie Island,North,21,PI21,A,2,8,553,249,553,547,0.461121157
62,Prairie Island,North,21,PI21,B,7,33,617,249,630,471,0.655946593
125,Prairie Island,North,21,PI21,C,13,66,560,370,541,547,0.649623713
163,Prairie Island,North,21,PI21,D,17,87,547,148,572,471,0.447140154
29,Prairie Island,North,25,PI25,A,3,15,534,236,515,458,0.552627177
68,Prairie Island,North,25,PI25,B,7,36,572,186,598,465,0.547582852
104,Prairie Island,North,25,PI25,C,11,55,522,141,560,547,0.293329228
152,Prairie Island,North,25,PI25,D,16,80,547,167,484,477,0.319764455
26,Prairie Island,North,27,PI27,A,3,13,490,363,560,515,0.821173469
72,Prairie Island,North,27,PI27,B,8,38,604,236,611,642,0.339991979
127,Prairie Island,North,27,PI27,C,13,67,528,186,534,541,0.339164113
184,Prairie Island,North,27,PI27,D,19,95,439,186,427,395,0.498631657
202,Prairie Island,North,27,PI27,E,21,109,370,91,408,376,0.324377318
2,Prairie Island,North,28,PI28,A,1,1,471,148,503,446,0.427545133
70,Prairie Island,North,28,PI28,B,8,37,427,294,515,439,0.836097406
131,Prairie Island,North,28,PI28,C,14,69,598,192,585,553,0.375771089
153,Prairie Island,North,28,PI28,D,16,82,534,167,522,439,0.471737914
40,Prairie Island,North,3,PI3,A,4,20,458,275,547,522,0.64614052
81,Prairie Island,North,3,PI3,B,9,43,414,262,401,382,0.680231788
102,Prairie Island,North,3,PI3,C,11,54,630,217,585,566,0.376923077
168,Prairie Island,North,3,PI3,D,18,89,509,122,528,477,0.336276567
28,Prairie Island,North,30,PI30,A,3,14,528,294,547,522,0.602522021
65,Prairie Island,North,30,PI30,B,7,35,611,217,585,566,0.387634115
123,Prairie Island,North,30,PI30,C,13,65,522,414,553,560,0.78044522
149,Prairie Island,North,30,PI30,D,16,79,509,217,534,465,0.555539613
8,Prairie Island,North,4,PI4,A,1,4,503,192,439,490,0.265536621
83,Prairie Island,North,4,PI4,B,9,44,357,129,325,344,0.302882999
100,Prairie Island,North,4,PI4,C,11,53,585,154,566,547,0.296816768
165,Prairie Island,North,4,PI4,D,17,88,553,154,585,522,0.38617332
32,Prairie Island,North,5,PI5,A,4,16,471,255,458,471,0.513016994
78,Prairie Island,North,5,PI5,B,8,41,522,186,560,566,0.345607553
143,Prairie Island,North,5,PI5,C,15,76,534,141,530,503,0.31498834
186,Prairie Island,North,5,PI5,D,19,94,503,154,490,420,0.449020165
4,Prairie Island,North,9,PI9,A,1,2,344,129,389,446,0.228470437
64,Prairie Island,North,9,PI9,B,7,34,630,287,636,541,0.604926625
139,Prairie Island,North,9,PI9,C,15,74,528,319,515,553,0.530380259
172,Prairie Island,North,9,PI9,D,18,91,560,420,566,515,0.840106007
30,Reserve,South,3,RE3,A,3,15,503,255,490,452,0.584509271
66,Reserve,South,3,RE3,B,7,35,522,211,496,509,0.378004882
138,Reserve,South,3,RE3,C,15,73,446,179,496,452,0.490054969
166,Reserve,South,3,RE3,D,17,88,484,154,496,458,0.394794721
52,Reserve,South,5,RE5,A,5,26,560,401,598,534,0.82309484
93,Reserve,South,5,RE5,B,10,50,534,160,515,458,0.41030508
118,Reserve,South,5,RE5,C,12,62,547,186,541,471,0.469426582
167,Reserve,South,5,RE5,D,18,89,427,122,439,357,0.472502441
34,Reserve,South,6,RE6,A,4,17,515,179,490,490,0.347572816
56,Reserve,South,6,RE6,B,6,28,509,160,560,566,0.303627561
146,Reserve,South,6,RE6,C,15,77,420,186,496,534,0.36624424
24,Reserve,South,7,RE7,A,3,12,509,230,534,528,0.46310236
126,Reserve,South,7,RE7,C,13,66,503,211,522,566,0.335191914
185,Reserve,South,7,RE7,D,19,94,515,160,496,414,0.476002192
199,Reserve,South,7,RE7,E,21,106,452,135,446,389,0.426475257
22,Reserve,South,8,RE8,A,3,11,433,160,408,414,0.354809129
144,Reserve,South,8,RE8,C,15,76,395,173,433,446,0.407951589
161,Reserve,South,8,RE8,D,17,86,534,160,534,503,0.357677903
