"","population","location","number","ID","ramet","block","CPS_i","CPS_f","HPS_i","HPS_f","notes","CPS","HPS"
"1","Cemetary","South","2","CE2","a",1,29.3,33.6,18.5,15.9,NA,1.14675767918089,0.859459459459459
"2","Cemetary","South","2","CE2","b",8,33.3,23.3,27.2,12.4,NA,0.6996996996997,0.455882352941177
"3","Cemetary","South","2","CE2","c",12,39.1,30.2,24.3,20.5,NA,0.772378516624041,0.843621399176955
"4","Cemetary","South","3","CE3","a",2,30.1,25.4,35.2,20.3,NA,0.843853820598007,0.576704545454545
"5","Cemetary","South","3","CE3","c",13,43.3,35.9,12.3,18,NA,0.829099307159353,1.46341463414634
"6","Cemetary","South","4","CE4","c",15,32,29.7,NA,NA,NA,0.928125,NA
"7","Cemetary","South","5","CE5","b",9,19.9,19,21.4,19.5,NA,0.954773869346734,0.911214953271028
"8","Cemetary","South","5","CE5","d",19,31.7,34,42.1,24.9,NA,1.07255520504732,0.59144893111639
"9","Cemetary","South","6","CE6","b",7,4.02,17.2,39.9,16.7,NA,4.27860696517413,0.418546365914787
"10","Cemetary","South","6","CE6","d",16,24.5,23.1,25.3,12.9,NA,0.942857142857143,0.509881422924901
"11","Cemetary","South","7a","CE7a","a",3,16.1,29.7,21.2,24.8,NA,1.84472049689441,1.16981132075472
"12","Cemetary","South","7a","CE7a","e",21,16.5,17.2,17,6.03,NA,1.04242424242424,0.354705882352941
"13","Cemetary","South","7b","CE7b","a",2,27.9,31.3,7.32,30.6,NA,1.12186379928315,4.18032786885246
"14","Cemetary","South","7b","CE7b","b",9,18.6,17.5,33.8,28.5,NA,0.940860215053763,0.843195266272189
"15","Cemetary","South","7b","CE7b","c",13,32.8,31.3,38,36.6,NA,0.954268292682927,0.963157894736842
"16","Cemetary","South","8","CE8","b",7,28.1,19.7,20.9,10.4,NA,0.701067615658363,0.497607655502392
"17","Cemetary","South","8","CE8","d",16,22.1,17.5,25.3,7.43,NA,0.791855203619909,0.293675889328063
"18","Cemetary","South","9","CE9","b",9,21.3,14.9,26.5,21.6,NA,0.699530516431925,0.815094339622642
"19","Cemetary","South","9","CE9","c",12,13.7,12,8.72,15.2,NA,0.875912408759124,1.74311926605505
"20","Frontenac","North","10","FR10","c",13,30.6,24,22.1,21.2,NA,0.784313725490196,0.959276018099547
"21","Frontenac","North","11","FR11","a",5,14,9.77,22.5,18.2,NA,0.697857142857143,0.808888888888889
"22","Frontenac","North","11","FR11","c",14,22.4,16.2,17.4,8.39,NA,0.723214285714286,0.482183908045977
"23","Frontenac","North","12","FR12","a",2,41.9,37.4,41.9,20.6,"Used CPS_i, because initial measurement was negative",0.892601431980907,0.491646778042959
"24","Frontenac","North","12","FR12","c",13,26.8,28.7,15.7,11.1,NA,1.07089552238806,0.707006369426752
"25","Frontenac","North","12","FR12","e",21,0.599,4.44,8.23,3.32,NA,7.41235392320534,0.403402187120292
"26","Frontenac","North","2","FR2","b",10,16.7,12.9,12.3,13.4,NA,0.772455089820359,1.08943089430894
"27","Frontenac","North","6","FR6","b",10,17.5,12.4,25.9,10.5,NA,0.708571428571429,0.405405405405405
"28","Frontenac","North","8","FR8","a",5,15,10.7,25.4,35,NA,0.713333333333333,1.37795275590551
"29","Frontenac","North","8","FR8","d",18,22.8,17.8,17,18.7,NA,0.780701754385965,1.1
"30","Oil Patch","South","1","OP1","b",7,8.53,11.8,27.6,24.4,NA,1.38335287221571,0.884057971014493
"31","Oil Patch","South","2","OP2","c",14,16.4,24,36.9,19,NA,1.46341463414634,0.514905149051491
"32","Oil Patch","South","3","OP3","c",15,13.5,19.2,11,3.02,NA,1.42222222222222,0.274545454545455
"33","Oil Patch","South","5","OP5","b",10,14.3,13.1,23.7,11.2,NA,0.916083916083916,0.472573839662447
"34","Oil Patch","South","6","OP6","b",6,12.6,20.8,29.9,24.5,NA,1.65079365079365,0.819397993311037
"35","Oil Patch","South","6","OP6","c",13,28.6,25.6,17.8,13.7,NA,0.895104895104895,0.769662921348314
"36","Oil Patch","South","7","OP7","c",14,11.6,21.8,13.3,2.12,NA,1.87931034482759,0.159398496240602
"37","Oil Patch","South","8","OP8","a",3,23.3,24.7,25,17.9,NA,1.06008583690987,0.716
"38","Prairie Island","North","1","PI1","a",1,30.2,28.9,7.54,9.07,NA,0.956953642384106,1.20291777188329
"39","Prairie Island","North","1","PI1","b",7,2.92,12.8,27.4,30.8,NA,4.38356164383562,1.12408759124088
"40","Prairie Island","North","10","PI10","a",1,25.9,25.4,25.8,12.6,NA,0.980694980694981,0.488372093023256
"41","Prairie Island","North","10","PI10","c",12,6.51,5.51,18.8,15.1,NA,0.846390168970814,0.803191489361702
"42","Prairie Island","North","11","PI11","c",12,4.84,6.64,10.1,6.31,NA,1.37190082644628,0.624752475247525
"43","Prairie Island","North","11","PI11","d",17,13.1,14.1,11.6,6.95,NA,1.0763358778626,0.599137931034483
"44","Prairie Island","North","11","PI11","e",21,7.15,5.99,8.81,1.34,NA,0.837762237762238,0.152099886492622
"45","Prairie Island","North","12","PI12","b",6,0.784,11.1,36.2,29,NA,14.1581632653061,0.801104972375691
"46","Prairie Island","North","12","PI12","c",12,6.99,6.23,9.31,8.32,NA,0.891273247496423,0.893662728249194
"47","Prairie Island","North","14","PI14","a",3,32.4,26.8,46.9,30.1,NA,0.827160493827161,0.641791044776119
"48","Prairie Island","North","14","PI14","b",8,18.4,17.8,15.5,7.5,NA,0.967391304347826,0.483870967741935
"49","Prairie Island","North","14","PI14","c",12,12.7,9.09,18.1,12.9,NA,0.715748031496063,0.712707182320442
"50","Prairie Island","North","18","PI18","e",21,4.85,3.86,5.7,-0.0311,NA,0.795876288659794,-0.00545614035087719
"51","Prairie Island","North","19","PI19","c",15,11.8,13.8,20.4,13.9,NA,1.16949152542373,0.681372549019608
"52","Prairie Island","North","2","PI2","b",6,3.66,17.3,34,34,NA,4.72677595628415,1
"53","Prairie Island","North","27","PI27","a",3,18.7,18.8,45.2,24.8,NA,1.00534759358289,0.548672566371681
"54","Prairie Island","North","27","PI27","b",8,11.7,16.8,27.2,6.24,NA,1.43589743589744,0.229411764705882
"55","Prairie Island","North","27","PI27","d",19,30.7,25.3,27.7,27.6,NA,0.824104234527687,0.996389891696751
"56","Prairie Island","North","28","PI28","a",1,39.5,34.9,16.3,9.55,NA,0.883544303797468,0.585889570552147
"57","Prairie Island","North","30","PI30","c",13,3.53,6.34,24.4,8.85,NA,1.79603399433428,0.362704918032787
"58","Prairie Island","North","4","PI4","a",1,36.2,25.3,11.7,22.9,NA,0.698895027624309,1.95726495726496
"59","Prairie Island","North","4","PI4","b",9,17.6,18.3,20.2,18.5,NA,1.03977272727273,0.915841584158416
"60","Prairie Island","North","4","PI4","c",11,23.8,21.2,22.4,4.6,NA,0.890756302521008,0.205357142857143
"61","Prairie Island","North","9","PI9","a",1,26.9,28.9,6.34,24.4,NA,1.07434944237918,3.84858044164038
"62","Prairie Island","North","9","PI9","c",15,11.1,8.85,14.8,9.13,NA,0.797297297297297,0.616891891891892
"63","Prairie Island","North","19","PI9","d",18,6.37,10.4,7.33,8.56,NA,1.63265306122449,1.16780354706685
"64","Reserve","South","3","RE3","a",3,23.9,21.3,19.5,15.9,NA,0.891213389121339,0.815384615384615
"65","Reserve","South","3","RE3","c",15,21.2,17.5,7.1,7.62,NA,0.825471698113208,1.07323943661972
"66","Reserve","South","5","RE5","a",5,17.3,12.7,12.6,24,NA,0.734104046242774,1.9047619047619
"67","Reserve","South","62","RE6","b",6,10.2,10.4,41.4,28.8,NA,1.01960784313726,0.695652173913044
"68","Reserve","South","7","RE7","d",19,34.4,33.5,44.6,29.2,NA,0.973837209302326,0.654708520179372
