"","ID","location","population","number","ramet","Cgerm","Hgerm","CPTGR","HPTGR","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"1","CE1","South","Cemetary","1","A",NA,NA,NA,NA,0.770932685,0.496002993049103,0.433761471,0.723231623,NA,0.584459459459459
"2","CE1","South","Cemetary","1","B",NA,NA,NA,NA,0.557272882,0.57951791991584,0.346865634,0.451491863,NA,NA
"3","CE1","South","Cemetary","1","C",NA,NA,NA,NA,0.488924733,0.486531648964186,0.423709691,0.443868521,0.254098360655738,0.576826196473552
"4","CE1","South","Cemetary","1","D",NA,NA,NA,NA,0.838046905,0.422517512260193,0.308427251,0.493212784,NA,NA
"5","CE10","South","Cemetary","10","A",NA,NA,NA,NA,0.350544621,0.573819253419006,0.268066995,0.701086414,NA,0.151260504201681
"6","CE10","South","Cemetary","10","B",NA,NA,NA,NA,0.63950743,0.561314599666059,0.488288544,0.703868392,0.644970414201184,0.313513513513513
"7","CE10","South","Cemetary","10","C",NA,NA,NA,NA,0.757624207,0.685438763016075,0.444742833,0.538235477,NA,0.411140583554377
"8","CE10","South","Cemetary","10","D",NA,NA,NA,NA,0.81299415,0.574472735185531,0.478734048,0.366031,0.974509803921569,0.283870967741935
"9","CE11","South","Cemetary","11","A",NA,NA,NA,NA,0.7234985,0.562864326279236,0.359571702,0.537365226,0.872727272727273,0.562048192771084
"10","CE11","South","Cemetary","11","B",NA,NA,NA,NA,0.50636175,0.983880445890691,0.244532803,0.540322581,NA,NA
"11","CE11","South","Cemetary","11","C",NA,NA,NA,NA,0.883889477,0.500339933625118,0.361132322,0.3531004,NA,NA
"12","CE11","South","Cemetary","11","D",NA,NA,NA,NA,0.772935096,0.462170842588073,0.803041688,0.471626709,NA,0.67487684729064
"13","CE2","South","Cemetary","2","A",NA,NA,NA,NA,0.661025692,0.528419541889027,0.370139295,0.734915239,NA,NA
"14","CE2","South","Cemetary","2","B",NA,NA,NA,NA,0.517489637,0.494066841736717,0.342265105,0.488427021,0.455882352941177,0.6996996996997
