"","fullID","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","population","location","number","ID","ramet"
"1","CE7B A",99.1627705548957,24.722,8.73,40.715,NA,0.661529814617733,NA,15.993,31.985,14.311,NA,"Cemetary","South","7b","CE7B","A"
"2","FR10 A",105.210995465108,30.16,9.454,50.866,0.433924673515551,NA,NA,20.706,41.412,18.521,NA,"Frontenac","North","10","FR10","A"
"3","FR10 C",106.022984404252,31.472,8.705,54.239,0.402632872011264,NA,NA,22.767,45.534,18.718,NA,"Frontenac","North","10","FR10","C"
"4","FR11 C",72.1050677746645,25.818,10.008,41.629,1.36393065356872,NA,6.16466966386283,15.811,31.621,14.143,NA,"Frontenac","North","11","FR11","C"
"5","FR12 A",96.0044545054994,28.481,8.442,48.521,0.618623969146209,NA,NA,20.04,40.079,17.943,NA,"Frontenac","North","12","FR12","A"
"6","FR2 A",97.7166652168398,26.212,1.182,51.242,0.235582781120201,NA,NA,25.03,50.06,22.389,NA,"Frontenac","North","2","FR2","A"
"7","FR8 A",37.4589951791975,26.461,6.788,46.134,0.769061426115774,NA,2.83684455448974,19.673,39.346,17.614,NA,"Frontenac","North","8","FR8","A"
"8","OP1 A",69.5778386784953,26.151,8.926,43.376,0.547235731492696,NA,NA,17.225,34.45,15.408,NA,"Oil Patch","South","1","OP1","A"
"9","OP1 B",86.5392800071343,25.492,9.482,41.502,0.743178224866133,NA,NA,16.01,32.02,14.346,NA,"Oil Patch","South","1","OP1","B"
"10","OP1 C",96.3942957131759,30.366,9.465,51.266,0.476119585129232,NA,NA,20.9,41.801,18.704,NA,"Oil Patch","South","1","OP1","C"
"11","OP2 A",95.1844475540922,28.916,9.493,48.339,0.698760948461567,NA,NA,19.423,38.846,17.372,NA,"Oil Patch","South","2","OP2","A"
"12","OP2 B",59.422420945993,24.979,9.259,40.698,NA,0.928863802314372,NA,15.719,31.439,14.058,NA,"Oil Patch","South","2","OP2","B"
"13","OP2 C",60.4111621098111,26.502,9.434,43.569,0.650794086729833,NA,NA,17.067,34.135,15.29,NA,"Oil Patch","South","2","OP2","C"
"14","OP3 A",85.4918380619256,30.603,8.242,52.964,0.354059372076913,NA,NA,22.361,44.722,19.403,NA,"Oil Patch","South","3","OP3","A"
"15","OP3 B",91.6721790338638,26.5,8.438,44.563,0.540515602208411,NA,NA,18.063,36.125,16.179,NA,"Oil Patch","South","3","OP3","B"
"16","OP3 C",78.2804902319327,32.155,8.068,56.242,0.431661312365683,NA,NA,24.087,48.174,18.617,NA,"Oil Patch","South","3","OP3","C"
"17","OP3 D",76.0507837535155,26.481,9.775,43.187,0.744734304133921,NA,NA,16.706,33.412,14.966,NA,"Oil Patch","South","3","OP3","D"
"18","OP4 A",96.132240979904,31.555,7.739,55.372,0.394856486947056,NA,NA,23.817,47.633,19.102,NA,"Oil Patch","South","4","OP4","A"
"19","OP4 B",99.1420033595719,31.384,8.723,54.044,0.443915383344698,NA,NA,22.66,45.321,18.755,NA,"Oil Patch","South","4","OP4","B"
"20","OP4 C",94.5162703348875,28.888,6.942,50.835,0.519420493286008,NA,NA,21.947,43.893,19.629,NA,"Oil Patch","South","4","OP4","C"
"21","OP4 D",88.8181227563484,30.807,8.394,53.22,0.406021932245539,NA,NA,22.413,44.826,19.217,NA,"Oil Patch","South","4","OP4","D"
"22","OP5 A",95.025405389172,27.346,9.161,45.53,0.655962499089119,NA,NA,18.184,36.369,16.275,NA,"Oil Patch","South","5","OP5","A"
"23","OP5 C",17.2278200530171,25.453,8.391,42.514,0.532390972522408,NA,NA,17.061,34.123,15.281,NA,"Oil Patch","South","5","OP5","C"
"24","OP5 D",89.3172410550693,27.823,9.147,46.499,0.690679513457649,NA,NA,18.676,37.352,16.706,NA,"Oil Patch","South","5","OP5","D"
"25","OP6 A",68.8816321682496,25.474,9.261,41.687,0.671594696791207,NA,NA,16.213,32.426,14.525,NA,"Oil Patch","South","6","OP6","A"
"26","OP6 B",95.0994582711148,27.171,8.751,45.591,0.655645371112699,NA,NA,18.42,36.84,16.477,NA,"Oil Patch","South","6","OP6","B"
"27","OP6 C",90.4742395642281,28.636,8.199,49.074,0.581670590295418,NA,NA,20.438,40.875,18.291,NA,"Oil Patch","South","6","OP6","C"
"28","OP7 A",90.6984237772717,26.287,9.791,42.783,0.696787419980264,NA,NA,16.496,32.992,14.762,NA,"Oil Patch","South","7","OP7","A"
"29","OP7 B",82.6545059241064,26.983,9.231,44.735,0.737636100225558,NA,NA,17.752,35.504,15.876,NA,"Oil Patch","South","7","OP7","B"
"30","OP7 C",90.8079780315317,27.872,8.88,46.864,0.618993441769206,NA,NA,18.992,37.984,16.988,NA,"Oil Patch","South","7","OP7","C"
"31","OP8 A",92.0085820947764,26.322,9.214,43.431,0.628130234411385,NA,NA,17.109,34.217,15.312,NA,"Oil Patch","South","8","OP8","A"
"32","OP8 D",88.7312766438323,26.524,8.981,44.068,0.62902916141422,NA,NA,17.544,35.087,15.713,NA,"Oil Patch","South","8","OP8","D"
"33","OP9 A",79.5158496300691,28.581,8.792,48.37,0.639508774178489,NA,NA,19.789,39.578,17.714,NA,"Oil Patch","South","9","OP9","A"
"34","OP9 C",76.2538355464028,27.733,9.115,46.351,0.716394411917263,NA,NA,18.618,37.236,16.658,NA,"Oil Patch","South","9","OP9","C"
"35","OP9 D",76.0914415647982,26.503,9.831,43.175,0.750911146032957,NA,2.76009743150276,16.672,33.344,14.938,NA,"Oil Patch","South","9","OP9","D"
"36","PI1 A",85.4674763318282,31.793,8.736,54.849,0.440108447461105,NA,NA,23.056,46.113,18.52,NA,"Prairie Island","North","1","PI1","A"
"37","PI1 C",84.2744682474001,35.367,8.853,61.88,0.414679853459393,NA,NA,26.513,53.027,16.494,NA,"Prairie Island","North","1","PI1","C"
"38","PI10 B",87.9254298682233,29.485,9.086,49.883,0.655892625306076,NA,NA,20.398,40.797,18.264,NA,"Prairie Island","North","10","PI10","B"
"39","PI11 C",73.8266579690661,31.275,9.231,53.319,0.452146793521326,NA,NA,22.044,44.088,18.585,NA,"Prairie Island","North","11","PI11","C"
"40","PI12 B",38.030519249015,28.15,6.191,50.109,0.385852655969581,NA,NA,21.959,43.918,19.641,NA,"Prairie Island","North","12","PI12","B"
"41","PI12 D",76.3932097327563,32.022,7.845,56.199,0.350269476305659,NA,NA,24.177,48.354,18.79,NA,"Prairie Island","North","12","PI12","D"
"42","PI13 A",70.2931943314423,29.975,9.643,50.308,0.842685189090988,NA,3.12417692147605,20.333,40.665,18.184,NA,"Prairie Island","North","13","PI13","A"
"43","PI14 A",72.3662057204426,31.518,9.614,53.422,0.453013958445415,NA,NA,21.904,43.808,18.286,NA,"Prairie Island","North","14","PI14","A"
"44","PI14 B",83.1019923604007,28.461,9.332,47.59,0.741355571741651,NA,NA,19.129,38.258,17.128,NA,"Prairie Island","North","14","PI14","B"
"45","PI15 A",83.9834563600693,29.984,9.35,50.618,0.64588130577542,NA,NA,20.634,41.268,18.454,NA,"Prairie Island","North","15","PI15","A"
"46","PI15 C",67.2502250933457,30.009,8.037,51.98,0.458164684642431,NA,NA,21.971,43.943,19.65,NA,"Prairie Island","North","15","PI15","C"
