"","fullID","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","population","location","number","ID","ramet"
"1","CE7B A",0.0719071959047801,25.672,9.613,41.73,1.10845053390918,NA,4.43701594339413,16.058,32.117,14.374,NA,"Cemetary","South","7b","CE7B","A"
"2","FR10 A",0.080186002630089,25.774,9.988,41.56,0.731960136944708,NA,2.69068236717313,15.786,31.572,14.124,NA,"Frontenac","North","10","FR10","A"
"3","FR10 C",0.0800070178957205,25.684,9.939,41.428,0.733521510544605,NA,2.69641830831624,15.744,31.489,14.092,NA,"Frontenac","North","10","FR10","C"
"4","FR11 C",0.044134316332447,26.398,10.47,42.325,2.24945866441668,NA,NA,15.927,31.855,14.262,NA,"Frontenac","North","11","FR11","C"
"5","FR12 A",0.0490176468218683,26.268,9.896,42.639,1.03168198417337,NA,4.0134065950525,16.371,32.743,14.649,NA,"Frontenac","North","12","FR12","A"
"6","FR2 A",0.0858167432497936,25.437,9.372,41.503,0.555863071791066,NA,2.11812266259185,16.066,32.131,14.389,NA,"Frontenac","North","2","FR2","A"
"7","FR8 A",0.0579472515808555,25.633,9.614,41.653,0.727832356172632,NA,2.67609992246217,16.02,32.039,14.342,NA,"Frontenac","North","8","FR8","A"
"8","OP1 A",0.0663636780822068,25.999,10.13,41.867,0.899153578331692,NA,3.36934616801984,15.868,31.737,14.192,NA,"Oil Patch","South","1","OP1","A"
"9","OP1 B",0.0693353854613123,25.992,9.669,42.314,0.7139214072781,NA,2.62635220500271,16.322,32.645,14.598,NA,"Oil Patch","South","1","OP1","B"
"10","OP1 C",0.0755087733317618,25.672,9.836,41.508,0.733609804614918,NA,2.69666194557845,15.836,31.672,14.175,NA,"Oil Patch","South","1","OP1","C"
"11","OP2 A",0.0738487560694604,25.478,9.921,41.034,0.727780039269634,NA,2.67529184979003,15.556,31.113,13.939,NA,"Oil Patch","South","2","OP2","A"
