 ,Area,Mean,Min,Max,Length,,,,
1,29,103.205,82.731,115.865,28.178,,,,
2,30,94.472,71.436,107.331,29.275,,,Pollen Grains,717
3,15,126.344,97.864,146.93,14.142,,,conversion,670.72
4,28,97.723,81.769,129,27.881,,,,
5,23,96.876,88.292,113.101,22.204,,,,
6,14,152.576,75.651,255,13.416,,,,
7,26,128.5,76.333,255,26.325,,,,
8,38,100.366,72.91,121,37.216,,,,
9,16,107.03,87.14,122.292,15.556,,,,
10,26,101.826,82.96,129.365,25.554,,,,
11,14,113.885,90.667,132.034,13,,,,
12,18,107.362,89.841,120.832,17.029,,,,
13,20,91.175,64.57,113.667,19.647,,,,
14,31,109.209,91.155,122.384,30.463,,,,
