 ,Area,Mean,Min,Max,Length,,,
1,33,77.736,58.57,94.333,33.828,,,
2,28,96.845,61.111,130.008,27.355,,,
3,29,74.693,58.551,113,28.833,,Pollen Grains,746
4,17,105.134,91.683,117.168,16.553,,conversion,670.72
5,19,61.248,36.667,72.204,18.385,,,
6,18,89.086,62.333,123.366,17,,,
7,21,87.437,75.286,109.667,22.36,,,
8,28,96.427,66.025,119,27.857,,,
9,15,91.089,47.933,114.023,14.56,,,
10,27,97.025,66.667,115.333,26,,,
11,20,106.269,89.405,121.175,19.209,,,
12,31,85.248,59.254,109.124,30.173,,,
13,15,77.911,49.755,109.333,14.422,,,
14,16,92.279,66.131,119.376,15.133,,,
15,13,101.995,72.853,132.448,12.649,,,
16,21,90.994,59.739,118.515,22.616,,,
17,16,87.022,50.262,116.667,15.033,,,
18,22,96.159,62.171,110.295,21.213,,,
19,15,86.547,60.263,121.744,14.142,,,
20,30,76.763,60.298,109,29.209,,,
21,25,86.62,59.594,107,24.698,,,
22,17,95.172,57.243,115.564,16.279,,,
23,16,89.162,52.108,114.458,15.232,,,
24,14,85.539,47.819,108,13.153,,,
25,11,96.147,89.479,106.333,10.05,,,
26,16,95.788,61.467,126.573,15,,,
27,43,105.617,51.216,148.449,43.064,,,
28,17,96.883,85.848,110.075,16.643,,,
29,13,78.734,46.671,111.333,14.053,,,
30,11,85.806,50.335,116,10.44,,,
31,23,95.775,68.08,110.821,22.023,,,
32,13,81.978,56.119,109.764,12.166,,,
33,13,81.358,58.036,104.009,12.207,,,
34,22,96.002,70.228,134.159,21.932,,,
35,23,87.728,65.066,130.333,22.472,,,
36,16,109.516,73.315,132.333,15.62,,,
37,30,101.166,61.879,130.549,29.712,,,
38,22,94.736,48.79,140.756,21.095,,,
39,18,77.289,52.643,115,17.464,,,
40,21,94.846,59.478,114.641,20.616,,,
41,22,94.585,52.3,123.333,21.213,,,
42,23,94.224,47.162,125,23.248,,,
43,14,88.769,55.497,121.333,13.928,,,
44,30,99.039,54.397,112.823,30.018,,,
45,26,100.87,71.338,144.339,25.554,,,
46,32,113.996,103.115,128.705,32.222,,,
47,19,96.047,68.469,119,19.131,,,
48,23,100.667,59.287,123.333,23.186,,,
49,41,96.398,69.953,128.681,43.159,,,
50,15,103.661,77.457,130.774,14.765,,,
51,21,97.556,59.667,116,20,,,
52,34,98.974,65.833,133.333,35.295,,,
53,26,91.009,55.202,112.209,25.824,,,
54,23,95.422,48.528,121.333,22.023,,,
55,17,103.36,71.428,119.333,16.125,,,
56,24,100.131,76.503,133.667,23.416,,,
57,24,106.234,90.133,132.527,23.164,,,
58,15,94.414,80.406,113.32,14.866,,,
59,17,82.732,54.549,110.192,16.031,,,
60,16,82.564,57.757,119.159,15.62,,,
61,19,98.718,56.387,138.983,19.709,,,
62,20,96.352,70.316,120.261,19.278,,,
63,33,90.972,72.761,112.248,32.881,,,
64,16,98.01,63.755,116.699,15.297,,,
65,16,86.943,48.796,111.281,16.142,,,
66,33,83.058,63.84,111.333,35.759,,,
67,18,102.378,83.519,137,17,,,
68,19,102.316,50.89,129,18.028,,,
69,16,105.742,92.32,123,15,,,
70,23,68.162,45.02,85.805,22.97,,,
71,12,129.941,80.663,255,11.18,,,
72,12,87.333,60.333,112.333,11,,,
73,12,164.083,71.667,255,11,,,
74,25,105.045,70.373,255,24.042,,,
75,34,94.168,69.612,105.178,38.306,,,
76,21,92.037,67.761,115.678,20.616,,,
77,19,94.859,71.072,106.767,18.385,,,
78,16,88.519,57.108,119,15.524,,,
79,28,88.762,52,110.667,28.65,,,
80,13,87.044,49.254,116,12.042,,,
81,21,102.773,57.997,122.845,20.616,,,
82,13,103.471,46.596,255,12.042,,,
83,17,94.892,52.038,125,16.279,,,
84,13,119.582,44.946,255,12.649,,,
