 ,Area,Mean,Min,Max,Length,,,
1,109,108.173,66.933,147.081,110.003,,Total Pollen Grains,170
2,309,149.572,72.39,175.934,308.169,,Conversion,657.438
3,56,94.669,63.333,120.19,55.675,,,
4,266,144.124,54.183,174.241,265.139,,,
5,128,104.34,54.245,135.28,128.452,,,
6,95,106.662,65.086,127.928,95.176,,,
7,20,94.155,61.056,158.136,19.026,,,
8,256,132.949,81.856,168,255.984,,,
9,185,120.555,86.326,147.69,184.711,,,
10,134,117.844,79.258,144.307,133.929,,,
11,180,142.654,67.142,255,179.923,,,
12,103,103.998,85.922,129.305,102.781,,,
13,106,112.344,65.339,135.735,106.027,,,
14,298,140.066,79.464,167.948,297.69,,,
15,313,124.664,56.786,158.233,312.324,,,
16,245,136.766,69.667,170.344,244.216,,,
17,44,86.379,63.345,101.232,43.572,,,
18,27,83.807,72.789,93.567,26.582,,,
19,69,88.049,73.911,117.671,68.907,,,
20,40,107.121,61.192,255,39.565,,,
21,23,79.606,72.333,89.004,22.204,,,
22,54,120.435,67.554,255,53.747,,,
23,19,94.224,80.571,107,18.028,,,
24,55,104.254,64.438,131.716,54.588,,,
25,118,103.573,65.866,124.622,117.594,,,
26,307,110.72,63.192,161.503,306.895,,,
27,169,125.284,71.325,255,168.693,,,
28,139,109.267,75.473,139.453,138.774,,,
29,120,114.117,61.142,141.785,120.001,,,
30,88,116.389,61.553,255,87.631,,,
31,90,139.878,69.455,255,91.526,,,
32,32,86.523,71.333,104,31.763,,,
33,39,128.892,84.239,255,38.881,,,
34,222,121.037,72.17,149.847,222.07,,,
35,66,103.404,73.105,237.793,65.487,,,
36,146,106.958,57.967,137.428,145.762,,,
37,182,110.347,60.231,255,181.387,,,
38,380,142.775,61.983,158.731,379.492,,,
39,89,85.606,49.845,133.233,88.737,,,
40,19,73.568,42.773,136.08,18.811,,,
41,261,134.915,68.58,159.576,260.607,,,
42,73,87.047,58.022,110.597,72.984,,,
43,17,95.126,56.046,150.147,16.031,,,
44,312,134.784,58.235,168.783,311.777,,,
45,213,127.42,45.709,255,212.691,,,
46,77,100.861,61.318,128.257,76.173,,,
47,185,111.455,50.488,137.067,185.174,,,
48,53,98.636,47.672,255,52.106,,,
49,116,115.04,85.323,136.202,115.892,,,
50,123,107.783,60.643,135.079,122.07,,,
51,53,82.418,45.266,109.707,52.89,,,
52,135,89.315,36.32,118.087,134.475,,,
53,18,77.556,43.333,140.667,17,,,
54,64,105.838,65.234,133.715,63.388,,,
55,121,107.452,61.502,133.17,121.057,,,
56,69,80.139,45.658,106.748,68.945,,,
57,69,93.573,51.791,125.028,68.336,,,
58,70,104.346,40.92,255,69.697,,,
59,53,88.189,39.43,255,52.087,,,
60,180,106.211,56.395,141.141,179.315,,,
61,151,117.896,50.557,255,150.998,,,
62,122,132.116,46.54,255,121.656,,,
63,128,117.335,57.667,255,127.481,,,
64,130,92.225,56.036,113.131,129.218,,,
65,168,104.195,62.351,255,167.354,,,
66,73,113.321,62.765,255,72.921,,,
67,84,79.355,47.033,129.333,83.915,,,
68,51,85.779,67.22,102.522,50.231,,,
69,70,100.571,54.72,255,69.131,,,
70,94,88.304,44.726,126.196,93.334,,,
71,59,80.807,40.941,121.4,59.221,,,
72,100,98.959,48.537,255,99.598,,,
73,94,82.686,52.24,121.393,95.803,,,
74,87,117.218,72.667,135.907,86.632,,,
75,21,87.036,66.907,152.667,20,,,
76,24,79.53,62.926,103.338,23.324,,,
77,514,141.819,80.168,174.724,513.387,,,
78,170,104.374,45.636,135.742,169.427,,,
79,363,157.252,92.21,255,363.051,,,
80,249,120.297,49.808,255,248.731,,,
81,85,91.16,66.92,133.271,84.515,,,
82,28,115.102,56.209,255,27.438,,,
83,48,91.916,55.763,127.493,47.857,,,
84,162,126.418,88.621,203.761,161.926,,,
85,160,125.419,74.843,154.525,159.869,,,
86,79,98.537,69,126.508,78.154,,,
87,111,128.37,88.572,149.805,110.758,,,
88,180,132.933,75.691,255,179.503,,,
89,145,125.264,52.653,255,144.334,,,
90,70,100.263,60.537,138.153,69.346,,,
91,72,97.254,60.384,133.227,72.037,,,
92,345,106.242,60.198,146.034,344.135,,,
93,375,135.224,66.906,158.937,375.026,,,
94,123,95.405,41.416,140.401,122.954,,,
95,101,70.751,41.783,95.921,100.339,,,
96,157,98.077,52.06,150.04,156.151,,,
97,320,138.283,88.095,164.475,319.527,,,
98,285,153.851,94.28,255,284.896,,,
99,157,136.667,65.716,255,156.709,,,
100,166,155.94,84.667,255,165.12,,,
101,88,123.811,61.444,255,88.173,,,
102,137,106.441,49.971,132.006,136.255,,,
103,75,123.281,79.623,156.037,74.73,,,
104,27,98.708,81.466,118.322,26.469,,,
105,61,90.073,54.755,123.686,60.231,,,
106,64,95.565,56.777,129.647,63.654,,,
107,128,139.521,97.283,255,129.942,,,
108,188,123.255,62.333,156.064,187.182,,,
109,210,140.877,79.164,255,209.71,,,
110,247,119.219,67.433,171.219,246.945,,,
111,94,109.428,62.333,136.285,94.279,,,
112,167,110.445,59.309,144.852,166.953,,,
113,245,138.294,68.945,255,244.976,,,
114,91,118.08,63.442,147.772,90.657,,,
115,68,95.415,70.869,130.753,68.025,,,
116,340,125.627,52.487,255,340.352,,,
117,78,117.989,71.734,255,77.947,,,
118,85,85.334,53.241,105.498,85.214,,,
119,102,118.299,68.213,255,101.405,,,
120,113,99.89,42.353,135.456,112.198,,,
121,47,98.318,63.667,255,46.492,,,
122,50,69.702,40.374,90.022,49.077,,,
123,18,83.297,60.051,118.677,17.692,,,
124,109,111.762,64.021,133.199,108.639,,,
125,17,76.757,63.362,103.064,16.155,,,
126,291,128.623,69.472,151.12,291.012,,,
127,107,99.63,58.771,137.151,106.81,,,
128,82,79.438,38.603,107.12,82.32,,,
129,41,75.681,51.718,145.313,40.866,,,
130,155,111.661,55.523,140.1,155.279,,,
131,65,90.12,67.427,119.509,65.142,,,
132,25,71.609,39.957,95.762,24.331,,,
133,123,84.143,46.28,125.451,122.866,,,
134,75,98.012,72.266,117.927,74.177,,,
135,98,115.219,62.914,255,97.713,,,
136,368,140.069,53,160.564,367.589,,,
137,40,69.979,40.011,96.413,39.771,,,
138,62,71.461,41.442,99.106,62.369,,,
139,70,92.959,51.169,111.151,69.709,,,
140,305,159.022,88.211,190.459,305.509,,,
141,47,123.732,87.667,139.667,46.495,,,
