 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,109,108.173,66.933,147.081,110.003,0.167320721,,Picture,No Tubes,Tubes
2,309,149.572,72.39,175.934,308.169,0.4687423,,A,16,193
3,56,94.669,63.333,120.19,55.675,0.084684792,,B,29,202
4,266,144.124,54.183,174.241,265.139,0.403291261,,Total,45,395
5,128,104.34,54.245,135.28,128.452,0.195382682,,,,
6,95,106.662,65.086,127.928,95.176,0.144768024,,Length Conversion,,657.438
7,20,94.155,61.056,158.136,19.026,0.028939611,,,,
8,256,132.949,81.856,168,255.984,0.389365993,,Mean Length,0.221688073,
9,185,120.555,86.326,147.69,184.711,0.280955771,,Median Length,0.167320721,
10,134,117.844,79.258,144.307,133.929,0.203713506,,Standard Deviation,0.165704633,
11,180,142.654,67.142,255,179.923,0.273672955,,,,
12,103,103.998,85.922,129.305,102.781,0.156335654,,,,
13,106,112.344,65.339,135.735,106.027,0.161273002,,,,
14,298,140.066,79.464,167.948,297.69,0.452803154,,,,
15,313,124.664,56.786,158.233,312.324,0.475062287,,,,
16,245,136.766,69.667,170.344,244.216,0.371466207,,,,
17,44,86.379,63.345,101.232,43.572,0.066275451,,,,
18,27,83.807,72.789,93.567,26.582,0.04043271,,,,
19,69,88.049,73.911,117.671,68.907,0.104811404,,,,
20,40,107.121,61.192,255,39.565,0.06018058,,,,
21,23,79.606,72.333,89.004,22.204,0.033773527,,,,
22,54,120.435,67.554,255,53.747,0.081752196,,,,
23,19,94.224,80.571,107,18.028,0.027421597,,,,
24,55,104.254,64.438,131.716,54.588,0.083031404,,,,
25,118,103.573,65.866,124.622,117.594,0.178867057,,,,
26,307,110.72,63.192,161.503,306.895,0.466804474,,,,
27,169,125.284,71.325,255,168.693,0.256591496,,,,
28,139,109.267,75.473,139.453,138.774,0.211083022,,,,
29,120,114.117,61.142,141.785,120.001,0.182528238,,,,
30,88,116.389,61.553,255,87.631,0.133291656,,,,
31,90,139.878,69.455,255,91.526,0.139216169,,,,
32,32,86.523,71.333,104,31.763,0.048313301,,,,
33,39,128.892,84.239,255,38.881,0.059140177,,,,
34,222,121.037,72.17,149.847,222.07,0.337780901,,,,
35,66,103.404,73.105,237.793,65.487,0.099609393,,,,
36,146,106.958,57.967,137.428,145.762,0.221712161,,,,
37,182,110.347,60.231,255,181.387,0.275899781,,,,
38,380,142.775,61.983,158.731,379.492,0.577228575,,,,
