 ,Area,Mean,Min,Max,Length,,,
1,67,110.013,65.512,125.54,67.137,,,
2,79,79.835,45.237,103.414,79.051,,Total Pollen Grains,206
3,331,137.089,44.828,255,330.667,,Conversion,657.438
4,106,108.415,57.562,133.008,106.039,,,
5,90,104.034,62.151,139.148,89.471,,,
6,105,113.604,62.456,255,104.65,,,
7,71,112.919,74.774,255,70.946,,,
8,353,159.466,64.858,255,352.749,,,
9,71,126.714,80.07,152.175,70.946,,,
10,59,104.958,69.695,131.608,59.164,,,
11,110,124.7,54.72,157.582,109.776,,,
12,71,104.792,50.313,134.73,70.361,,,
13,140,130.26,76.486,167.403,139.705,,,
14,297,152.711,76.315,255,296.189,,,
15,107,118.518,79.227,147.938,108.057,,,
16,422,130.125,77.044,152.333,421.495,,,
17,157,138.73,75.632,255,156.759,,,
18,66,111.593,57.191,142.404,66.98,,,
19,51,101.286,68.44,138.662,51.001,,,
20,152,106.267,54.873,133.677,151.744,,,
21,444,155.61,78.011,185.504,443.199,,,
22,292,127.055,79.805,171.21,292.414,,,
23,222,141.785,52.915,168.952,221.588,,,
24,99,102.842,48.895,140.24,98.542,,,
25,404,148.203,71.938,255,403.376,,,
26,139,134.584,67.654,255,138.26,,,
27,53,93.805,63,112.626,52.926,,,
28,175,124.051,30.694,149.244,174.129,,,
29,115,115.144,77.193,132.421,114.399,,,
30,60,99.115,73.402,140.998,60.283,,,
31,81,89.335,51.918,135.291,81.553,,,
32,222,143.577,62.95,255,221.734,,,
33,81,129.195,59.813,255,80.851,,,
34,49,89.767,53.338,112.492,48.016,,,
35,62,104.892,51.206,130.033,61.788,,,
36,117,126.983,75.385,153.19,116.09,,,
37,339,146.675,93.676,255,338.912,,,
38,256,142.641,62.702,255,255.179,,,
39,382,136.45,98.845,157.938,381.543,,,
40,126,116.848,60.519,146.531,126.638,,,
41,47,118.288,67.986,255,46.011,,,
42,300,150.084,94,173.124,299.66,,,
43,190,127.62,50.884,166.109,189.369,,,
44,212,189.685,69.775,255,211.502,,,
45,102,114.883,64.944,141.24,101.896,,,
46,158,143.048,72.763,255,157.779,,,
47,277,140.527,83.144,161.63,276.899,,,
48,89,114.022,70.374,154.664,88.691,,,
49,234,126.577,61.333,156.951,234.016,,,
50,135,147.061,112.667,168.333,134.629,,,
51,72,123.811,72.889,152.654,71.594,,,
52,103,138.261,75.258,160.472,103.13,,,
53,12,87.396,42.486,112.085,11.402,,,
54,85,101.977,55.683,133.637,84.926,,,
55,53,93.217,68.6,109.145,53.495,,,
56,45,82.388,46.25,102.055,45.278,,,
57,229,136.902,58.725,255,229.033,,,
58,260,181.96,68.054,255,259.639,,,
59,65,93.171,49.334,117.517,64.555,,,
60,126,97.946,51.115,127.156,125.289,,,
61,234,113.182,60.671,131.705,233.699,,,
62,242,106.353,64.549,137.374,241.669,,,
63,114,101.267,54.603,123.4,113.471,,,
64,155,109.712,67.274,143.001,154.954,,,
65,131,122.264,62.694,145.794,131.338,,,
66,204,126.017,55.272,255,204.005,,,
67,31,93.224,59.9,119.293,30.263,,,
68,87,99.465,57.094,128.925,87.319,,,
69,87,97.34,44.787,134.27,87.5,,,
70,103,112.629,64.859,138.323,102.703,,,
71,175,107.742,28.885,136.894,174.739,,,
72,119,121.598,69.545,255,118.602,,,
73,158,108.203,50.075,149.346,157.675,,,
74,155,119.439,36.061,255,154.122,,,
75,123,107.538,63.578,140.694,122.901,,,
76,272,128.504,57.795,151.699,271.405,,,
77,235,125.067,57.879,255,235.056,,,
78,72,116.228,72.486,139.454,72.081,,,
79,411,123.217,59.085,165.823,410.714,,,
80,192,155.458,57.579,255,191.199,,,
81,72,88.167,55.962,129.258,72.214,,,
82,362,138.711,70.883,255,361.321,,,
83,445,142.835,68.084,255,444.555,,,
84,195,119.944,56.083,137.937,194.296,,,
85,96,97.79,49.102,133.484,96.329,,,
86,23,92.098,62.175,118.217,22.796,,,
87,481,154.073,61.179,245.025,481.18,,,
88,201,162.459,48.012,255,200.713,,,
89,426,145.243,86.39,255,425.181,,,
90,104,112.473,80.111,152.038,104.393,,,
91,118,126.226,60.451,255,117.473,,,
92,39,95.722,72.138,109.667,38.836,,,
93,49,87.127,52.72,128.208,48.458,,,
94,90,111.644,66.547,148.79,89.43,,,
95,199,140.785,74.245,164.766,198.411,,,
96,293,139.329,78.444,169.27,292.57,,,
97,20,80.887,56.762,114.915,19.416,,,
98,317,153.517,63.667,167.644,316.422,,,
99,95,128.532,79.357,255,94.12,,,
100,128,139.71,56.288,174.109,127.959,,,
101,116,125.831,79.869,255,115.757,,,
