 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,20,88.208,64.736,113.933,19.235,0.028323377,,,,
2,11,85.152,73,100,10,0.014724916,,Picture,No Tubes,Tubes
3,14,90.884,55.684,113.667,13.342,0.019645984,,A,842,0
4,18,103.63,64,120.667,17,0.025032358,,B,353,5
5,16,109.506,63.76,136.667,15.297,0.022524705,,C,,
6,14,99.921,57.5,128.389,13.153,0.019367683,,D,,
7,19,100.451,55.246,118.667,18.028,0.026546079,,Total,1195,111
8,11,97.857,64.22,129.333,10.63,0.015652586,,,,
9,13,114.857,66.129,255,12.806,0.018856728,,Length Conversion,679.121,
10,22,97.036,55.416,124.771,21.024,0.030957664,,,,
11,14,90.818,53.355,112.596,13.928,0.020508864,,Mean Length,0.011429214,
12,15,92.487,40.2,128,14.318,0.021083135,,Median Length,0.010411988,
13,17,90.881,71.009,113.667,16.125,0.023743928,,Standard Deviation,0.012600937,
14,14,78.332,35,104.848,13,0.019142391,,,,
15,18,103.347,62.69,128.928,18.074,0.026613814,,,,
16,15,90.395,64.988,134,14.318,0.021083135,,,,
17,19,90.327,64.333,113.275,18.682,0.027509089,,,,
18,11,98.019,65.334,120.555,10.05,0.014798541,,,,
19,8,106.299,78.315,255,7.071,0.010411988,,,,
20,17,90.767,48.344,122.616,16.155,0.023788103,,,,
21,20,70.421,43.585,106.667,19.56,0.028801937,,,,
22,17,78.298,45.586,96.399,16.763,0.024683377,,,,
23,16,79.817,44.94,109.333,15.033,0.022135967,,,,
24,13,102.553,82.54,136.06,12.207,0.017974706,,,,
25,11,67.227,41.508,99,10.296,0.015160774,,,,
26,25,84.015,54.62,123.036,24.515,0.036098133,,,,
27,12,101.181,66.268,124.232,11.402,0.01678935,,,,
28,18,91.414,51.22,134.727,17.088,0.025161937,,,,
29,24,100.868,32.931,146.88,23.553,0.034681596,,,,
30,33,97.706,65.398,126.333,32.062,0.047211027,,,,
31,26,94.542,44.111,136.738,25.495,0.037541175,,,,
32,17,100.624,71.333,122.251,16.492,0.024284332,,,,
33,18,94.678,60.931,122.015,17.804,0.026216241,,,,
34,11,69.22,34.369,112.333,10.44,0.015372813,,,,
35,15,90.924,58.476,128.939,14.036,0.020667893,,,,
36,16,91.335,48.883,124.12,15.811,0.023281565,,,,
37,21,103.954,84.112,129,20.776,0.030592486,,,,
38,12,123.751,99.988,141.597,11.402,0.01678935,,,,
39,22,119.401,104.291,132.446,21.26,0.031305172,,,,
40,13,92.61,40.482,125.804,12.369,0.018213249,,,,
41,16,94.904,63.49,136.671,15.232,0.022428993,,,,
42,16,111.556,85.965,134.817,15.133,0.022283216,,,,
43,18,100.837,89.132,136.333,17.029,0.02507506,,,,
44,9,121.481,103,134.667,8,0.011779933,,,,
45,16,96.11,65.978,126.333,15.524,0.02285896,,,,
46,9,114.815,97.699,126.249,8.602,0.012666373,,,,
47,8,112.591,92.598,131.667,7.616,0.011214496,,,,
48,15,105.75,65.46,128.804,14.213,0.020928524,,,,
49,20,97.546,81.189,117.729,19.313,0.028438231,,,,
50,11,121.667,96,144,10,0.014724916,,,,
51,24,114.14,83.615,149.103,23.345,0.034375318,,,,
52,13,98.182,72.017,118.644,12.207,0.017974706,,,,
53,29,97.272,68.691,132,28.792,0.04239598,,,,
54,13,78.394,40.984,103.823,12.649,0.018625547,,,,
55,9,95.276,60.554,133,8.602,0.012666373,,,,
56,8,61.329,38.7,101.667,7.071,0.010411988,,,,
57,16,66.338,36.626,115.169,15.297,0.022524705,,,,
58,10,103.456,56.908,137.181,9.22,0.013576373,,,,
59,8,100.258,79.793,116,7.616,0.011214496,,,,
60,13,98.948,65.149,133.633,12.806,0.018856728,,,,
61,11,96.61,50.295,131.091,10.198,0.01501647,,,,
62,18,91.501,70,126.333,17,0.025032358,,,,
63,9,104.352,44.027,255,8.544,0.012580969,,,,
64,13,92.449,72.573,117.667,12.207,0.017974706,,,,
1,12,70.425,59.749,92,11.705,0.017235515,,,,
2,12,68.917,59,78.333,11,0.016197408,,,,
3,11,91.962,75.478,111.333,10.44,0.015372813,,,,
4,8,94.388,79.788,111,7.81,0.01150016,,,,
5,12,98.442,94.103,101,11.045,0.01626367,,,,
6,24,90.882,75.834,121.333,24.028,0.035381029,,,,
7,19,58.465,43.055,92,18.974,0.027939057,,,,
8,10,93.926,57.798,122,9.487,0.013969528,,,,
9,16,73.812,44.984,102.516,15.524,0.02285896,,,,
10,24,94.181,46.515,126.184,23.345,0.034375318,,,,
11,30,58.963,40.702,91.333,29.732,0.043780122,,,,
