 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,59,96.634,67.69,129.214,58.872,0.088722779,,,,,
2,135,137.971,87.61,161.771,134.553,0.202777485,,Picture,No Tubes,Tubes,
3,207,125.029,66.826,145.047,206.882,0.311780574,,A,67,13,*half picture
4,92,115.834,76,175.779,92.212,0.138967674,,B,,,
5,14,104.781,95.404,116.286,13.892,0.020935875,,C,,,
6,11,100.317,70.706,123.449,10.817,0.01630171,,D,,,
7,137,137.069,77.662,153.488,136.191,0.205246025,,Total,67,166,
8,123,114.832,70.472,142.705,123.585,0.18624821,,,,,
9,33,89.084,57,111.515,32.263,0.048621807,,Length Conversion,663.55,,
10,86,111.947,36.667,136.079,85.179,0.128368623,,,,,
11,45,103.816,40.76,255,44.425,0.066950494,,Mean Length,0.075760365,,
12,21,67.11,53,88.485,20.616,0.031069249,,Median Length,0.04061186,,
13,23,104.774,66.409,131.273,22.136,0.033359958,,Standard Deviation,0.118835202,,
14,31,87.817,60.343,124.885,30.594,0.046106548,,,,,
15,167,123.53,81.96,152.757,166.893,0.251515334,,,,,
16,173,137.724,80.357,255,173.127,0.260910255,,,,,
17,67,105.116,61.163,136.467,66.782,0.100643508,,,,,
18,133,118.216,68.133,137.765,132.253,0.19931128,,,,,
19,85,107.426,60.396,133.8,84.949,0.128022003,,,,,
20,33,102.246,46.419,135.314,32.894,0.049572753,,,,,
21,113,117.497,80.967,138.435,113.351,0.170825107,,,,,
22,156,129.59,87.559,165.474,156.108,0.235261849,,,,,
23,30,109.664,76.528,129.45,29.587,0.044588953,,,,,
24,39,84.949,70,98.667,39,0.058774772,,,,,
25,50,115.618,68.176,255,49.886,0.075180469,,,,,
26,55,80.91,53.747,132.945,54.552,0.082212343,,,,,
27,102,104.31,33,128.78,101.948,0.153640268,,,,,
28,17,84.067,44.965,115.071,16.492,0.024854193,,,,,
29,287,135.906,65.17,155.731,286.189,0.431299827,,,,,
30,202,138.349,55.667,159.326,201.324,0.303404416,,,,,
31,61,122.488,100.438,132.929,60.308,0.090886896,,,,,
32,107,127.245,46,255,106.292,0.160186874,,,,,
33,71,132.666,41,255,70.149,0.10571773,,,,,
34,747,134.605,62.167,255,747.207,1.1260749,,,,,
35,41,75.131,50.114,93.454,40.025,0.060319494,,,,,
36,73,100.502,52,137.941,72.747,0.109633034,,,,,
37,78,91.572,41.928,120.442,77.47,0.11675081,,,,,
38,21,64.674,48.333,86.667,20,0.030140909,,,,,
39,14,87.952,54.854,131.333,13,0.019591591,,,,,
40,207,122.183,66.848,148.173,206.181,0.310724135,,,,,
41,37,75.293,58.713,99.185,36.108,0.054416397,,,,,
42,44,102.811,65.695,131.043,43.872,0.066117097,,,,,
43,49,105.12,53.829,128.08,48.494,0.073082661,,,,,
44,32,72.552,49.105,107.253,31.765,0.047871298,,,,,
45,136,141.073,86.37,168.568,136.312,0.205428378,,,,,
46,28,118.606,85.186,134.518,27.495,0.041436214,,,,,
47,18,91.508,59.718,129.652,17.889,0.026959536,,,,,
48,31,73.404,51.792,87.408,31.282,0.047143395,,,,,
49,22,86.913,57.968,110.76,21.63,0.032597393,,,,,
