 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm = ,667.167,,total pollen grains,
1,72,113.875,88.167,141.741,70.943,0.106,106.335,,,,,280,
2,88,102.192,56.167,133.495,87.204,0.131,130.708,,,,,,
3,45,98.861,48.864,126.896,44.175,0.066,66.213,,,,,average tube length,
4,113,114.782,44.333,144.212,111.861,0.168,167.666,,,,,206.333,nm
5,23,98.354,61.638,123.077,22.006,0.033,32.984,,,,,,
6,61,115.462,82,144.646,60.301,0.090,90.384,,,,,tube growth ratio,
7,218,125.161,19.726,158.559,217.08,0.325,325.376,,,,,50.36%,
8,358,145.767,51.467,178.408,356.985,0.535,535.076,,,,,,
9,177,149.859,40.857,176.017,175.874,0.264,263.613,,,,,,
10,432,145.562,51.347,255,431.159,0.646,646.253,,,,,,
11,108,114.988,34.571,155.357,106.922,0.160,160.263,,,,,,
12,67,92.81,32,124.105,65.988,0.099,98.908,,,,,,
13,21,85.259,71.751,106.051,19.604,0.029,29.384,,,,,,
14,92,114.806,32.169,158.129,90.647,0.136,135.869,,,,,,
15,21,105.732,70.917,134.301,20.442,0.031,30.640,,,,,,
16,38,49.447,24.388,255,37.037,0.056,55.514,,,,,,
17,19,77.297,58.848,94.159,18.18,0.027,27.250,,,,,,
18,50,92.869,45.072,132.145,49.235,0.074,73.797,,,,,,
19,39,84.909,49.386,119.913,38.016,0.057,56.981,,,,,,
20,210,131.129,67.981,255,209.289,0.314,313.698,,,,,,
21,239,110.19,61.38,139.211,237.831,0.356,356.479,,,,,,
22,179,116.276,30.116,149.451,177.76,0.266,266.440,,,,,,
23,50,96.52,58.482,119.316,49.164,0.074,73.691,,,,,,
24,98,96.358,44.54,118.869,96.978,0.145,145.358,,,,,,
25,93,116.578,42.667,142.693,92.387,0.138,138.477,,,,,,
26,88,101.074,63.93,136.241,86.575,0.130,129.765,,,,,,
27,49,93.773,63.158,123.437,47.624,0.071,71.382,,,,,,
28,117,113.351,59.517,149.595,116.276,0.174,174.283,,,,,,
29,112,125.14,70.214,148.366,111.49,0.167,167.110,,,,,,
30,60,93.631,41.494,120.267,58.528,0.088,87.726,,,,,,
31,290,120.815,45.683,155.499,289.164,0.433,433.421,,,,,,
32,116,120.492,54.606,150.078,115.013,0.172,172.390,,,,,,
33,154,112.049,47.933,136.918,152.609,0.229,228.742,,,,,,
34,26,79.093,43,122.799,24.759,0.037,37.111,,,,,,
35,385,150.927,43.636,255,384.06,0.576,575.658,,,,,,
36,152,124.841,56.834,153.357,151.324,0.227,226.816,,,,,,
37,265,156.706,88,184.2,264.489,0.396,396.436,,,,,,
38,270,139.864,72.207,163.782,268.744,0.403,402.814,,,,,,
39,159,131.729,50.333,255,157.616,0.236,236.247,,,,,,
40,251,118.666,52.5,255,250.067,0.375,374.819,,,,,,
41,144,139.597,82.871,167.157,142.541,0.214,213.651,,,,,,
42,44,124.832,84.756,158.228,42.746,0.064,64.071,,,,,,
43,110,126.461,65.903,255,108.507,0.163,162.638,,,,,,
44,20,96.056,77.032,126.667,18.682,0.028,28.002,,,,,,
45,22,93.017,64.667,122.667,20.597,0.031,30.872,,,,,,
46,28,79.404,45.885,94.168,26.618,0.040,39.897,,,,,,
47,32,85.941,50.848,118.38,31.492,0.047,47.203,,,,,,
48,62,97.449,47,163.833,60.52,0.091,90.712,,,,,,
49,23,83.443,28.675,150,21.84,0.033,32.735,,,,,,
50,123,134.289,53.16,157.754,122.455,0.184,183.545,,,,,,
51,21,72.505,27.546,103.656,19.526,0.029,29.267,,,,,,
52,92,102.415,39.156,130.157,91.494,0.137,137.138,,,,,,
53,127,134.211,59.894,165.414,125.937,0.189,188.764,,,,,,
54,56,106.569,46.286,134.976,55.317,0.083,82.913,,,,,,
55,276,155.725,58.475,184.587,275.433,0.413,412.840,,,,,,
56,20,92.426,53.596,136.667,18.974,0.028,28.440,,,,,,
