 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,13,82.069,40.22,111.667,12.53,0.01836931,,,,
2,22,61.583,36.4,86.536,21.932,0.032152889,,Picture,No Tubes,Tubes
3,14,91.26,72.312,118,13.342,0.019559723,,A,987,0
4,18,85.47,52.749,120.147,17.088,0.025051458,,B,,
5,12,90.702,64.355,118.667,11.18,0.016390174,,C,,
6,19,96.405,75.859,117.898,18.439,0.027032059,,D,,
7,11,105.876,98.695,121.333,10.817,0.015858007,,Total,987,130
8,18,91.372,74.481,124.667,17.692,0.025936937,,,,
9,11,89.201,66.368,121,10.44,0.015305315,,Length Conversion,682.116,
10,9,80.895,50.203,107,8.062,0.011819104,,,,
11,8,101.067,89.398,110.938,7.616,0.011165256,,Mean Length,0.025243879,
12,11,83.87,56.453,113.667,10.817,0.015858007,,Median Length,0.023340605,
13,21,102.71,70.194,130.333,20.125,0.029503779,,Standard Deviation,0.012250826,
14,11,84.812,45.051,103.333,10.05,0.014733564,,,,
15,18,60.398,43.747,79.528,17.889,0.026225745,,,,
16,14,79.36,66.135,95.226,13.038,0.019114051,,,,
17,8,83.931,58.535,117.333,7.81,0.011449665,,,,
18,17,72.511,45,122,16.828,0.024670291,,,,
19,19,98.335,75.363,112.333,18.439,0.027032059,,,,
20,13,102.481,89.008,113.333,12.166,0.017835676,,,,
21,19,87.585,68.285,119.333,18.028,0.026429522,,,,
22,11,87.481,71.333,107,10,0.014660263,,,,
23,23,103.275,76.335,122.524,22.204,0.032551648,,,,
24,10,76.579,39.762,118,9.22,0.013516763,,,,
25,11,107.374,92.702,127.214,10.296,0.015094207,,,,
26,15,96.619,62.709,121,14.213,0.020836632,,,,
27,12,102.25,66.813,123.886,11.18,0.016390174,,,,
28,17,81.668,50.228,127.333,16.643,0.024399076,,,,
29,21,101.101,78.564,120.199,20.036,0.029373303,,,,
30,20,98.037,63.778,119.733,19.105,0.028008433,,,,
31,8,88.767,57.419,127.667,7.616,0.011165256,,,,
32,17,103.128,64.401,133.098,16.763,0.024574999,,,,
33,27,90.811,57.278,109.735,26.408,0.038714823,,,,
34,33,92.621,73.468,109.333,32.016,0.046936298,,,,
35,24,91.715,74.997,124.207,23.788,0.034873834,,,,
36,11,79.566,43.064,111.147,10.77,0.015789103,,,,
