 ,Area,Mean,Min,Max,Length,um,,,,,,,
1,69,125.692,61.373,168.538,69.144,104.6051437,,,,,germinated grains,,ungerm
2,196,156.762,91.624,180.477,195.581,295.8865356,,,,,163,,28
3,71,167.056,87.62,190.25,71.147,107.6354009,,661=mm=1000 um,,,,,
4,463,133.247,45.26,169.633,463.322,700.9409985,,,,,,,
5,337,146.072,46.278,180.667,336.365,508.8729198,,,,,,,
6,320,145.924,63.31,180.633,319.826,483.8517398,,,,,,,
7,335,123.417,41.212,167.866,334.398,505.8971256,,,,,,,
8,87,125.127,66.317,169.583,86.367,130.6611195,,,,,,,
9,108,120.969,61.333,186.4,108.178,163.6580938,,,,,,,
10,540,131.514,49.446,161.927,540.511,817.7170953,,,,,,,
11,65,101.059,55.773,139.331,64.769,97.98638427,,,,,,,
12,110,117.767,39.036,154.255,109.945,166.3313162,,,,,,,
13,257,136.736,87.692,169.46,256.826,388.5416036,,,,,,,
14,485,135.427,78.606,174.116,484.917,733.6111952,,,,,,,
15,599,134.662,26.728,174.291,598.201,904.9939486,,,,,,,
16,117,107.712,32.715,150.352,117.36,177.5491679,,,,,,,
17,51,132.714,73.278,181.65,50.486,76.37821483,,,,,,,
18,831,144.408,58.4,182.689,830.451,1256.355522,,,,,,,
19,156,141.832,67.667,175.708,156.351,236.5370651,,,,,,,
20,312,134.736,32.341,176.031,312.021,472.0438729,,,,,,,
21,296,144.285,51.074,177.935,295.226,446.6354009,,,,,,,
22,280,117.873,22.867,172.987,280.059,423.6898638,,,,,,,
23,286,135.133,56.653,166.641,285.446,431.8396369,,,,,,,
24,130,116.434,52.692,161.365,129.498,195.9122542,,,,,,,
25,135,143.497,47.333,179.01,134.979,204.204236,,,,,,,
26,127,124.191,41.02,173.84,126.214,190.9440242,,,,,,,
27,236,127.014,38.378,178.017,235.869,356.8366112,,,,,,,
28,76,115.661,82.142,161.91,76.493,115.7231467,,,,,,,
29,110,116.689,40.234,157.336,110.121,166.5975794,,,,,,,
30,100,133.527,56.748,169.502,100.122,151.4704992,,,,,,,
31,170,163.757,78.339,187.1,170.426,257.8305598,,,,,,,
32,264,138.273,81.584,166.045,263.934,399.2950076,,,,,,,
33,117,120.741,65.502,160.646,116.508,176.2602118,,,,,,,
34,156,155.208,81.51,184.62,155.743,235.6172466,,,,,,,
35,297,120.046,35.629,177.28,296.823,449.0514372,,,,,,,
36,392,159.476,84.874,182.106,391.6,592.4357035,,,,,,,
37,316,144.721,33.236,179.108,315.508,477.3192133,,,,,,,
38,102,124.579,73.574,165.243,102.236,154.6686838,,,,,,,
39,389,146.534,65.836,176.678,389.466,589.2072617,,,,,,,
40,181,121.844,79.311,147.988,180.865,273.623298,,,,,,,
41,363,146.193,85,179.19,362.038,547.7125567,,,,,,,
42,280,125.134,29.257,169.284,279.502,422.8472012,,,,,,,
43,263,122.71,31.232,161.758,262.755,397.5113464,,,,,,,
44,65,142.763,92.216,177.507,64.968,98.28744327,,,,,,,
45,98,128.146,74.658,169.337,97.587,147.6354009,,,,,,,
46,161,162.249,130.531,187.091,160.276,242.4750378,,,,,,,
47,179,113.764,19.492,167.221,179.388,271.3888048,,,,,,,
48,347,120.714,28.139,169.246,346.44,524.1149773,,,,,,,
49,466,138.602,53.165,176.224,465.876,704.8048411,,,,,,,
50,240,129.615,62.76,175.613,239.203,361.8804841,,,,,,,
51,116,100.819,48.842,136.089,115.657,174.9727685,,,,,,,
52,309,120.219,41.366,167.63,308.371,466.5219365,,,,,,,
53,187,133.551,67.057,175.174,186.92,282.7836611,,,,,,,
54,120,114.94,52.453,157.765,119.793,181.2299546,,,,,,,
55,349,142.254,57.362,173.321,350.108,529.6641452,,,,,,,
56,218,127.194,41.21,179.77,219.18,331.5885023,,,,,,,
57,126,130.679,69.42,174.377,125.706,190.1754917,,,,,,,
58,548,135.39,38.161,177.504,547.44,828.1996974,,,,,,,
59,96,111.579,47.774,176.659,96.765,146.3918306,,,,,,,
60,96,111.579,47.774,176.659,96.765,146.3918306,,,,,,,
61,142,137.623,88.432,201.786,142.089,214.9606657,,,,,,,
62,320,175.153,85.774,197.604,319.613,483.5295008,,,,,,,
63,230,150.097,111.127,176.4,229.995,347.9500756,,,,,,,
64,150,139.797,90.707,164.875,149.218,225.7458396,,,,,,,
65,102,136.843,75.153,164.92,101.131,152.9969743,,,,,,,
66,299,137.913,34.387,176.824,298.44,451.4977307,,,,,,,
67,302,125.522,43.748,167.823,301.446,456.0453858,,,,,,,
68,314,132.455,46.398,162.706,313.599,474.4311649,,,,,,,
69,223,108.709,41.741,174.826,222.722,336.9470499,,,,,,,
70,212,146.526,87.513,179.781,212.07,320.8320726,,,,,,,
71,358,150.328,53.897,186.37,357.382,540.6686838,,,,,,,
72,283,170.969,56.266,210.364,283.934,429.5521936,,,,,,,
73,457,162.957,89.667,200.937,457.13,691.5733737,,,,,,,
74,124,113.528,65.945,170.832,124.537,188.4069592,,,,,,,
75,408,131.526,58,168.16,408.35,617.7760968,,,,,,,
76,563,140.552,91.833,177.76,562.658,851.2223903,,,,,,,
77,418,141.916,55,167.733,417.796,632.0665658,,,,,,,
78,386,149.636,68.313,181.144,386.16,584.2057489,,,,,,,
79,300,155.511,74.667,172.849,300.155,454.0922844,,,,,,,
80,193,119.155,36.801,178.156,194.02,293.5249622,,,,,,,
81,382,136.296,42.407,183.246,381.844,577.6762481,,,,,,,
82,105,121.784,59.435,161,105.705,159.9167927,,,,,,,
83,432,151.299,96.863,184.178,431.788,653.2344932,,,,,,,
84,50,91.82,57.266,136.973,49.547,74.95763994,,,,,,,
85,398,135.714,74.717,163.795,397.899,601.9652042,,,,,,,
86,444,146.117,58.183,178.28,443.671,671.2118003,,,,,,,
87,395,163.195,68.458,201.253,395.808,598.8018154,,,,,,,
88,139,138.497,55.273,167.667,138.321,209.2602118,,,,,,,
89,279,137.376,66.769,169.61,278.531,421.3782148,,,,,,,
90,118,160.923,85.125,184.86,118.418,179.1497731,,,,,,,
91,408,138.93,69.314,189.144,407.312,616.2057489,,,,,,,
92,75,107.674,58.378,159.14,75,113.4644478,,,,,,,
93,287,130.54,64.333,158.681,287.06,434.2813918,,,,,,,
94,259,133.751,74.896,180.28,258.929,391.7231467,,,,,,,
95,530,156.357,52.333,176.579,530.408,802.4326778,,,,,,,
96,491,128.817,64.965,181.173,490.16,741.5431165,,,,,,,
97,388,163.258,86.78,189.701,387.635,586.4372163,,,,,,,
98,415,139.77,45,173.411,414.751,627.4599092,,,,,,,
99,487,150.631,23.894,202.319,486.474,735.9667171,,,,,,,
100,129,113.393,47,154.069,128.737,194.7609682,,,,,,,
