 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,11,101.44,86.938,118,10.05,0.014757558,,,,
2,15,87.86,65.926,134,14.422,0.021177462,,Picture,No Tubes,Tubes
3,24,103.183,82.618,128.667,23.345,0.034280118,,A,135,2
4,11,67.155,52.623,81,10.296,0.015118787,,B,47,0
5,32,98.094,76.79,116.365,31.406,0.046117,,C,,
6,11,82.224,55.102,99.564,10.296,0.015118787,,D,,
7,20,93.473,62.163,118.912,19.209,0.028206759,,Total,182,108
8,32,79.229,50.333,102.667,31,0.045520824,,,,
9,14,91.071,77.82,114.667,13.153,0.019314045,,Length Conversion,681.007,
10,14,89.697,71.834,116.667,13.892,0.020399203,,,,
11,26,85.365,55.676,105.401,25.239,0.037061293,,Mean Length,0.029465203,
12,25,86.25,61.412,105.72,24.597,0.036118571,,Median Length,0.024150266,
13,11,101.204,74.277,130.667,10.817,0.015883831,,Standard Deviation,0.019619659,
14,11,81.274,53.907,102.667,10,0.014684137,,,,
15,15,90.817,64.277,115.858,14.422,0.021177462,,,,
16,14,84.355,55.475,138.333,13.342,0.019591575,,,,
17,21,81.112,66.072,117,20.616,0.030272817,,,,
18,20,86.048,58.417,109.475,19.799,0.029073123,,,,
19,11,80.986,61.129,122.333,10.77,0.015814815,,,,
20,22,100.823,64.137,129.332,21.024,0.030871929,,,,
21,18,93.655,71.686,110.333,17.889,0.026268452,,,,
22,11,88.996,56.856,127.333,10.63,0.015609237,,,,
23,12,101.035,77.864,129.058,11.18,0.016416865,,,,
24,26,93.726,77.785,108,25.05,0.036783763,,,,
25,40,100.678,69.991,108.476,39.466,0.057952415,,,,
26,16,79.242,57.685,120.333,15.928,0.023388893,,,,
27,11,81.034,67.076,105,10.77,0.015814815,,,,
28,22,108.328,92.478,132.96,21.664,0.031811714,,,,
29,16,96.437,61.936,166.645,17.787,0.026118674,,,,
30,23,102.826,78.58,134,22.447,0.032961482,,,,
31,16,97.589,80.741,121.143,15.765,0.023149542,,,,
32,26,95.532,79.518,131.14,25.083,0.036832221,,,,
33,14,88.422,64.819,104.128,13,0.019089378,,,,
34,14,89.439,65.817,108,13.928,0.020452066,,,,
35,30,93.411,61.786,107.438,30.482,0.044760186,,,,
36,16,92.19,84.891,108,15.133,0.022221504,,,,
37,12,84.367,58.659,121.174,11.18,0.016416865,,,,
38,27,88.726,68.696,115.812,26.268,0.038572291,,,,
39,17,86.203,50.731,107.01,16.492,0.024217079,,,,
40,12,87.983,70.945,102.09,11.662,0.01712464,,,,
41,10,91.55,68.49,107.333,9.487,0.013930841,,,,
42,8,96.862,78.014,121.333,7.81,0.011468311,,,,
43,13,92.949,65.667,106.667,12,0.017620964,,,,
44,14,82.892,56.563,110,13.038,0.019145178,,,,
45,31,85.494,57.823,105.308,30.15,0.044272673,,,,
46,12,85.037,55.51,106,11.045,0.016218629,,,,
47,32,109.931,90.145,120.667,31.064,0.045614803,,,,
48,15,103.746,90.921,125,14.318,0.021024747,,,,
49,21,103.997,85.707,131.333,20.125,0.029551825,,,,
50,23,101.788,92.333,126.236,22.023,0.032338875,,,,
51,24,106.293,92.728,120.809,23.537,0.034562053,,,,
52,23,91.581,74.782,113.417,22.81,0.033494516,,,,
53,14,89.576,79.664,102.667,13.153,0.019314045,,,,
54,16,83.262,66.464,108.055,15.232,0.022366877,,,,
55,18,99.31,89.251,114.333,17.029,0.025005617,,,,
56,22,97.064,79.776,129.8,21.024,0.030871929,,,,
57,27,96.845,67.333,123.134,26.401,0.03876759,,,,
58,25,95.019,69.846,116.855,24.187,0.035516522,,,,
59,30,110.738,72.744,129.602,29.732,0.043658876,,,,
60,11,108.008,87.336,129,10.05,0.014757558,,,,
61,27,80.459,65.133,106.333,26.275,0.03858257,,,,
62,24,89.61,75.516,99.556,24.511,0.035992288,,,,
63,18,85.129,65.874,185.806,17.464,0.025644377,,,,
64,16,89.905,81.601,104.302,15.591,0.022894038,,,,
65,17,96.442,78.438,117,16.279,0.023904306,,,,
66,9,87.682,78.932,100,8.602,0.012631295,,,,
67,15,91.6,74.667,117.667,14,0.020557792,,,,
68,24,103.784,88.623,114.667,23.589,0.03463841,,,,
69,19,86.234,71.428,102.333,18.439,0.02707608,,,,
70,20,115.089,103.618,125.333,19.416,0.02851072,,,,
71,14,89.326,66.5,104.128,13.928,0.020452066,,,,
72,9,102.037,85,116.333,8,0.011747309,,,,
73,11,112.212,109,116,10,0.014684137,,,,
74,21,102.52,89.864,116.168,20.813,0.030562094,,,,
75,14,97.262,76,132,13,0.019089378,,,,
76,13,88.231,78.713,101.444,12.042,0.017682638,,,,
1,119,98.15,49.713,117.739,118.64,0.1742126,,,,
2,25,77.784,49.288,118.667,24.083,0.035363807,,,,
3,39,115.135,40.697,255,38.174,0.056055224,,,,
4,13,78.284,33.658,121,12.166,0.017864721,,,,
5,15,76.937,50.908,108.849,14.56,0.021380103,,,,
6,71,92.153,43.964,113.889,70.697,0.103812442,,,,
7,14,88.896,73.178,107.817,13.038,0.019145178,,,,
8,33,82.698,62.776,99.667,32.972,0.048416536,,,,
9,31,91.522,45.524,107.022,30.916,0.045397478,,,,
10,14,83.333,45.667,111.667,13,0.019089378,,,,
11,26,82.695,42.797,107,25.318,0.037177298,,,,
12,14,89.555,50.372,124.364,13.416,0.019700238,,,,
13,18,94.435,39.186,151.666,17.117,0.025134837,,,,
14,15,84.516,58.37,116.29,14.866,0.021829438,,,,
15,25,83.054,63.941,105.918,24.372,0.035788178,,,,
16,17,83.93,58.136,120,16.401,0.024083453,,,,
17,44,116.417,71.409,137.438,44.154,0.064836338,,,,
18,27,89.296,51.573,150.069,26.697,0.03920224,,,,
19,12,71.208,42.09,92.8,11.18,0.016416865,,,,
20,21,87.994,54.698,118,20.1,0.029515115,,,,
21,14,100.35,59.228,143.685,13.342,0.019591575,,,,
22,36,123.366,81.462,187.399,37.063,0.054423816,,,,
23,23,121.993,107.107,145.235,22.023,0.032338875,,,,
24,28,94.801,41.267,122.333,28.277,0.041522334,,,,
25,14,106.964,85.742,126.156,13.342,0.019591575,,,,
26,14,96.855,62.781,123.667,13,0.019089378,,,,
27,10,95.617,88.08,101.306,9.22,0.013538774,,,,
28,12,89.294,69.066,102.225,11.18,0.016416865,,,,
29,29,125.204,105.325,139.961,28.982,0.042557565,,,,
30,14,91.123,74.778,125.333,13.038,0.019145178,,,,
