 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,34,81.357,67.848,96.257,33.302,0.049728822,,,,,
2,25,80.971,52.979,102.657,24.187,0.036117681,,Picture,No Tubes,Tubes,
3,23,48.238,31.333,66.346,22.825,0.03408385,,A,23,28,*half picture
4,27,101.436,56.333,120.089,26.401,0.039423778,,B,,,
5,117,99.012,42.215,135.536,116.581,0.174086717,,C,,,
6,45,83.977,55.936,255,44.854,0.066979058,,D,,,
7,51,88.727,56.56,123.995,50.502,0.075413038,,Total,23,133,
8,48,88.737,45.289,245.428,47.56,0.071019843,,,,,
9,497,134.834,72.424,157.36,496.729,0.741749692,,Length Conversion,669.672,,
10,48,105.449,75.028,130.455,47.392,0.070768973,,,,,
11,122,143.472,96.331,255,121.099,0.180833303,,Mean Length,0.147619488,,
12,68,114.941,69.988,145.07,67.31,0.100511892,,Median Length,0.094595563,,
13,63,95.913,60.282,120.585,62.073,0.092691646,,Standard Deviation,0.176521215,,
14,14,66.43,44.292,94.257,13.928,0.020798242,,,,,
15,59,119.952,87.767,142.54,58.361,0.087148634,,,,,
16,90,100.74,51.427,131.385,89.486,0.133626611,,,,,
17,146,126.887,65.887,255,145.556,0.217354167,,,,,
18,141,134.95,91.168,154.152,140.485,0.209781804,,,,,
19,64,96.364,51,121.115,63.348,0.094595563,,,,,
20,44,99.781,55.263,120.192,43.419,0.064836218,,,,,
21,46,114.058,76.231,141.353,45.616,0.068116929,,,,,
22,92,115.004,54.886,133.594,91.69,0.136917775,,,,,
23,25,111.659,72.215,158.706,25.043,0.037395919,,,,,
24,288,138.452,40,179.832,287.783,0.429737245,,,,,
25,314,153.203,63.277,255,313.55,0.46821429,,,,,
26,38,79.611,62.129,91.997,37.543,0.056061774,,,,,
27,43,102.033,57,247.427,42.048,0.062788947,,,,,
28,137,114.437,46.627,136.686,136.941,0.204489661,,,,,
29,76,142.287,93.915,167.209,75.753,0.113119557,,,,,
30,85,126.581,87.655,156.207,84.073,0.12554355,,,,,
31,27,53.893,38.735,66.333,26.077,0.038939959,,,,,
32,66,79.971,32.854,255,65.611,0.097974829,,,,,
33,24,112.955,76.909,143.486,23.022,0.034378024,,,,,
34,65,105.648,49.964,153.303,64.795,0.096756322,,,,,
35,40,81.131,51.633,108.166,39.497,0.05897962,,,,,
36,21,56.638,35.41,80.638,20.591,0.030747889,,,,,
