 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,18,81.02,75.184,113.143,19.028,0.028287315,,,,,
2,15,73.342,51.28,94.333,14.56,0.021645118,,Picture,No Tubes,Tubes,
3,23,88.173,75.623,114.701,22.224,0.033038538,,A,225,2,*1.5 pictures
4,10,85.971,76.149,110.588,9.055,0.013461301,,B,106,1,
5,15,65.332,48.372,86.667,14.866,0.022100022,,C,,,
6,14,94.488,68.579,126.303,13.928,0.020705577,,D,,,
7,14,105.554,75.276,132.126,13,0.019325998,,Total,331,106,
8,17,101.369,83.64,124.683,16.155,0.02401627,,,,,
9,14,73.782,62.819,83.098,13.601,0.020219454,,Length Conversion,672.669,,
10,11,79.024,61.333,84.467,10,0.014866153,,,,,
11,28,115.23,58.667,143.648,29.685,0.044130174,,Mean Length,0.022768711,,
12,22,74.501,66.646,92.356,21.095,0.031360149,,Median Length,0.019325998,,
13,25,85.846,71.759,99.177,24.331,0.036170836,,Standard Deviation,0.010855314,,
14,12,91.655,58.387,118.54,11.045,0.016419666,,,,,
15,9,72.617,57.921,82.309,8.246,0.012258629,,,,,
16,11,81.309,73.686,87.905,10.77,0.016010846,,,,,
17,13,79.086,55.641,133.843,12.042,0.017901821,,,,,
18,17,60.458,47.194,80.116,16.125,0.023971671,,,,,
19,17,103.442,41.761,255,16.279,0.02420061,,,,,
20,13,66.53,35.52,99.954,12.083,0.017962772,,,,,
21,19,53.439,31.73,64.901,20.09,0.029866101,,,,,
22,18,62.193,42.368,77.909,17.72,0.026342822,,,,,
23,19,78.077,66.828,95.103,18.974,0.028207038,,,,,
24,20,99.922,88.317,116.087,19.313,0.028711001,,,,,
25,9,67.414,23.987,111.788,8.062,0.011985092,,,,,
26,17,83.133,51.807,100.333,16.279,0.02420061,,,,,
27,25,60.987,37.859,82.333,24.256,0.03605934,,,,,
28,12,67.653,24.139,116.957,11.18,0.016620359,,,,,
29,9,59.735,46.187,87.333,8.062,0.011985092,,,,,
30,14,85.497,59.812,103.664,13.601,0.020219454,,,,,
31,10,80.618,64.059,91.719,9.434,0.014024728,,,,,
32,17,82.982,65.851,103.189,16.492,0.024517259,,,,,
33,13,85.246,42.214,108.661,12.369,0.018387944,,,,,
34,20,94.847,74.491,118.333,19.464,0.028935479,,,,,
35,46,85.257,44.018,112.667,45.328,0.067385296,,,,,
36,19,119.698,96.62,147.134,18.994,0.02823677,,,,,
37,24,68.712,56.928,82.1,23.841,0.035442394,,,,,
38,17,81.143,45.707,119.667,16.77,0.024930538,,,,,
39,9,67.882,55.937,79,8.246,0.012258629,,,,,
40,30,101.476,72.562,118.258,29.881,0.044421551,,,,,
41,12,84.909,43.073,104.424,11.662,0.017336907,,,,,
42,33,83.339,64.643,102.113,32.78,0.048731248,,,,,
43,32,100.019,71.773,150.716,31.685,0.047103404,,,,,
44,13,75.13,61.008,80.663,12.806,0.019037595,,,,,
45,13,70.789,42.567,97.492,12.166,0.018086161,,,,,
46,24,82.83,45.287,115.975,23.829,0.035424555,,,,,
47,10,88.367,64.849,119.333,9.22,0.013706593,,,,,
48,18,88.388,58.621,98.753,17.205,0.025577216,,,,,
49,13,82.87,69.734,100.333,12.207,0.018147112,,,,,
50,13,88.301,70.74,113.333,12.166,0.018086161,,,,,
51,10,55.856,23.073,115.333,9.22,0.013706593,,,,,
52,14,74.214,39.333,130.667,13,0.019325998,,,,,
53,18,83.79,56.413,122.667,17.502,0.02601874,,,,,
54,13,89.822,76.554,127,12.806,0.019037595,,,,,
55,14,104.757,63.281,154.208,13.454,0.020000922,,,,,
56,11,83,46.667,121.667,10,0.014866153,,,,,
57,9,101.929,80.367,135,8.602,0.012787864,,,,,
58,14,123.061,105.36,139.333,13.342,0.019834421,,,,,
59,17,89.423,59.09,145.786,16.125,0.023971671,,,,,
60,12,96.204,60.712,123.703,11.402,0.016950387,,,,,
61,9,88.978,75.463,105.333,8.944,0.013296287,,,,,
62,29,96.43,76.413,109.717,29.314,0.04357864,,,,,
63,29,98.04,81.186,134,28.876,0.042927502,,,,,
64,22,77.894,58.74,95.085,21.261,0.031606927,,,,,
65,12,87.349,70.595,108.774,11.045,0.016419666,,,,,
66,11,77.407,57.24,92.333,10.63,0.01580272,,,,,
67,12,52.411,35.055,70.937,11.402,0.016950387,,,,,
68,11,58.866,45.024,68.667,10.63,0.01580272,,,,,
69,14,73.347,56.289,88.749,13.038,0.01938249,,,,,
70,12,89.593,63.67,114.667,11.662,0.017336907,,,,,
71,8,80.608,68.409,103.801,7.071,0.010511857,,,,,
72,11,80.021,56.54,101.104,10.708,0.015918676,,,,,
73,13,59.678,34.259,87.333,12.166,0.018086161,,,,,
74,9,78.267,62.761,102.667,8.944,0.013296287,,,,,
1,11,85.612,62.042,98.266,10.198,0.015160502,,,,,
2,14,85.246,45.132,152.453,13.944,0.020729363,,,,,
3,17,84.206,78.66,91.667,16.218,0.024109926,,,,,
4,16,68.242,37.659,95.47,15.811,0.023504874,,,,,
5,23,84.85,67.494,104.333,22.238,0.03305935,,,,,
6,10,86.299,48.617,118.333,9.22,0.013706593,,,,,
7,9,80.481,43.667,115.667,8,0.011892922,,,,,
8,14,65.388,30.499,95.139,13.928,0.020705577,,,,,
9,7,80.903,54.892,109.667,6.083,0.009043081,,,,,
10,22,88.681,64.333,127.843,21.809,0.032421592,,,,,
11,15,91.366,56.911,108.775,14.866,0.022100022,,,,,
12,30,88.103,45.424,115.81,29.849,0.044373979,,,,,
13,14,66.823,46.004,86,13.038,0.01938249,,,,,
14,9,55.371,27.395,96.051,8.062,0.011985092,,,,,
15,9,58.522,37.518,84.333,8.944,0.013296287,,,,,
16,11,64.971,43.995,87.22,10.63,0.01580272,,,,,
17,9,69.593,43.252,102.667,8.246,0.012258629,,,,,
18,24,65.256,40.665,96.505,23.087,0.034321486,,,,,
19,12,87.199,61.916,112,11.18,0.016620359,,,,,
20,12,90.71,72.32,111.667,11.402,0.016950387,,,,,
21,14,83.091,56.782,122.667,13.038,0.01938249,,,,,
22,10,78.962,57.36,100.667,9.849,0.014641674,,,,,
23,10,49.366,24.12,80,9.22,0.013706593,,,,,
24,11,72.602,52.123,97.265,10.198,0.015160502,,,,,
25,11,78.896,58.659,100.72,10.05,0.014940483,,,,,
26,10,54.319,38.051,69.333,9.899,0.014716004,,,,,
27,42,79.055,63.134,99.667,41.717,0.062017129,,,,,
28,11,86.394,79.946,99.846,10.296,0.015306191,,,,,
29,23,73.104,51.42,97.893,23.164,0.034435956,,,,,
