 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,133,134.402,75.333,168.369,132.989,0.202873723,,,,
2,49,137.019,63.423,167.511,48.104,0.073382291,,Picture,No Tubes,Tubes
3,195,115.721,63.114,141.217,195.062,0.297565619,,A,91,27
4,108,116.342,54.672,153.221,107.58,0.164112484,,B,,
5,287,146.404,85.561,162.64,286.479,0.437021567,,C,,
6,527,144.676,82.171,179.464,526.856,0.803714879,,D,,
7,148,115.894,73.702,152.739,147.182,0.224525038,,Total,91,212
8,275,143.186,88.801,170.074,274.248,0.418363269,,,,
9,129,165.298,115.667,181.842,128.309,0.195734418,,Length Conversion,655.526,
10,105,135.987,95.046,169.832,104.687,0.159699234,,,,
11,349,142.073,80.992,171.514,348.469,0.531586848,,Mean Length,0.153210036,
12,29,112.568,71.163,141.502,28.16,0.042957869,,Median Length,0.073197707,
13,85,91.831,47.883,127.357,84.375,0.12871343,,Standard Deviation,0.175054849,
14,31,81.799,66.667,115.185,30.026,0.045804438,,,,
15,129,140.544,64.221,169.884,128.475,0.19598765,,,,
16,274,117.87,43.395,150.193,273.518,0.417249659,,,,
17,48,130.974,56.281,168.833,47.595,0.072605816,,,,
18,26,104.954,67.04,132.637,25.942,0.039574327,,,,
19,26,62.115,38.667,102.333,25,0.038137313,,,,
20,24,103.855,69.333,133.13,23.195,0.035383799,,,,
21,49,100.754,66.044,133.767,48.578,0.074105375,,,,
22,15,116.925,110.593,124.477,14.142,0.021573515,,,,
23,15,90.835,77.206,124.794,14.56,0.022211171,,,,
24,21,133.225,70.215,175.26,20.396,0.031113945,,,,
25,222,132.421,74.255,162.592,221.683,0.338175755,,,,
26,264,137.472,62.546,255,264.658,0.403733795,,,,
27,66,104.352,65.574,133.238,65.526,0.099959422,,,,
28,44,99.651,55.899,126.694,43.012,0.065614484,,,,
29,308,153.069,65,255,307.264,0.468728929,,,,
30,15,93.316,80.152,104,14.036,0.021411813,,,,
31,16,82.828,63.417,119.347,15.297,0.023335459,,,,
32,36,112.49,52.407,141.873,35.355,0.053933788,,,,
33,57,75.453,61.383,92.787,56.275,0.085847091,,,,
34,42,86.431,53.608,119.867,42.112,0.06424154,,,,
35,28,111.384,68.869,140.533,27.166,0.041441529,,,,
36,53,143.893,78.667,174.733,52.408,0.079948011,,,,
37,15,81.586,67.25,109.245,14.866,0.022677972,,,,
38,396,160.77,76.93,255,395.838,0.603847902,,,,
39,175,138.227,89.063,178.15,174.268,0.265844528,,,,
40,367,120.098,64.219,255,366.651,0.559323353,,,,
41,27,84.2,59.823,119.292,26.095,0.039807727,,,,
42,14,75.895,64.924,91.383,13.454,0.020523976,,,,
43,38,87.248,72.554,127.378,37.767,0.057613275,,,,
44,62,87.196,52.882,113.931,61.968,0.09453172,,,,
45,55,133.237,62.799,255,54.228,0.082724408,,,,
46,34,80.347,59.24,104.667,33.095,0.050486174,,,,
47,197,135.403,59.333,161.325,196.647,0.299983525,,,,
48,30,71.455,53.533,83.333,29.206,0.044553534,,,,
49,90,101.759,65.426,123.463,89.414,0.136400387,,,,
50,28,91.731,63.333,125.423,27.166,0.041441529,,,,
51,10,69.374,56.597,83.667,9.22,0.014065041,,,,
52,34,101.478,45.314,131.833,34.561,0.052722546,,,,
53,585,144.459,83.667,181.496,584.873,0.892219378,,,,
54,195,135.435,102.533,154.981,194.586,0.296839485,,,,
55,284,135.159,73.984,163.451,283.238,0.432077446,,,,
56,52,125.895,54.77,153.828,51.352,0.078337091,,,,
57,82,128.618,78.752,159.972,81.954,0.125020213,,,,
58,84,130.092,89.999,255,83.891,0.127975092,,,,
59,287,151.28,78.104,255,286.258,0.436684434,,,,
60,41,133.124,79,155.467,41.014,0.06256655,,,,
61,305,157.974,57.667,185.797,304.158,0.463990749,,,,
62,15,112.915,81.221,201.911,14.866,0.022677972,,,,
63,39,105.209,45.299,130.788,39,0.059494208,,,,
64,11,69.702,56.961,79.67,10.77,0.016429554,,,,
65,19,89.62,70.286,103.52,18.439,0.028128556,,,,
66,44,103.038,87.408,118.465,43.981,0.067092686,,,,
67,125,129.75,78.305,158.613,124.468,0.189875001,,,,
68,339,136.474,74.443,255,340.092,0.518807797,,,,
69,38,114.851,69.099,142.339,37.802,0.057666668,,,,
70,63,124.586,50.667,154.417,62.035,0.094633928,,,,
71,363,140.75,59.276,255,363.106,0.553915482,,,,
72,29,82.633,64.875,101.984,28.636,0.043684003,,,,
73,43,116.425,64.558,148.909,42.464,0.064778514,,,,
74,41,119.992,63.4,152.524,41.02,0.062575703,,,,
75,25,122.57,71.401,153.618,24.664,0.037624747,,,,
76,65,155.467,86.041,181,64.461,0.098334772,,,,
77,27,122.589,100.333,139.146,26.268,0.040071637,,,,
78,13,59.73,42.758,75,12.53,0.019114421,,,,
79,16,69.006,40.532,137.412,15.297,0.023335459,,,,
80,144,112.372,59.641,136.416,143.896,0.21951227,,,,
81,72,123.289,39.458,143.884,71.969,0.10978817,,,,
82,48,98.939,51.769,115.051,47.454,0.072390721,,,,
83,46,112.577,51.006,152.183,45.943,0.070085702,,,,
84,49,85.855,37.411,139.708,48.902,0.074599634,,,,
85,13,65.079,47.168,85.859,12.806,0.019535457,,,,
86,204,142.311,73.878,255,203.783,0.310869439,,,,
87,19,90.102,42.858,157.032,18.685,0.028503827,,,,
88,46,115.21,61,147.307,46.189,0.070460973,,,,
89,23,70.62,51.501,94.271,22.627,0.034517319,,,,
90,61,94.361,61.826,135.105,60.829,0.092794184,,,,
91,9,83.499,63.558,104.333,8.602,0.013122287,,,,
92,304,127.791,60.182,165.143,304.433,0.46441026,,,,
93,9,67.188,51.57,91.697,8.062,0.012298521,,,,
94,129,133.833,66,156.767,129.111,0.196957863,,,,
95,27,112.725,64.667,144.92,26.907,0.041046427,,,,
96,407,161.863,79.909,184.743,406.866,0.620671034,,,,
97,354,142.397,51.372,177.83,353.519,0.539290585,,,,
98,45,131.157,64.712,156.478,44.204,0.067432871,,,,
99,73,95.853,60.385,119.275,72.244,0.110207681,,,,
100,12,72.147,49.647,93.891,11.402,0.017393666,,,,
101,34,99.676,48.106,138.534,33.106,0.050502955,,,,
102,17,90.292,60.516,114.013,16.279,0.024833492,,,,
103,33,76.466,45.958,109.423,32.177,0.049085772,,,,
104,62,134.348,71.333,166.049,61.935,0.094481378,,,,
105,43,110.634,57.981,255,42.024,0.064107297,,,,
106,43,115.316,74.551,166.611,42.202,0.064378835,,,,
107,176,107.815,80.827,126.098,175.71,0.268044288,,,,
