 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,16,95.591,76.013,109.707,15,0.021837399,,,,
2,11,97.774,87.552,116.667,10.817,0.015747676,,Picture,No Tubes,Tubes
3,17,77.845,43.457,115.77,16.201,0.023585846,,A,453,1
4,11,96.243,65.882,121,10.44,0.01519883,,B,545,0
5,13,88.768,72.135,117,13.05,0.018998537,,C,,
6,15,62.722,47.945,100,14.866,0.021642318,,D,,
7,12,85.454,77.933,108,11.314,0.016471222,,Total,998,131
8,12,87.488,72.24,107.791,11.18,0.016276141,,,,
9,16,95.043,81.77,115.333,15.811,0.023018074,,Length Conversion,686.895,
10,14,96.002,75.476,124.333,13.038,0.018981067,,,,
11,12,87.625,40.535,120.523,11.662,0.01697785,,Mean Length,0.019150044,
12,11,81.264,53.719,106.667,10.63,0.015475437,,Median Length,0.01700915,
13,22,72.462,47.631,90.023,22.298,0.032462021,,Standard Deviation,0.007046069,
14,13,108.017,69.145,139.329,12.042,0.017531064,,,,
15,9,72.657,40.481,102.325,8.544,0.012438582,,,,
16,14,78.172,53.359,119,13,0.018925746,,,,
17,12,92.867,77.473,113,11.402,0.016599335,,,,
18,16,87.902,63.567,109.904,15.297,0.022269779,,,,
19,14,97.29,80.383,111,13,0.018925746,,,,
20,18,116.433,100.794,123.877,17.263,0.025131934,,,,
21,8,69.375,37,108.333,7,0.010190786,,,,
22,14,93.848,55,132,13,0.018925746,,,,
23,11,75.792,39.693,108,10,0.014558266,,,,
24,8,62.689,36.349,106,7.81,0.011370006,,,,
25,18,96.3,76.961,119,17.805,0.025920992,,,,
26,15,93.173,70.477,124,14.866,0.021642318,,,,
27,11,88.938,56.359,105,10.198,0.014846519,,,,
28,9,89.776,60.9,120.333,8.602,0.01252302,,,,
29,22,111.353,67.066,139.455,21.19,0.030848965,,,,
30,10,81.905,51.294,109,9.22,0.013422721,,,,
31,10,77.046,34.479,119.179,9.487,0.013811427,,,,
32,13,87.267,47.449,106.604,12.53,0.018241507,,,,
33,15,87.37,67.217,132.807,14.422,0.020995931,,,,
34,11,75.727,45,104,10,0.014558266,,,,
35,8,65.144,38.911,92.333,7.28,0.010598418,,,,
36,11,72.279,44.239,95.222,10.296,0.01498919,,,,
37,14,84.761,56.223,108.667,13.038,0.018981067,,,,
38,18,80.241,48,105.667,17,0.024749052,,,,
39,24,92.345,46.24,116.672,23.087,0.033610668,,,,
40,10,77.526,42.627,114.667,9.434,0.013734268,,,,
41,13,74.784,42.778,107.333,12.083,0.017590753,,,,
42,15,109.407,88.791,135.59,14.036,0.020433982,,,,
43,14,87.087,61.816,117.333,13.038,0.018981067,,,,
44,14,93.051,71.698,110.333,13.038,0.018981067,,,,
45,12,81.894,54.372,98.569,11.314,0.016471222,,,,
46,15,74.142,50.751,102,14.765,0.021495279,,,,
47,10,89.637,67.446,102.961,9.22,0.013422721,,,,
48,17,93.783,57.333,135.333,16.81,0.024472445,,,,
49,24,111.877,70.08,140.333,24.314,0.035396968,,,,
50,10,95.086,74.441,114.599,9.055,0.01318251,,,,
51,11,102.005,66.075,141.333,10.63,0.015475437,,,,
52,10,146.133,64.011,255,9.487,0.013811427,,,,
53,14,106.876,70.333,148.667,13,0.018925746,,,,
54,14,83.853,55.554,116.333,13.038,0.018981067,,,,
55,12,96.776,83.114,127,11.045,0.016079605,,,,
56,11,103.557,64.409,149,10.77,0.015679252,,,,
57,9,76.277,70.863,90.667,8.485,0.012352689,,,,
58,10,88.749,62.269,115.585,9.487,0.013811427,,,,
59,11,77.807,49.333,116.333,10,0.014558266,,,,
60,11,81.32,58.569,103.946,10.44,0.01519883,,,,
61,7,91.826,49.951,122.667,6.708,0.009765685,,,,
62,18,72.189,50.407,113,17.692,0.025756484,,,,
1,9,101.23,79.404,136.497,8.944,0.013020913,,,,
2,12,104.718,85.155,135.333,11.18,0.016276141,,,,
3,17,100.539,56.948,133.508,16.553,0.024098297,,,,
4,10,106.967,90.667,124.667,9,0.013102439,,,,
5,12,87.279,74.958,112.333,11.045,0.016079605,,,,
6,13,88.399,67.563,108.793,12.207,0.017771275,,,,
7,12,103.117,82.253,126.808,11.662,0.01697785,,,,
8,11,76.029,60.694,86.302,10.817,0.015747676,,,,
9,10,54.771,40.717,75.689,9.487,0.013811427,,,,
10,11,78.696,67.04,102.333,10,0.014558266,,,,
11,16,88.578,50.941,105.046,15.811,0.023018074,,,,
12,14,110.647,87.347,135.704,13.601,0.019800697,,,,
13,18,76.461,57.623,102,17.962,0.026149557,,,,
14,12,64.432,28.921,116,11.402,0.016599335,,,,
15,12,86.14,49.662,116.667,11.045,0.016079605,,,,
16,17,76.161,64.287,92.333,16.763,0.024404021,,,,
17,13,71.502,67.732,82.844,12.369,0.018007119,,,,
18,10,75.973,57.995,98.667,9.22,0.013422721,,,,
19,10,68.105,31.734,119,9.22,0.013422721,,,,
20,11,101.385,57.694,128.333,10.296,0.01498919,,,,
21,12,93.358,58.722,122.476,11.18,0.016276141,,,,
22,17,94.437,86.881,108.364,16.763,0.024404021,,,,
23,11,74.343,46.973,92.845,10.198,0.014846519,,,,
24,12,80.05,56.897,103.06,11.705,0.01704045,,,,
25,12,79.879,35.917,119.671,11.705,0.01704045,,,,
26,13,92.112,72.333,120.524,12.649,0.01841475,,,,
27,12,90.625,67.167,118.654,11.18,0.016276141,,,,
28,20,76.659,43.979,129.004,19.427,0.028282343,,,,
29,12,61.602,30.5,126.333,11.402,0.016599335,,,,
30,11,99.004,76.756,126.256,10.05,0.014631057,,,,
31,12,68.092,40.981,106.333,11.062,0.016104354,,,,
32,10,82.6,48.333,109.333,9,0.013102439,,,,
33,11,82.913,41.333,116.667,10,0.014558266,,,,
34,15,72.601,53.641,89.974,14.318,0.020844525,,,,
35,15,125.832,115.034,145.205,14.866,0.021642318,,,,
36,16,123.225,104.236,145.75,15.62,0.022740011,,,,
37,22,128.742,107.489,142.127,21.257,0.030946506,,,,
38,35,102.364,48.874,147.985,34.578,0.050339572,,,,
39,11,84.238,38.354,131,10.198,0.014846519,,,,
40,14,105.709,79.673,144.796,13.601,0.019800697,,,,
41,15,81.019,56.686,118.196,14.866,0.021642318,,,,
42,23,83.518,46.213,112,22.448,0.032680395,,,,
43,12,83.562,49.615,117,11.045,0.016079605,,,,
44,10,82.447,55.134,117.667,9.22,0.013422721,,,,
45,12,102.886,77.737,119,11.18,0.016276141,,,,
46,15,89.865,71.111,111.934,14.56,0.021196835,,,,
47,22,116.68,101.938,137.851,21.633,0.031493896,,,,
48,15,96.257,64.8,117.667,14.142,0.0205883,,,,
49,29,112.093,62,151.868,28.464,0.041438648,,,,
50,11,118.86,102.675,143,10.817,0.015747676,,,,
51,10,94.697,58.24,127.874,9.899,0.014411227,,,,
52,19,69.503,41.392,123.579,18.682,0.027197752,,,,
53,11,69.744,49.13,92.667,10.44,0.01519883,,,,
54,16,87.521,55.333,116.333,15,0.021837399,,,,
55,12,104.056,92.947,117.333,11.402,0.016599335,,,,
56,17,117.772,86.755,149.541,16.125,0.023475204,,,,
57,13,102.978,65.685,147.667,12.042,0.017531064,,,,
58,18,103.294,76.86,147.333,17.029,0.024791271,,,,
59,14,89.355,66.653,113.297,13.153,0.019148487,,,,
60,17,90.101,56.082,121.667,16.279,0.023699401,,,,
61,8,58.992,37.478,86,7.616,0.011087575,,,,
62,13,85.205,58.398,113.667,12.806,0.018643315,,,,
63,37,72.983,22.396,125.275,36.917,0.05374475,,,,
64,8,94.583,31,128,7,0.010190786,,,,
65,10,116.274,88.851,136.761,9.487,0.013811427,,,,
66,21,73.265,48.521,119.523,20.568,0.029943441,,,,
67,8,87.806,74.88,97.375,7.071,0.01029415,,,,
68,10,79.718,31.421,123.922,9.22,0.013422721,,,,
