 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,27,88.622,52.08,115.172,26.083,0.03892195,,,,
2,12,79.971,46.234,126.333,11.705,0.017466604,,Picture,No Tubes,Tubes
3,15,69.1,35.689,108.333,14.866,0.022183557,,A,127,0
4,12,108.028,89.667,128.667,11,0.016414579,,B,165,0
5,15,99.984,73.41,135.667,14.56,0.021726933,,C,144,0
6,8,89.739,65.021,119.667,7.211,0.010760502,,D,214,0
7,14,114.555,102.342,140,13.416,0.020019817,,Total,650,30
8,9,77.02,56.515,105.333,8.944,0.013346545,,,,
9,16,87.25,40.46,116.942,15.524,0.023165447,,Length Conversion,670.136,
1,14,74.019,48,112.333,13,0.019399047,,,,
2,28,111.403,69.52,142.944,27.203,0.040593253,,Mean Length,0.024291189,
3,11,104.967,82.914,120.316,10.198,0.015217807,,Median Length,0.022185795,
4,18,85.119,53.798,118.373,17.889,0.026694581,,Standard Deviation,0.010216214,
5,19,104.355,84.221,131.933,19.007,0.028362899,,,,
6,28,95.983,60.929,122.333,28.421,0.042410794,,,,
7,16,78.063,37,113.667,16,0.023875751,,,,
8,39,105.085,81.285,125.345,38.471,0.05740775,,,,
9,9,95.815,68,122.667,8,0.011937875,,,,
10,15,96.653,76.94,121,14.142,0.021103179,,,,
11,15,82.766,52.604,102.491,14.866,0.022183557,,,,
12,27,86.14,39.323,118.369,26.24,0.039156231,,,,
13,19,102.645,80.973,115.26,18.028,0.026902002,,,,
1,17,76.451,42.057,112.333,16.245,0.024241348,,,,
2,15,77.01,58.607,97.667,14.213,0.021209128,,,,
1,15,87.69,68.632,108,14.869,0.022188033,,,,
2,16,89.537,57.111,114.253,15.556,0.023213199,,,,
3,11,102.522,84.539,120.967,10.63,0.015862452,,,,
4,11,73.815,47.642,117.333,10.77,0.016071365,,,,
5,16,99.649,70.709,116.975,15.264,0.022777466,,,,
6,17,77.221,61.177,110.765,16.031,0.02392201,,,,
