 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,117,99.902,46.608,124.583,116.137,0.17560994,,,,,
2,98,103.944,80.578,124.416,97.148,0.146896807,,Picture,No Tubes,Tubes,
3,37,105.904,61.333,123.124,36.882,0.055769013,,A,38,14,* half picture
4,37,98.084,64.667,116.253,36.262,0.054831515,,B,,,
5,125,106.955,62.504,131.92,124.224,0.187838236,,C,,,
6,106,100.141,68.897,119.264,105.509,0.159539416,,D,,,
7,155,116.139,93.489,131.771,154.482,0.233591145,,Total,38,141,
8,125,107.807,69.541,121.563,124.534,0.188306985,,,,,
9,98,98.054,66.453,120.761,97.331,0.14717352,,Length Conversion,661.335,,
10,118,94.159,64.142,120.878,117.918,0.178302978,,,,,
11,142,96.16,56.905,118.981,141.886,0.214544822,,Mean Length,0.140299117,,
12,27,81.716,57.689,99.993,26.249,0.039690928,,Median Length,0.093020935,,
13,62,108.343,54.355,139.485,61.518,0.093020935,,Standard Deviation,0.169822756,,
14,40,85.367,75.689,97.817,39.294,0.059416181,,,,,
15,20,86.241,63.798,107.926,19.647,0.02970809,,,,,
16,93,106.277,76.333,151.156,93.354,0.141159927,,,,,
17,16,88.3,73.67,101.026,15.652,0.023667279,,,,,
18,40,89.257,70.608,108.746,39.245,0.059342088,,,,,
19,184,111.722,70.214,133.511,183.639,0.27767924,,,,,
20,39,98.959,65.96,116.891,38.224,0.057798241,,,,,
21,54,85.427,61.697,146,53.484,0.08087278,,,,,
22,79,100.298,69,132.99,78.508,0.118711394,,,,,
23,57,92.15,67.225,107.265,56.78,0.085856638,,,,,
24,62,96.35,62.333,116.677,62.099,0.093899461,,,,,
25,60,107.143,74.98,126.481,59.994,0.090716505,,,,,
26,14,73.724,60.72,83.105,13.153,0.019888559,,,,,
27,466,123.457,65.133,255,466.087,0.704766873,,,,,
28,142,97.929,50.789,126.725,141.631,0.214159239,,,,,
29,100,112.141,65.36,124.407,99.446,0.150371597,,,,,
30,124,89.803,53.912,125.437,123.316,0.186465256,,,,,
31,44,96.956,58.032,255,43.055,0.065103163,,,,,
32,156,102.073,64.258,127.72,155.418,0.235006464,,,,,
33,161,102.346,85.596,121.333,160.799,0.243143036,,,,,
34,47,86.462,62,104.041,46.362,0.070103654,,,,,
35,96,95.481,65.771,109.587,95.379,0.144221915,,,,,
36,106,102.761,93.816,109.954,105.8,0.159979436,,,,,
37,104,107.805,74.291,135.324,103.339,0.156258175,,,,,
38,37,96.769,84.031,105.416,37.212,0.056268003,,,,,
39,27,68.409,62.115,80.739,26.866,0.04062389,,,,,
40,52,90.025,72.631,114.877,51.682,0.078147989,,,,,
41,59,88.673,67.533,111.971,58.344,0.088221552,,,,,
42,16,73.462,57.333,89.802,15.524,0.023473731,,,,,
43,17,79.713,67.121,115.545,16.125,0.024382499,,,,,
44,23,82.594,70.333,99.06,22.472,0.033979753,,,,,
45,26,77.699,61.297,88.984,25.08,0.037923292,,,,,
46,171,110.714,49.15,255,170.322,0.257542698,,,,,
47,96,97.568,59.141,118.148,95.911,0.145026348,,,,,
48,213,109.939,58.627,133.339,212.854,0.321855036,,,,,
49,92,103.404,75.051,120.023,91.445,0.138273341,,,,,
50,395,128.923,67.846,163.843,395.036,0.597331156,,,,,
51,28,71.753,56.333,85.7,27.088,0.040959574,,,,,
52,39,84.761,73.667,110.764,38.87,0.058775053,,,,,
53,31,82.525,62.333,102.117,30.821,0.046604217,,,,,
54,38,89.764,65.276,127.218,39.436,0.059630898,,,,,
