 ,Area,Mean,Min,Max,Length,length (mm),,,,
1,17,101.561,70.872,130.365,16.127,0.023771936,,,,
2,15,96.941,61.842,126.774,14.036,0.020689706,,Picture,No Tubes,Tubes
3,14,94.091,72.943,110.957,13.601,0.020048496,,A,263,0
4,11,108.606,90.567,129.396,10.63,0.015669106,,B,529,0
5,18,100.709,86.961,113.315,17.889,0.026369204,,C,535,0
6,10,105.387,99.721,112.443,9.487,0.013984272,,D,,0
7,20,96.789,78.316,128.667,19.184,0.028278093,,Total,1327,107
8,11,92.337,80.665,98.26,10.756,0.015854836,,,,
9,12,85.526,48.127,125.333,11.402,0.01680707,,Length Conversion,678.405,
10,12,98.629,74.237,118.496,11.18,0.016479831,,,,
11,26,91.741,62.158,123.225,26.127,0.038512393,,Mean Length,0.021629885,
12,19,96.353,53.44,145.333,18.868,0.027812295,,Median Length,0.018761654,
13,14,89.457,77.055,110,13,0.019162595,,Standard Deviation,0.009473587,
14,15,145.599,45.532,255,14.318,0.021105387,,,,
15,15,112.337,93.948,123.552,14.213,0.020950612,,,,
16,9,86.379,59.465,116.333,8.062,0.011883757,,,,
17,14,95.685,76.583,119.333,13.454,0.019831811,,,,
18,11,49.579,31.263,85.333,10.296,0.015176775,,,,
19,17,89.833,70.858,115.872,16.492,0.024309962,,,,
20,13,88.94,73.336,119.333,12.207,0.017993676,,,,
21,11,94.877,46.552,132.729,10.817,0.015944753,,,,
22,9,84.193,49.238,120.667,8.544,0.012594247,,,,
23,30,91.1,63.133,121.935,29.803,0.043930985,,,,
24,11,89.123,57.704,117.612,10.77,0.015875473,,,,
25,27,111.28,85.147,130.13,26.263,0.038712863,,,,
26,11,83.656,60.143,120,10.63,0.015669106,,,,
27,20,102.548,84.324,117.657,19.799,0.029184632,,,,
28,12,88.889,67.667,108,11,0.016214503,,,,
29,25,92.141,67.38,110.229,24.869,0.036658043,,,,
30,19,101.502,88.134,118.842,18.538,0.02732586,,,,
31,17,92.935,75.269,120.667,16.279,0.023995991,,,,
32,11,92.606,73.84,115.333,10,0.014740457,,,,
33,9,70.693,45.867,104.667,8.602,0.012679741,,,,
34,25,121.097,100.31,132.593,24.709,0.036422196,,,,
35,25,118.739,97.862,141.885,24.705,0.0364163,,,,
36,16,114.169,93.72,140.249,15.402,0.022703252,,,,
37,9,121.213,102.47,136.911,8.602,0.012679741,,,,
38,10,83.569,61.247,117.667,9.487,0.013984272,,,,
39,20,98.372,81.333,127,19.246,0.028369484,,,,
40,10,124.844,115.705,133.8,9.22,0.013590702,,,,
41,15,121.93,109.478,131.698,14.765,0.021764285,,,,
42,18,101.147,70,120.667,17.246,0.025421393,,,,
43,16,118.394,109.386,123.713,15.62,0.023024594,,,,
44,12,98.248,73.077,118.881,11.705,0.017253705,,,,
45,33,117.629,78.944,143.338,32.14,0.04737583,,,,
46,12,110.472,100.01,127.56,11.705,0.017253705,,,,
47,11,108.775,79.471,126.802,10.198,0.015032318,,,,
48,11,127.378,97.852,148.045,10.296,0.015176775,,,,
49,28,129.168,91.089,153.352,27.563,0.040629123,,,,
50,14,99.53,74.439,113.766,13.701,0.020195901,,,,
51,20,119.176,74.582,159.894,19.724,0.029074078,,,,
52,10,122.531,107.181,133.362,9.055,0.013347484,,,,
53,11,95.618,70.982,120.667,10.77,0.015875473,,,,
54,9,103.927,90.939,117.667,8.062,0.011883757,,,,
55,10,76.916,45.874,110.667,9.487,0.013984272,,,,
56,16,116.518,80.92,149.972,15.811,0.023306137,,,,
57,27,87.794,52.024,109.582,26.593,0.039199298,,,,
58,20,101.707,94.048,111.053,19.799,0.029184632,,,,
59,16,97.973,88.303,114.45,15.62,0.023024594,,,,
60,12,80.936,65.441,102.756,11.045,0.016280835,,,,
61,15,105.668,72.106,135.438,14.318,0.021105387,,,,
62,17,120.314,109.43,129.343,16.125,0.023768988,,,,
63,12,89.37,66.927,109.333,11.18,0.016479831,,,,
64,10,91.484,62.142,126.333,9.849,0.014517876,,,,
65,19,124.4,105.397,141.017,18.974,0.027968544,,,,
66,17,87.439,76.271,113,16.401,0.024175824,,,,
67,12,68.188,47.135,112.667,11.705,0.017253705,,,,
68,9,86.841,50.306,127,8.944,0.013183865,,,,
69,26,104.795,80.905,126.335,25.612,0.037753259,,,,
70,20,105.597,95.366,116.202,19.282,0.02842255,,,,
71,12,99.136,88.694,108.034,11.402,0.01680707,,,,
72,11,87.068,55.633,116.469,10.296,0.015176775,,,,
73,9,108.769,96.947,121.029,8.944,0.013183865,,,,
74,13,92.928,56.025,120,12.728,0.018761654,,,,
75,10,105.308,84.69,121.001,9.849,0.014517876,,,,
76,10,87.129,54.132,119.333,9.434,0.013906148,,,,
77,15,111.147,94.559,133.13,14.866,0.021913164,,,,
78,10,96.036,65.146,132.333,9.487,0.013984272,,,,
79,13,96.895,56.023,127.409,14.676,0.021633095,,,,
80,11,83.761,55.868,124.667,10.77,0.015875473,,,,
81,11,83.064,55.222,110.455,10.05,0.01481416,,,,
82,50,102.535,73.139,129.865,49.862,0.073498869,,,,
83,13,95.879,52.485,129.205,12.53,0.018469793,,,,
84,10,99.2,73.131,120.667,9.434,0.013906148,,,,
85,26,115.134,89.495,141.743,25.15,0.03707225,,,,
86,12,88.961,45.848,122.667,11.045,0.016280835,,,,
87,12,78.664,44.956,117.333,11.18,0.016479831,,,,
88,14,76.474,48.906,107,13.038,0.019218608,,,,
89,16,113.593,94.694,129.309,15.811,0.023306137,,,,
90,13,91.516,53.762,117.333,12.53,0.018469793,,,,
91,12,108.97,97.857,117.804,11.402,0.01680707,,,,
92,13,86.662,44.648,120.668,12.728,0.018761654,,,,
93,11,85.051,54.918,115.512,10.817,0.015944753,,,,
94,14,97.676,69.299,124.667,13.342,0.019666718,,,,
95,15,101.254,62.708,127.135,14.213,0.020950612,,,,
