 ,Area,Mean,Min,Max,Length,Length (mm),,,,,,
40,156,155.16,120.398,176.253,157.219,0.230755118,,,,,,
26,135,167.626,105.167,189.082,134.798,0.197847133,,,Picture,No Tubes,Tubes,Total
35,122,156.963,101.026,179.541,121.888,0.178898732,,,A,211,39,250
39,106,151.391,64.883,169.779,105.969,0.155533931,,,,,,
29,104,183.298,154,194.382,104.72,0.153700736,,,Length Conversion,681.324,,
11,83,135.472,60.333,158.951,82.416,0.120964475,,,,,,
37,75,130.964,89.663,167.818,75.326,0.110558266,,,Column1,,,
28,74,138.197,84.453,156.52,73.409,0.107744627,,,,,,
22,72,177.169,139.06,203.587,72.895,0.106990213,,,Mean,0.117441482,,
27,72,168.32,107.049,198.625,71.582,0.105063083,,,Standard Error,0.009671406,,
45,72,149.229,110.585,169.568,71.184,0.104478926,,,Median,0.104771005,,
15,67,168.788,115.333,204.2,66.692,0.097885881,,,Mode,#N/A,,
17,64,116.332,73.667,148.764,63.702,0.093497367,,,Standard Deviation,0.043251844,,
4,62,133.328,93.838,148.944,61.188,0.089807492,,,Sample Variance,0.001870722,,
38,60,141.593,111.697,164.783,59.082,0.086716452,,,Kurtosis,1.319551231,,
10,59,114.64,89.333,129.655,58.052,0.08520469,,,Skewness,1.443819958,,
12,58,130.818,108.651,169.79,57.374,0.084209568,,,Range,0.153069612,,
46,57,151.16,104.621,170.994,56.868,0.083466897,,,Minimum,0.077685506,,
25,53,123.083,63.667,146.333,53.021,0.077820538,,,Maximum,0.230755118,,
21,53,169.061,93.333,196.856,52.929,0.077685506,,,Sum,2.348829632,,
34,53,133.271,109.098,165.405,52.514,0.077076398,,,Count,20,,
41,45,145.126,123.667,164.333,44,0.064580141,,,,0,,
30,44,135.997,100.363,154.881,43.391,0.063686293,,,,,,
44,43,140.771,94.333,163.894,42.446,0.062299288,,,,,,
48,43,144.454,108.593,164.077,42.155,0.061872178,,,,,,
47,40,129.915,103.787,161.111,39.967,0.058660784,,,,,,
50,39,127.852,101.246,157.467,38.575,0.056617703,,,,,,
49,35,146.133,116.876,174.261,34.73,0.050974279,,,,,,
32,34,161.964,101,208.887,33.255,0.048809377,,,,,,
23,33,132.147,115.486,148.889,32.454,0.047633725,,,,,,
36,28,120.441,106.273,136.78,27.894,0.040940874,,,,,,
13,27,119.379,93.363,144.177,26.077,0.038274008,,,,,,
24,23,155.53,124.868,171.546,22.487,0.033004855,,,,,,
18,23,120.959,107.82,139.446,22.361,0.032819921,,,,,,
16,20,147.878,132.154,177.174,20.525,0.030125168,,,,,,
43,21,130.361,99.464,150.972,20.364,0.029888863,,,,,,
6,21,133.303,117.022,154.547,20.248,0.029718607,,,,,,
42,20,143.028,113.735,156.884,19.64,0.028826227,,,,,,
20,20,126.497,121.48,132.026,19.416,0.028497455,,,,,,
3,18,122.857,113.808,138.969,17.692,0.025967088,,,,,,
9,18,133.059,114.151,163.575,17.029,0.024993982,,,,,,
5,17,127.443,118.314,137.333,16.279,0.023893184,,,,,,
14,15,134.623,123.928,144.783,16.204,0.023783105,,,,,,
7,16,110.789,102.454,125.029,15.811,0.023206287,,,,,,
31,16,136.659,123.634,150.333,15.811,0.023206287,,,,,,
8,16,105.499,88.648,134.901,15.62,0.02292595,,,,,,
2,16,137.37,131.015,149.901,15.297,0.022451873,,,,,,
1,15,152.952,139.908,170.797,14.866,0.021819281,,,,,,
19,14,136.823,132.304,142.552,13.892,0.020389712,,,,,,
33,14,150.574,117.843,178.531,13.601,0.019962602,,,,,,
