 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
21,280,186.556,95.118,210.346,279.364,0.418633855,,,,,
18,178,157.798,105.879,175.485,177.216,0.265562554,,,,,
17,177,152.074,86,175.225,176.416,0.264363734,,,,,
28,171,150.838,98.386,200.058,170.924,0.256133836,,Picture,No Tubes,Tubes,Total
19,167,179.592,120.018,200.55,166.125,0.248942416,,A,238,18,256
2,164,165.441,85,199.006,163.089,0.244392895,,,,,
11,139,154.808,67.911,182.019,138.186,0.207075135,,Length Conversion,667.323,,
20,137,125.506,52.685,172.15,137.538,0.206104091,,,,,
6,136,153.893,95.113,171.152,135.749,0.20342323,,Stats for 20 longest,,,
12,136,172.952,109.881,201.352,135.718,0.203376776,,,,,
25,135,195.169,114.833,209.839,134.989,0.202284351,,Mean,0.207789182,,
29,114,126.401,63.292,164.65,113.914,0.170702943,,Standard Error,0.01431261,,
34,112,159.075,76.284,179.931,111.172,0.166593988,,Median,0.202830563,,
26,111,139.683,81.033,169.923,110.153,0.165066992,,Mode,#N/A,,
7,110,150.954,48.469,172.621,109.465,0.164036007,,Standard Deviation,0.064007938,,
30,105,155.143,101.17,185.044,105.668,0.158346108,,Sample Variance,0.004097016,,
16,103,154.585,85.333,180.004,102.544,0.153664717,,Kurtosis,5.337139573,,
33,103,161.599,103.756,175.222,102.465,0.153546334,,Skewness,1.985795473,,
14,102,151.265,71.507,170.881,101.805,0.152557307,,Range,0.267657491,,
13,101,162.768,95,179.45,100.75,0.150976364,,Minimum,0.150976364,,
24,99,170.244,94,216.352,99.007,0.148364435,,Maximum,0.418633855,,
27,99,194.05,128.098,214.131,98.263,0.147249533,,Sum,4.155783631,,
35,97,122.251,57.773,155.539,96.506,0.144616625,,Count,20,,
32,92,150.316,102.831,179.365,91.24,0.136725394,,,0,,
15,91,158.715,79.333,184.608,90.538,0.13567343,,,,,
38,90,152.966,53.657,177.65,89.589,0.13425133,,,,,
10,89,158.849,90.667,181.322,88.502,0.132622433,,,,,
9,89,124.966,69.907,164.283,88.495,0.132611944,,,,,
5,87,103.617,53.238,130.851,86.597,0.129767744,,,,,
3,86,129.951,70.667,156.159,85.546,0.128192794,,,,,
1,86,157.338,81,174.623,85.288,0.127806175,,,,,
22,83,158.659,67.333,192.138,83.073,0.124486943,,,,,
39,82,156.124,63.858,186.003,81.65,0.122354542,,,,,
37,77,156.472,84.312,189.356,76.942,0.115299488,,,,,
23,75,115.44,65.492,150.149,74.48,0.11161012,,,,,
4,74,113.289,54.943,148.01,73.333,0.109891312,,,,,
36,69,114.152,49.627,134.197,68.469,0.102602488,,,,,
8,67,150.514,81.042,171.802,66.648,0.099873674,,,,,
31,65,132.476,61.309,152.704,64.972,0.097362147,,,,,
40,60,110.289,49.929,130.318,59.486,0.08914124,,,,,
41,145,132.795,43.298,167.989,144.36,,,,,,
