 ,Area,Mean,Min,Max,Length,Length mm,,,
35,1087,155.052,80.938,184.349,1086.761,1.629576037,,,
34,854,162.612,126.053,182.961,853.453,1.279735432,,,
31,838,182.009,102.682,199.94,838.044,1.256629949,,,
32,825,174.923,122.931,209.105,824.846,1.236839817,conversion,666.898,
36,764,164.045,134.72,185.438,763.849,1.145376055,,,
27,757,167.041,106.129,197.448,756.219,1.133935025,,,
29,756,167.632,107.142,188.083,755.176,1.132371067,,,
4,710,174.927,77.088,206.804,709.55,1.063955807,,,
39,708,184.26,110.697,203.97,707.736,1.061235751,,,
38,700,159.13,107.25,176.859,699.302,1.04858914,,Column1,
20,688,197.485,146.151,225.838,687.916,1.031516064,,,
23,688,172.138,117.765,199.467,687.187,1.030422943,,Mean,1.076218327
30,683,185.228,130.667,221.598,682.152,1.022873063,,Standard Error,0.040651586
22,681,173.391,108.242,200.639,681.003,1.021150161,,Median,1.040052602
24,672,172.349,141,199.163,671.726,1.007239488,,Mode,#N/A
37,623,169.015,109.875,184.903,622.831,0.933922429,,Standard Deviation,0.18179942
16,615,168.626,113.381,199.358,614.593,0.921569715,,Sample Variance,0.033051029
40,605,169.622,102.867,182.492,604.664,0.906681382,,Kurtosis,3.523497765
8,570,162.644,114.788,187.997,569.232,0.853551818,,Skewness,1.418663846
19,539,183.507,111.667,210.808,538.317,0.807195403,,Range,0.822380634
13,520,155.438,124.103,173.858,519.535,0.779032176,,Minimum,0.807195403
6,517,162.087,112.747,186.513,517.012,0.775248989,,Maximum,1.629576037
2,506,167.549,110.667,187.463,505.783,0.758411331,,Sum,21.52436654
33,484,148.003,77.895,175.439,484.072,0.725856128,,Count,20
11,459,183.442,125.723,216.642,458.618,0.687688372,,,0
3,437,180.575,130.341,209.915,436.99,0.655257626,,,
9,423,170.519,120.436,199.749,422.754,0.633911033,,,
10,411,171.045,96.278,207.004,410.22,0.615116555,,,
28,392,173.296,102.082,202.772,391.49,0.5870313,,,
14,385,154.63,108,172.587,384.305,0.576257539,,,
5,377,173.09,148.485,190.888,376.184,0.564080264,,,
26,366,157.225,91.546,186.086,366.236,0.54916344,,,
18,365,185.254,115.667,210.85,364.501,0.546561843,,,
7,332,169.495,95.333,187.987,331.644,0.497293439,,,
12,325,176.003,147.854,211.457,324.64,0.486791083,,,
1,321,181.567,139.667,215.022,321.021,0.481364467,,,
17,301,184.155,123.445,218.57,300.447,0.450514172,,,
25,277,152.863,120.877,183.276,276.494,0.414597135,,,
15,275,161.046,107.941,186.097,274.142,0.411070359,,,
21,214,170.93,128.082,195.4,213.58,0.32025887,,,
