 ,Area,Mean,Min,Max,Length,Length (mm)ll,,,,
18,986,144.236,106.821,175.087,986.166,1.436439511,,,,
24,938,161.058,64.528,200.181,938.245,1.366638263,,,,
33,917,144.764,68.265,174.157,917.148,1.335908584,,,Conversion,686.535
15,909,159.763,108.469,194.054,908.46,1.323253731,,,,
27,888,166.65,98.301,206.339,889.213,1.295218743,,,Column1,
31,879,171.981,75.152,206.268,878.267,1.27927491,,,,
16,848,144.617,71.663,193.032,847.247,1.234091488,,,Mean,1.165047157
38,822,146.466,86.845,175.406,822.012,1.19733444,,,Standard Error,0.032867754
13,818,136.842,59.279,186.397,817.68,1.191024493,,,Median,1.177266272
6,817,135.651,91.062,160.77,816.935,1.189939333,,,Mode,#N/A
8,800,156.78,76.431,187.916,799.534,1.164593211,,,Standard Deviation,0.146989064
26,779,153.425,71.993,189.314,778.255,1.133598433,,,Sample Variance,0.021605785
17,766,149.984,70.78,188.45,765.919,1.115629939,,,Kurtosis,-0.93552866
10,756,161.888,71.893,191.621,755.937,1.101090258,,,Skewness,0.040685527
14,738,147.308,80.568,184.665,737.424,1.074124407,,,Range,0.494059298
2,692,128.523,71.521,148.717,691.93,1.007858303,,,Minimum,0.942380214
37,690,136.407,69.028,178.566,689.45,1.00424596,,,Maximum,1.436439511
5,657,131.812,93.812,159.581,656.36,0.956047397,,,Sum,23.30094314
36,654,150.458,78.498,176.929,653.754,0.952251524,,,Count,20
12,647,172.304,110.493,203.25,646.977,0.942380214,,,,0
25,644,162.213,107.748,189.676,643.757,0.937689994,,,,
28,642,174.68,104.734,195.024,641.55,0.9344753,,,,
29,640,182.372,101.333,221.96,640.015,0.932239434,,,,
19,616,139.546,53.277,174.36,615.287,0.896220877,,,,
11,611,166.595,91.314,200.658,610.344,0.889020953,,,,
34,587,150.069,89.344,183.873,586.41,0.854158929,,,,
21,559,158.849,81.959,180.641,558.657,0.813734187,,,,
22,545,159.874,87.351,204.146,545.019,0.793869213,,,,
9,530,145.282,72.859,179.072,529.463,0.771210499,,,,
23,529,146.779,64.165,174.544,528.06,0.769166903,,,,
7,513,131.687,81.602,161.501,512.396,0.746350878,,,,
32,512,151.857,84.362,186.429,511.932,0.74567502,,,,
30,510,162.625,55.964,188.187,509.134,0.741599481,,,,
3,507,146.747,83.667,165,506.527,0.737802151,,,,
1,495,150.994,56.766,175.55,494.476,0.720248786,,,,
4,494,146.837,52.95,161.513,493.558,0.718911636,,,,
35,488,164.285,88.991,182.727,487.458,0.710026437,,,,
40,484,170.3,94.223,205.358,483.368,0.704068984,,,,
39,423,156.392,78.628,182.338,422.774,0.615808371,,,,
20,408,127.827,81.767,167.192,407.622,0.59373812,,,,
