 ,Area,Mean,Min,Max,Length,Length (mm),,,
10,952,197.767,156.333,238.201,952.183,1.42055379,,Conversion,670.29
4,936,163.921,114.131,191.17,935.812,1.396130033,,,
32,908,183.547,119.686,200.486,907.436,1.353796118,,,
28,876,178.408,141.256,194.379,875.61,1.306315177,,Column1,
25,819,150.92,87.869,168.78,819.172,1.222115801,,,
30,773,161.767,96.06,185.778,772.876,1.153047189,,Mean,1.087656313
33,751,163.305,104,179.753,750.699,1.119961509,,Standard Error,0.037804498
12,745,164.504,111.024,178.949,744.538,1.110769965,,Median,1.047272822
26,710,155.03,75.834,174.528,709.647,1.058716376,,Mode,#N/A
24,706,152.746,91.487,173.133,706.366,1.05382148,,Standard Deviation,0.169066853
8,698,177.674,94.395,205.762,697.587,1.040724164,,Sample Variance,0.028583601
11,671,169.541,87.027,183.869,670.783,1.000735503,,Kurtosis,-0.548555147
27,664,151.281,97.319,164.399,663.379,0.989689537,,Skewness,0.826812896
23,653,152.698,111.179,170.254,652.699,0.973756135,,Range,0.517246267
7,646,180.436,98.015,213.007,645.781,0.96343523,,Minimum,0.903307524
15,625,154.976,78.333,172.832,625.075,0.932544123,,Maximum,1.42055379
3,625,161.899,84.667,177.298,624.185,0.931216339,,Sum,21.75312626
2,614,156.447,63.319,180.878,613.604,0.915430635,,Count,20
21,608,160.46,114.016,176.34,607.993,0.907059631,,,0
19,606,154.434,91.574,186.742,605.478,0.903307524,,,
16,581,164.074,98.432,189.894,580.551,0.866119142,,,
14,580,156.136,65.205,172.326,579.429,0.86444524,,,
38,576,177.673,150.063,194.538,575.78,0.859001328,,,
29,576,156.885,116.264,178.438,575.687,0.858862582,,,
13,571,172.605,122.333,202.107,571.011,0.851886497,,,
37,566,178.184,144.333,197.462,566.06,0.844500142,,,
9,551,176.456,140.935,197.906,550.292,0.820975995,,,
40,547,186.216,144.6,204.412,546.935,0.815967715,,,
5,532,161.68,93.176,188.057,531.885,0.793514747,,,
20,528,157.595,112.333,170.68,527.992,0.787706813,,,
18,513,154.975,116.333,172.301,512.176,0.764111056,,,
36,509,165.677,116.23,186.06,508.294,0.758319533,,,
35,508,162.727,104.037,186.044,508.003,0.757885393,,,
34,497,161.454,122.067,176.885,496.667,0.74097331,,,
17,452,164.194,82.516,175.73,451.632,0.673785973,,,
39,444,168.288,128.333,193.547,443.851,0.662177565,,,
22,436,156.587,99.464,172.43,435.531,0.649765027,,,
6,428,161.762,102.544,176.937,429.928,0.641405959,,,
1,407,174.706,120.66,195.627,406.492,0.606441988,,,
31,354,188.748,112.979,200.881,353.086,0.526766027,,,
