 ,Area,Mean,Min,Max,Length,Length (mm),,,,
40,106,137.565,77.524,193.783,105.249,0.157552015,,Conversion,668.027,
2,99,149.984,67.657,167.081,98.682,0.147721574,,,,
26,96,143.417,82.899,169.474,95.801,0.143408874,,,,
28,95,149.07,84.404,170.358,94.1,0.14086257,,,,
15,87,147.736,76.316,175.447,87.204,0.130539634,,,Column1,
30,86,154.775,65.147,184.66,85.29,0.12767448,,,,
11,86,137.709,75,192.237,85.204,0.127545743,,,Mean,0.120277624
27,83,133.548,84.938,162.2,82.492,0.123486027,,,Standard Error,0.003623961
5,77,149.395,95.735,166.321,76.837,0.1150208,,,Median,0.111743986
13,75,133.223,87.609,156.412,74.731,0.111868233,,,Mode,#N/A
34,75,139.074,32.359,170.387,74.565,0.11161974,,,Standard Deviation,0.016206845
9,75,163.391,117.519,179.286,74.536,0.111576329,,,Sample Variance,0.000262662
4,74,143.527,110.134,162.913,73.537,0.11008088,,,Kurtosis,-0.121485433
29,74,137.836,59.333,191.65,73.323,0.109760534,,,Skewness,1.017955308
22,72,154.598,68.54,175.445,71.705,0.107338476,,,Range,0.052337705
20,72,139.348,78.461,186.434,71.288,0.10671425,,,Minimum,0.10521431
36,71,149.989,116.191,172.102,70.933,0.106182834,,,Maximum,0.157552015
25,71,129.26,57.783,153.039,70.74,0.105893923,,,Sum,2.40555247
17,71,111.064,60.617,148.374,70.471,0.105491245,,,Count,20
33,71,114.543,52.384,145.163,70.286,0.10521431,,,,0
14,70,140.049,81.826,162.618,69.362,0.103831133,,,,
12,69,142.721,89.562,167.29,68.305,0.102248861,,,,
7,68,131.294,83.023,162.424,67.484,0.101019869,,,,
21,68,131.883,84.669,162.952,67.164,0.100540846,,,,
31,66,107.709,60.291,127.136,65.577,0.098165194,,,,
24,65,127.861,79.999,154.339,64.951,0.097228106,,,,
1,63,119.901,69.625,147.99,63.002,0.094310559,,,,
18,59,114.919,78.803,141.223,58.479,0.087539875,,,,
23,58,113.269,59.868,142.937,57.42,0.08595461,,,,
32,56,129.528,81.8,154.262,55.867,0.083629853,,,,
37,55,96.45,66.986,124.646,54.246,0.081203305,,,,
6,53,110.277,58,153.495,52.63,0.078784241,,,,
8,53,113.938,44,140.828,52.313,0.078309709,,,,
10,53,137.56,115.415,165.826,52.086,0.077969902,,,,
3,52,121.645,87.413,148.34,51.668,0.077344179,,,,
39,50,142.94,91.806,166.685,49.838,0.074604769,,,,
16,48,126.113,69.278,157.919,47.541,0.071166285,,,,
38,46,141.076,112.333,172.51,45.551,0.068187364,,,,
35,41,126.57,80.08,150.076,40.218,0.060204153,,,,
19,26,98.61,77.077,109.082,25.425,0.038059839,,,,
