 ,Area,Mean,Min,Max,Length,Length (mm),,,
27,67,125.411,95.097,155.278,66.783,0.099872286,,Conversion,668.684
32,65,162.994,136.14,192.799,64.695,0.096749735,,,
19,64,172.306,143.91,189.687,63.156,0.0944482,,,
10,58,167.096,139.832,186.306,57.334,0.085741546,,Column1,
16,58,142.701,126.983,163.249,57.183,0.085515729,,,
24,53,122.502,88.333,143.994,53.223,0.07959365,,Mean,0.067749939
20,48,163.795,135.22,173.06,47.66,0.071274324,,Standard Error,0.003737982
21,46,164.607,122.107,179.259,45.562,0.068136818,,Median,0.061188095
18,44,152.033,120.27,175.271,44.038,0.065857715,,Mode,#N/A
34,41,134.4,99.909,168.556,41.372,0.061870779,,Standard Deviation,0.016716765
4,41,125.779,96.535,158.333,40.459,0.060505411,,Sample Variance,0.00027945
13,40,140.766,123.149,161.742,39.585,0.059198366,,Kurtosis,-0.781798536
11,40,150.347,123.018,166.997,39.232,0.058670463,,Skewness,0.754241502
9,39,160.481,139.887,181.177,38.318,0.057303599,,Range,0.051537049
17,37,143.397,113.333,158.108,36.494,0.054575853,,Minimum,0.048335238
26,37,153.644,137,172,36.166,0.054085338,,Maximum,0.099872286
23,36,145.681,115.764,168.626,35.511,0.053105802,,Sum,1.354998774
7,34,131.925,121.667,153.303,33.724,0.050433389,,Count,20
2,34,134.115,104.399,159.457,33.25,0.049724534,,,0
29,33,168.518,149.3,190.56,32.321,0.048335238,,,
8,32,141.733,132.488,156.232,31.194,0.046649838,,,
15,31,136.401,121.986,150.283,30.465,0.045559637,,,
40,31,161.023,131.902,177.943,30.411,0.045478881,,,
6,30,128.407,109.283,157.459,29.891,0.044701234,,,
36,30,128.779,112.971,166.994,29.875,0.044677306,,,
14,29,146.131,133.142,159.141,28.918,0.043246137,,,
38,25,156.927,143.675,171.541,26.622,0.039812527,,,
5,26,149.68,135.73,171.884,25.867,0.038683444,,,
39,25,137.819,120.667,157.333,24.042,0.035954203,,,
30,23,153.566,144.408,173.333,22.627,0.033838106,,,
37,23,117.122,107.567,137.307,22.37,0.033453769,,,
31,23,131.1,117.151,145.334,22.211,0.033215988,,,
33,22,118.43,101.366,127.416,21.951,0.032827165,,,
1,22,153.898,145.818,165.107,21.095,0.031547039,,,
12,20,132.911,122.62,147,19.376,0.028976318,,,
3,19,155.238,150.234,166.667,18.868,0.028216617,,,
22,19,141.382,123.68,150.254,18.682,0.027938458,,,
25,19,141.848,136.909,149.333,18.46,0.027606463,,,
35,19,126.788,109.368,152.342,18.028,0.026960418,,,
28,18,132.519,120.333,139.333,17,0.02542307,,,
