 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
32,89,162.182,122.458,176.332,89.693,0.133682395,,,,,
30,87,168.364,126.667,190.816,86.47,0.128878694,,,,,
11,66,159.093,141.223,184.275,65.834,0.098121891,,,,,
29,64,165.913,129,187.718,64.111,0.095553856,,Picture,No Tubes,Tubes,Total
20,63,147.828,116.359,172.232,62.478,0.093119961,,A,70,92,162
9,60,124.622,79.357,157.983,59.99,0.089411737,,,,,
24,60,141.733,131.549,165.996,59.429,0.088575598,,Length Conversion,670.941,,
14,59,149.809,123.667,189.524,59.342,0.088445929,,,,,
19,59,160.293,116.333,182.459,58.243,0.086807931,,Column1,,,
12,56,130.77,102.688,181.59,55.385,0.082548242,,,,,
26,55,136.955,103.377,159.28,55.011,0.081990816,,Mean,0.082891864,,
15,54,148.435,117.667,173.337,54.387,0.081060779,,Standard Error,0.004729927,,
16,48,141.707,108.497,173.527,47.909,0.071405682,,Median,0.082269529,,
2,47,114.297,96.248,129.113,46.621,0.069485991,,Mode,#N/A,,
38,45,109.93,88,127.907,45.293,0.067506681,,Standard Deviation,0.021152876,,
37,44,114.149,102.44,144.137,44.542,0.066387357,,Sample Variance,0.000447444,,
18,42,130.825,99.874,145.357,41.597,0.061998,,Kurtosis,1.101262034,,
31,39,118.975,85,140.192,39.797,0.059315201,,Skewness,1.02017385,,
27,39,133.125,98.862,159.919,39.341,0.058635558,,Range,0.078777419,,
1,37,140.734,109.667,155.003,36.838,0.054904977,,Minimum,0.054904977,,
10,37,116.721,105.326,145.777,36.684,0.054675448,,Maximum,0.133682395,,
7,37,145.415,113.593,160.885,36.637,0.054605397,,Sum,1.657837276,,
4,36,107.916,91.333,124.347,35.346,0.052681234,,Count,20,,
21,33,143.706,126.333,159.291,33.799,0.050375517,,,0,,
8,33,113.552,100.842,141.811,32.676,0.048701749,,,,,
33,31,116.319,109.015,124.614,30.491,0.045445129,,,,,
17,29,97.203,83.333,114.182,28.284,0.042155719,,,,,
25,29,141.908,123.206,164.247,28.18,0.042000712,,,,,
3,27,128.247,109.404,145.134,27.125,0.040428294,,,,,
39,24,132.032,112.428,159.597,24.727,0.036854209,,,,,
13,22,143.37,121.999,162.465,21.378,0.031862712,,,,,
35,21,147.915,128.96,173.326,20.616,0.030726994,,,,,
34,21,139.445,118.056,164.67,20.025,0.029846141,,,,,
28,20,121.591,116.289,129.51,19.698,0.029358766,,,,,
6,20,129.141,119.944,141.936,19.313,0.028784945,,,,,
23,20,119.784,108.336,130.385,19.209,0.028629939,,,,,
40,20,145.198,129.569,166.882,19.026,0.028357188,,,,,
22,17,144.406,120.193,160.137,16.643,0.02480546,,,,,
36,17,156.039,138.667,164.333,16,0.023847104,,,,,
5,15,117.29,103.212,124.132,14.765,0.022006406,,,,,
